item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,0.0,395,[9.9453125],[-7.1640625],2730,[5.1953125],[-0.654296875],-68.5,-73.25,correct,True,-68.5,-73.25,correct,True,-68.5,-73.25,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,0.0,680,[8.0078125],[-2.931640625],2435,[5.34765625],[-0.525390625],-49.34,-52.0,correct,True,-49.34,-52.0,correct,True,-49.34,-52.0,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,1e-06,855,[7.2578125],[-2.421875],2614,[5.078125],[-3.28125],-45.47,-47.62,correct,True,-45.47,-47.62,correct,True,-45.47,-47.62,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,1e-06,1072,[6.61328125],[-2.767578125],3501,[4.3515625],[-3.43359375],-41.78,-44.06,correct,True,-41.78,-44.06,correct,True,-41.78,-44.06,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,5.66e-06,1438,[5.91796875],[0.68798828125],4691,[3.60546875],[0.432861328125],-38.62,-40.94,correct,True,-38.62,-40.94,correct,True,-38.62,-40.94,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,7.4e-06,1486,[5.9375],[-3.0546875],4778,[3.619140625],[4.0234375],-37.9,-40.22,correct,True,-37.9,-40.22,correct,True,-37.9,-40.22,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,0.0001243,3989,[4.71875],[2.49609375],4476,[4.4375],[6.21484375],-34.12,-34.4,correct,True,-34.12,-34.4,correct,True,-34.12,-34.4,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,0.0004385,4200,[4.89453125],[-0.5751953125],3528,[5.21875],[7.8984375],-31.08,-30.75,incorrect,False,-31.08,-30.75,incorrect,False,-31.08,-30.75,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,0.001176,5561,[4.57421875],[5.82421875],2272,[6.3515625],[2.068359375],-29.11,-27.34,incorrect,False,-29.11,-27.34,incorrect,False,-29.11,-27.34,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,0.002201,3415,[5.32421875],[-0.8330078125],1886,[6.40625],[3.85546875],-26.42,-25.34,incorrect,False,-26.42,-25.34,incorrect,False,-26.42,-25.34,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,10,0.003542,4312,[4.9140625],[9.765625],1522,[6.89453125],[5.9609375],-24.66,-22.67,incorrect,False,-24.66,-22.67,incorrect,False,-24.66,-22.67,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,11,0.03622,1868,[6.54296875],[-0.2320556640625],1088,[7.5390625],[5.37890625],-21.3,-20.3,incorrect,False,-21.3,-20.3,incorrect,False,-21.3,-20.3,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,12,0.4177,3171,[5.85546875],[-2.3828125],1003,[8.0234375],[-3.89453125],-21.66,-19.48,incorrect,False,-21.66,-19.48,incorrect,False,-21.66,-19.48,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,13,0.398,4293,[5.046875],[7.34375],1797,[6.78515625],[4.47265625],-21.88,-20.14,incorrect,False,-21.88,-20.14,incorrect,False,-21.88,-20.14,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,14,0.666,2999,[6.15625],[-0.1910400390625],1738,[7.15625],[-2.626953125],-18.66,-17.66,incorrect,False,-18.66,-17.66,incorrect,False,-18.66,-17.66,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,15,0.4602,3960,[5.78125],[-0.69287109375],3166,[6.23046875],[1.1572265625],-19.08,-18.62,incorrect,False,-19.08,-18.62,incorrect,False,-19.08,-18.62,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,16,0.4287,5931,[4.69921875],[3.369140625],3906,[5.640625],[2.828125],-18.11,-17.16,incorrect,False,-18.11,-17.16,incorrect,False,-18.11,-17.16,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,17,0.277,4444,[5.12109375],[3.46484375],3095,[5.875],[-1.2158203125],-17.64,-16.89,incorrect,False,-17.64,-16.89,incorrect,False,-17.64,-16.89,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,18,0.1096,4301,[5.49609375],[3.83203125],4895,[5.20703125],[6.93359375],-17.88,-18.17,correct,True,-17.88,-18.17,correct,True,-17.88,-18.17,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,19,0.654,3378,[5.98828125],[5.9453125],2511,[6.546875],[8.6875],-15.586,-15.03,incorrect,False,-15.586,-15.03,incorrect,False,-15.586,-15.03,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,20,0.5337,2442,[6.9609375],[3.765625],1252,[8.1796875],[2.12890625],-15.61,-14.39,incorrect,False,-15.61,-14.39,incorrect,False,-15.61,-14.39,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,21,0.3733,2070,[7.35546875],[2.615234375],1319,[8.15625],[1.7822265625],-15.52,-14.73,incorrect,False,-15.52,-14.73,incorrect,False,-15.52,-14.73,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,22,1.128,2072,[7.5859375],[3.54296875],1585,[8.1015625],[3.376953125],-13.96,-13.445,incorrect,False,-13.96,-13.445,incorrect,False,-13.96,-13.445,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,23,0.33,1682,[7.69921875],[10.421875],1381,[8.078125],[4.3046875],-14.77,-14.4,incorrect,False,-14.77,-14.4,incorrect,False,-14.77,-14.4,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,24,0.2458,463,[10.171875],[2.529296875],1087,[8.6875],[5.47265625],-12.9,-14.38,correct,True,-12.9,-14.38,correct,True,-12.9,-14.38,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,25,3.035,647,[9.5234375],[11.8125],783,[9.171875],[13.1796875],-11.25,-11.6,correct,True,-11.25,-11.6,correct,True,-11.25,-11.6,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,26,2.979,252,[11.859375],[4.51953125],208,[12.09375],[4.6796875],-9.336,-9.1,incorrect,False,-9.336,-9.1,incorrect,False,-9.336,-9.1,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,27,2.752,252,[12.125],[10.9609375],212,[12.390625],[8.7109375],-9.51,-9.24,incorrect,False,-9.51,-9.24,incorrect,False,-9.51,-9.24,incorrect,False,gender
