task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,1.143,20530,"[2.173828125, 11.8671875, 6.37890625]","[5.16796875, 5.22265625, 28.90625]",25352,[1.150390625],[1.93359375],-15.84,-21.19,correct,True,-47.53,-21.19,incorrect,False,-20.17,-21.19,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,2.336,15768,"[2.615234375, 10.4921875, 13.6015625]","[-0.65234375, 7.23046875, 17.859375]",22729,[1.2265625],[5.46875],-10.86,-18.42,correct,True,-32.56,-18.42,incorrect,False,-17.05,-18.42,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,3.219,16858,"[2.185546875, 10.2265625, 15.1640625]","[10.96875, 2.607421875, 5.3203125]",19263,[1.7236328125],[-0.2041015625],-9.61,-16.66,correct,True,-28.81,-16.66,incorrect,False,-16.2,-16.66,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,3.463,10841,"[3.234375, 9.625, 13.8828125]","[6.4921875, 2.63671875, 5.1015625]",20219,[1.447265625],[5.75],-8.914,-16.4,correct,True,-26.73,-16.4,incorrect,False,-14.62,-16.4,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,4.004,9734,"[3.69140625, 8.96875, 12.890625]","[8.125, 5.55859375, 10.5625]",18824,[2.013671875],[5.65234375],-8.57,-15.36,correct,True,-25.7,-15.36,incorrect,False,-13.68,-15.36,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,5.938,7624,"[4.55859375, 8.5, 12.7265625]","[7.421875, -4.8828125, -9.8515625]",17934,[2.697265625],[10.2734375],-7.44,-13.8,correct,True,-22.33,-13.8,incorrect,False,-11.93,-13.8,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,7.297,1463,"[6.49609375, 6.7109375, 13.34375]","[0.29443359375, 9.65625, 7.515625]",17370,[2.716796875],[7.08984375],-6.445,-13.09,correct,True,-19.33,-13.09,incorrect,False,-9.31,-13.09,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,7.223,5516,"[4.90625, 7.23046875, 12.7109375]","[4.56640625, 6.2734375, 3.529296875]",10661,[3.810546875],[0.234619140625],-6.82,-12.125,correct,True,-20.45,-12.125,incorrect,False,-11.02,-12.125,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,7.41,6827,"[4.8359375, 7.1328125, 11.65625]","[14.734375, 7.171875, 9.0703125]",17412,[2.94140625],[1.3564453125],-6.914,-13.07,correct,True,-20.75,-13.07,incorrect,False,-11.18,-13.07,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,7.074,1578,"[6.70703125, 7.16015625, 11.546875]","[7.015625, 4.43359375, 1.3251953125]",19194,[2.60546875],[5.44921875],-6.402,-13.625,correct,True,-19.2,-13.625,incorrect,False,-9.52,-13.625,correct,True
