task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.418715,21429,"[-0.5213760137557983, 5.866626739501953, 1.0593496561050415]","[0.6349450349807739, -0.3053622245788574, 2.0827884674072266]",38239,[-1.7851955890655518],[-0.7158938050270081],-9.999404,-12.989962,correct,True,-29.99821,-12.989962,incorrect,False,-11.726141,-12.989962,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,9.52196,15043,"[-0.20481327176094055, 4.632865905761719, 2.038219451904297]","[-2.1823551654815674, 2.2911858558654785, 7.0594377517700195]",35939,[-1.6594586372375488],[-2.5091898441314697],-9.5063925,-12.636797,correct,True,-28.519176,-12.636797,incorrect,False,-11.182152,-12.636797,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.154598,21645,"[-0.7900083065032959, 4.705206871032715, 5.911198139190674]","[-1.5382002592086792, 5.608224391937256, 2.1245431900024414]",39274,[-2.089630365371704],[-3.644620895385742],-8.291957,-13.098167,correct,True,-24.875872,-13.098167,incorrect,False,-11.798545,-13.098167,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,6.1568,24973,"[-1.5898606777191162, 7.2360334396362305, 6.897067070007324]","[0.756989061832428, 3.256467342376709, 4.406778335571289]",44653,[-3.6830577850341797],[0.18614280223846436],-8.138159,-15.33767,correct,True,-24.414476,-15.33767,incorrect,False,-13.2444725,-15.33767,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,6.9808807,20931,"[-1.2592337131500244, 7.4668169021606445, 8.753196716308594]","[2.1705005168914795, 2.2374963760375977, 8.44442081451416]",41936,[-3.2685511112213135],[0.4432774782180786],-6.9055734,-14.662846,correct,True,-20.71672,-14.662846,incorrect,False,-12.653527,-14.662846,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,7.635521,12584,"[-0.32233482599258423, 7.402624130249023, 12.073628425598145]","[-0.8113577961921692, -0.35633355379104614, -1.312544584274292]",37376,[-2.6206767559051514],[1.9070764780044556],-5.705952,-13.991285,correct,True,-17.117857,-13.991285,incorrect,False,-11.692944,-13.991285,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.9276237,15673,"[-0.6296769380569458, 6.926525115966797, 10.16688346862793]","[-4.377438068389893, -0.6073968410491943, 2.544891357421875]",27208,[-1.686487078666687],[-1.5945886373519897],-6.473292,-13.006149,correct,True,-19.419876,-13.006149,incorrect,False,-11.949339,-13.006149,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.4894285,35693,"[-2.2044084072113037, 7.095857620239258, 11.211893081665039]","[1.5924835205078125, -2.660719156265259, 5.247174263000488]",34419,[-2.0805537700653076],[0.15892228484153748],-6.8336067,-13.624362,correct,True,-20.50082,-13.624362,incorrect,False,-13.748215,-13.624362,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,6.1079373,20350,"[-1.6345226764678955, 6.363388538360596, 12.459888458251953]","[2.1233575344085693, 7.834763526916504, 3.023009777069092]",22630,[-1.8407775163650513],[-1.9121689796447754],-6.586223,-13.3284855,correct,True,-19.758669,-13.3284855,incorrect,False,-13.122228,-13.3284855,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,4.5129066,8142,"[-0.6269500851631165, 8.434037208557129, 12.428625106811523]","[0.8661994338035583, -3.3938469886779785, -3.2452211380004883]",21215,[-2.2621541023254395],[3.5902533531188965],-5.7168946,-14.306534,correct,True,-17.150684,-14.306534,incorrect,False,-12.671329,-14.306534,correct,True
