entity,correct,incorrect,model,item_id,condition,correct_first,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
Australia,Canberra,Sydney,Llama-2-13b-hf,1,has_competitor,True,3.0348525,0.9726034,1.0,0.012195121951219513,-0.83066475,-10.73078,2.14299095,-3.3407614999999993,130.61307382,14,4.944648,4.944648,0.7,13.251667292896807,27,213.258411235,16,130.492052665,30.8059707,27,110.39967478525081,63.754304947110455,27
Australia,Canberra,Sydney,Llama-2-13b-hf,1,has_competitor,False,2.8004806,1.9145546,1.0,0.015625,-0.6351989,-8.706588,2.7061624,-2.8597720000000004,141.02418418000002,18,4.4885505000000006,4.4885505000000006,0.7,13.847010624844003,26,196.805415214,16,137.035606586,24.768685199999997,27,119.63543563027577,58.83534516158594,27
Brazil,Brasilia,Rio de Janeiro,Llama-2-13b-hf,2,has_competitor,True,1.949848,0.96909994,1.0,0.009174311926605505,-0.34852013,-9.905493,3.2595661700000003,0.24916100000000085,168.80874264,18,3.497676499999999,2.5653550000000003,0.55,8.023866857848235,31,306.43741052999997,15,49.44310217,31.305585599999997,22,57.792976047710276,23.49634803700649,22
Brazil,Brasilia,Rio de Janeiro,Llama-2-13b-hf,2,has_competitor,False,2.1700354,0.7401729,1.0,0.012658227848101266,-0.39994705,-9.649554,2.99905975,0.5023560000000007,175.0157503,18,3.6631009999999993,2.5829579999999996,0.55,10.483826490945471,37,290.44298863000006,15,45.58797586999999,29.8652397,22,58.88637159243482,26.453802596553267,22
Canada,Ottawa,Toronto,Llama-2-13b-hf,3,has_competitor,True,3.3127365,1.0779451,1.0,0.08333333333333333,-0.7908233,-6.4929013,3.4050457,-1.1518879000000002,148.23663261000002,18,1.6643504999999994,1.6643504999999994,0.55,17.72344021237213,21,212.35699798399997,15,103.896516916,9.8834803,27,79.04899254705201,17.25958240191708,27
Canada,Ottawa,Toronto,Llama-2-13b-hf,3,has_competitor,False,3.5109932,2.0796962,1.0,0.1,-0.8525157,-5.257847,3.3921737999999997,-1.0112325000000002,154.1911479,14,1.5767756000000004,1.5767756000000004,0.55,18.306567526735506,21,207.24700635,15,105.47120645000001,8.680581000000002,22,77.8004255402208,16.849805115410273,27
India,New Delhi,Mumbai,Llama-2-13b-hf,4,has_competitor,True,3.3219192,1.1740911,1.0,0.07692307692307693,-1.2209643,-6.8946033,4.0779107,2.8703447000000004,147.04624362,14,2.3379642,1.1957799999999992,0.425,9.901100547227994,30,229.50528645999998,16,96.65909044000001,13.3778123,8,82.54412684422574,38.606579069356314,32
India,New Delhi,Mumbai,Llama-2-13b-hf,4,has_competitor,False,3.4561186,1.6824389,1.0,0.0625,-1.1171029,-6.4753895,4.1293401,2.5718855000000005,155.85689485,14,2.281628499999999,1.0720569999999991,0.425,9.901297100708614,30,226.132783,16,91.90371339999999,13.483875300000001,8,81.16031315040738,36.70386717976473,32
Morrocco,Rabat,Marrakesh,Llama-2-13b-hf,5,has_competitor,True,4.2703667,3.0612993,1.0,0.002109704641350211,-1.1869699,-9.816644,2.3174618000000002,-0.4825400000000002,188.2339303,18,5.43536,3.058136000000001,0.6,5.900481916420878,36,307.3621408,23,44.750599199999996,58.266802999999996,23,72.69720626576819,56.610339145270416,23
Morrocco,Rabat,Marrakesh,Llama-2-13b-hf,5,has_competitor,False,3.8678696,4.7924347,1.0,0.0017513134851138354,-0.9473738,-9.251584,3.1558618999999997,-0.6202839999999998,195.8164783,27,5.271257000000001,3.0618049999999997,0.625,8.163277128169288,30,298.87987865,22,39.307139049999996,60.577370199999976,6,69.83650995436865,51.47269521003793,23
New Zealand,Wellington,Auckland,Llama-2-13b-hf,6,has_competitor,True,4.2614384,2.219839,1.0,0.00819672131147541,-1.8117931,-8.735232,1.8100690999999998,0.7722770000000008,142.92845000999998,14,4.228129999999999,4.228129999999999,0.5,13.556049771914154,26,249.710613157,26,90.055159943,49.33378439999999,26,102.53408488884203,70.17997161926078,32
New Zealand,Wellington,Auckland,Llama-2-13b-hf,6,has_competitor,False,4.2284293,2.3906488,1.0,0.008403361344537815,-1.7253081,-8.610399,2.4319399,0.3831160000000011,147.19542998999998,14,4.1000944,4.1000944,0.5,13.460359446029184,26,253.58444809,26,83.84495260999999,50.24369370000001,26,98.30307664761807,67.83663141366776,26
Pakistan,Islamabad,Karachi,Llama-2-13b-hf,7,has_competitor,True,3.9741755,1.9283626,1.0,0.001869158878504673,-1.2124083,-10.876768,1.9318694999999997,-4.0781387,179.07721220000002,14,4.0781387,4.0781387,0.675,5.01134557161338,35,287.4801931,25,32.1761125,38.9550359,25,79.73059235054771,60.97222473076982,25
Pakistan,Islamabad,Karachi,Llama-2-13b-hf,7,has_competitor,False,3.8126395,3.3785958,1.0,0.001984126984126984,-1.0179026,-9.752362,2.4149732999999998,-4.0910566,187.60053849999997,14,4.0910566,4.0910566,0.675,6.427472877532617,30,274.8211888,25,34.7876855,37.31085290000001,25,83.76256875888106,60.02749195248327,25
South Africa,Pretoria,Johannesburg,Llama-2-13b-hf,8,has_competitor,True,4.4413958,2.5563524,1.0,0.006060606060606061,-2.3255525,-9.03664,1.5950832,-0.4579240000000002,168.9053959,14,4.4176237,4.4176237,0.8,6.903391942683654,33,264.37069813,33,105.93254757,35.9633789,33,125.45984577184124,90.03891007398794,34
South Africa,Pretoria,Johannesburg,Llama-2-13b-hf,8,has_competitor,False,4.2814436,2.9251044,1.0,0.005154639175257732,-1.9123166,-8.954162,2.8559509999999997,-1.4919776000000002,168.88414559999998,14,5.068872300000001,5.068872300000001,0.825,6.9020965242338,33,259.21566612000004,33,108.59842988000001,44.327550900000006,33,127.82552667313075,91.33417456671063,33
Switzerland,Bern,Zurich,Llama-2-13b-hf,9,has_competitor,True,4.203471,2.5318096,0.5,0.002336448598130841,-1.9558084,-9.889328,1.5012016,-3.155748400000001,161.58421460000002,14,4.3244016,4.3244016,0.725,4.035373900846051,37,289.2219497,16,73.5101517,30.786285200000002,1,73.9358533374528,42.99727265801563,37
Switzerland,Bern,Zurich,Llama-2-13b-hf,9,has_competitor,False,4.087844,2.2971773,0.5,0.0019646365422396855,-1.9034933,-10.191646,2.4002114,-3.7676570000000007,157.7935799,14,5.073159499999999,5.073159499999999,0.725,2.965487328648046,37,300.74158040000003,16,73.58867090000001,37.514909100000004,1,73.01055457638172,41.86186766350634,37
Turkey,Ankara,Istanbul,Llama-2-13b-hf,10,has_competitor,True,3.7606566,3.0674756,1.0,0.015625,-1.1234105,-7.3515425,1.3183165000000001,-1.003469,180.91623195,14,3.7522703,3.7522703,0.8,6.9832139248165355,34,235.36353368,0,61.750443020000006,27.031647299999996,34,102.72327117577366,70.44204590736389,34
Turkey,Ankara,Istanbul,Llama-2-13b-hf,10,has_competitor,False,3.6807306,4.170575,1.0,0.0125,-0.9754535,-7.103438,2.2402552,-1.1004062999999995,182.43356591,14,2.9737928,2.9737928,0.775,7.232887262098344,34,229.209888275,0,75.71473032499998,20.804536400000003,34,117.25255801400367,65.99438777622214,34
United Arab Emirates,Abu Dhabi,Dubai,Llama-2-13b-hf,11,has_competitor,True,3.75709,2.174975,1.0,0.005319148936170213,-1.1640701,-9.521095,1.9837752000000002,-0.2976870000000016,162.28005268,14,3.4267434999999997,3.4267434999999997,0.65,9.924085842712906,31,260.52903011,0,67.84133959,21.8960711,33,97.05388017760434,56.17792558721852,33
United Arab Emirates,Abu Dhabi,Dubai,Llama-2-13b-hf,11,has_competitor,False,3.5107331,2.5037413,1.0,0.005128205128205128,-1.0072007,-9.171603,3.0280553,-0.9024599999999996,157.39823525,14,3.2987676000000006,3.2987676000000006,0.65,9.764193074738554,31,259.51757550499997,0,77.74068949500001,22.468273999999997,33,96.9017492312961,47.53989084201289,33
Alabama,Montgomery,Birmingham,Llama-2-13b-hf,12,has_competitor,True,3.2323802,2.241556,1.0,0.0036363636363636364,-0.7643721,-9.780672,2.8214110999999997,-1.3817229999999991,171.99466890000002,14,5.1162056,5.1162056,0.725,8.408327517853863,31,285.44298625,20,31.637155949999993,73.34322119999999,8,69.26318633192811,57.589914765367766,31
Alabama,Montgomery,Birmingham,Llama-2-13b-hf,12,has_competitor,False,2.9985254,2.1612191,1.0,0.0035335689045936395,-0.6404831,-9.755182,3.5588615,-1.5016990000000003,171.7994508,18,5.353327999999999,5.353327999999999,0.725,9.3511536163359,31,281.89329213,20,38.72789637,71.39714660000001,14,74.95283892175688,56.28442702770317,31
Alaska,Juneau,Anchorage,Llama-2-13b-hf,13,has_competitor,True,4.072362,0.96902347,1.0,0.0012453300124533001,-1.3904086,-12.53632,1.7859363000000001,-2.1064240000000005,157.27674587,18,4.743741,4.743741,0.95,2.5195045164661463,37,346.79883270000005,29,8.926029999999999,69.59623029999997,37,49.77110224420181,59.99534136706164,37
Alaska,Juneau,Anchorage,Llama-2-13b-hf,13,has_competitor,False,3.9940114,1.0953121,1.0,0.001349527665317139,-1.3741623,-12.244988,2.0795038999999997,-2.203488,158.8396318,18,5.131306400000001,5.131306400000001,0.975,2.4089612147822885,37,349.75038494,37,8.76665736,75.55638829999998,37,52.15255209383372,63.00988952274096,37
California,Sacramento,Los Angeles,Llama-2-13b-hf,14,has_competitor,True,3.196106,2.8891878,1.0,0.1,-0.8119978,-4.961202,3.8895417,-0.9298929999999999,147.0537477,14,5.6868549999999995,5.446958400000001,0.625,16.70648285765929,24,225.44692913900002,15,91.32498106099999,54.492617500000016,27,79.21033746879432,28.83058990892181,26
California,Sacramento,Los Angeles,Llama-2-13b-hf,14,has_competitor,False,2.466339,3.8502202,1.0,0.1,-0.46076876,-4.2106285,5.69846624,-0.07565780000000011,138.65586257,15,5.666212999999999,5.391649600000001,0.55,19.506200919738895,20,215.26100015100002,20,135.229817649,46.04746620000001,24,115.00565603553719,22.339449329868412,24
Connecticut,Hartford,Bridgeport,Llama-2-13b-hf,15,has_competitor,True,4.264151,2.5463452,1.0,0.012987012987012988,-1.3807755,-8.228233,4.6177139,4.382674,174.9725955,14,0.660107,0.660107,0.3,11.670302104991293,26,282.45990043,20,186.04237397,0.660107,1,95.09994414629753,26.91174336278329,31
Connecticut,Hartford,Bridgeport,Llama-2-13b-hf,15,has_competitor,False,4.040675,2.4419618,1.0,0.01282051282051282,-1.0951427,-8.143001,5.0320379,4.133826000000001,177.4015029,18,0.7478679999999986,0.7478679999999986,0.3,14.2992286649387,22,274.24645573,20,188.31576367,0.848509,20,99.56737943322189,26.495198725398485,31
Delaware,Dover,Wilmington,Llama-2-13b-hf,16,has_competitor,True,4.2147946,0.78281796,1.0,0.012987012987012988,-1.7285323,-9.504225,0.9603299999999999,3.5113570000000003,169.01594226,18,0.0,0.0,0.025,7.26419427332823,34,225.72605325,20,121.94686945,0.0,34,114.88695032179005,56.665046976896164,34
Delaware,Dover,Wilmington,Llama-2-13b-hf,16,has_competitor,False,4.253504,0.6615525,1.0,0.012345679012345678,-1.771264,-9.856709,0.9321385000000002,3.259017,168.7915286,18,0.0,0.0,0.025,6.2846047461132155,34,233.00892218,20,110.03516352000005,0.0,35,106.53137616887169,59.508498441612126,35
Florida,Tallahassee,Jacksonville,Llama-2-13b-hf,17,has_competitor,True,3.818752,2.7677302,1.0,0.006622516556291391,-1.105038,-8.690105,3.847668,0.7367809999999988,162.92818323,14,1.1713724999999995,1.1713724999999995,0.55,8.605443695734934,33,230.36331229399997,20,130.01549160599998,2.2800519999999986,33,148.6972474701803,47.528346693765215,33
Florida,Tallahassee,Jacksonville,Llama-2-13b-hf,17,has_competitor,False,3.309072,2.4960754,1.0,0.010416666666666666,-0.8055979,-8.200486,4.915763699999999,1.9564450000000004,161.36970525499999,33,1.3428333000000006,1.3428333000000006,0.425,9.580686432218233,33,213.93615251900002,20,160.51873658100004,2.1548453000000016,15,159.58029468741344,44.53361303597631,33
Illinois,Springfield,Chicago,Llama-2-13b-hf,18,has_competitor,True,3.8205369,2.7615533,1.0,0.0044444444444444444,-1.1767323,-9.260485,1.4033203,-6.858542299999999,173.08326,18,9.5870563,9.5870563,0.675,5.148117868350953,37,312.469958,25,40.000537,91.64396008000001,25,78.04605151493034,60.35788837882826,25
Illinois,Springfield,Chicago,Llama-2-13b-hf,18,has_competitor,False,3.6254323,1.2801054,1.0,0.0029940119760479044,-0.9508065,-10.683621,2.3423959,-4.7258244000000005,168.2202607,18,7.6851287,7.6851287,0.675,6.072915565160718,37,309.99500283000003,20,58.49644557,71.09778030000001,25,88.49670513064437,52.648369368810094,25
Kansas,Topeka,Wichita,Llama-2-13b-hf,19,has_competitor,True,3.9669883,2.5410523,1.0,0.010309278350515464,-1.281571,-8.289468,1.4200466999999999,-0.6399065999999998,160.1750296,35,2.975662,1.7518778,0.575,9.849189450353665,33,239.312749795,16,60.992549804999996,17.695107300000004,35,87.95956247030803,55.318483868976934,35
Kansas,Topeka,Wichita,Llama-2-13b-hf,19,has_competitor,False,3.419344,2.740553,1.0,0.010526315789473684,-0.86450744,-8.048244,2.04833606,-0.4598746,164.40252689,35,2.9655424999999997,1.769587399999999,0.55,10.244067615224358,33,228.07012481200002,20,70.559658388,16.5566625,35,92.76734215691494,52.80680729597006,35
Kentucky,Frankfort,Louisville,Llama-2-13b-hf,20,has_competitor,True,3.581656,2.1188722,1.0,0.0005571030640668524,-1.0178053,-11.953971,1.2814931999999999,-1.0413479999999993,176.5546004,18,5.586685,5.044254499999999,0.8,3.6204729409984306,37,349.2100338,26,12.290515400000004,64.8056583,26,63.945089147509684,56.81414423519545,26
Kentucky,Frankfort,Louisville,Llama-2-13b-hf,20,has_competitor,False,2.5278172,2.4144502,1.0,0.0007616146230007616,-0.4670174,-11.273094,3.0691662,-0.8554410000000008,177.2054261,18,5.4707175999999995,4.891835,0.7,5.190259735139784,37,322.8722074,26,33.6379326,56.922553199999996,26,80.60735827798861,45.40421148863407,26
Louisiana,Baton Rouge,New Orleans,Llama-2-13b-hf,21,has_competitor,True,3.2934418,2.4609141,1.0,0.0038461538461538464,-0.80431104,-9.366288,1.57017426,-2.671272000000001,178.54126330000003,18,5.070755999999999,3.6889450000000004,0.7,6.952023183949183,35,281.51349044,20,21.265390559999993,70.54569349999998,27,54.8265211129577,55.89873049060702,27
Louisiana,Baton Rouge,New Orleans,Llama-2-13b-hf,21,has_competitor,False,2.2873569,1.5929117,1.0,0.0031446540880503146,-0.39677486,-10.304475,3.1773432400000003,-2.2938550000000006,166.0985611,18,5.325593,3.8982969999999995,0.675,8.48016738186223,34,283.8638183,20,36.904086899999996,65.65289940000001,22,70.93432160373331,53.64076542802173,27
Maine,Augusta,Portland,Llama-2-13b-hf,22,has_competitor,True,3.754117,2.4966724,1.0,0.0017482517482517483,-1.0447303,-10.395855,1.7085407,-2.1742919999999994,169.8329101,18,6.1856488,6.1856488,0.95,2.6195483490623515,37,310.62606433999997,37,43.84514046000001,56.59508769999999,5,69.28448836068989,61.07903192556697,37
Maine,Augusta,Portland,Llama-2-13b-hf,22,has_competitor,False,3.8208876,2.4637172,1.0,0.0016181229773462784,-1.020055,-10.4551,2.3757276999999997,-1.5687409999999993,168.5761838,18,5.6961601,5.6961601,0.95,2.5478321837755944,37,312.7948357,37,44.488625899999995,46.30375579999999,37,73.60672396127788,58.74406726815057,37
Maryland,Annapolis,Baltimore,Llama-2-13b-hf,23,has_competitor,True,3.6725616,2.3816109,1.0,0.0055248618784530384,-1.0433881,-9.156148,2.1064625,-2.9393044,173.4589542,18,6.201414,6.201414,0.725,8.079103278125864,31,271.80917825,27,78.69922695,39.77120740000001,8,85.57183451041561,66.10549201081238,35
Maryland,Annapolis,Baltimore,Llama-2-13b-hf,23,has_competitor,False,3.649612,1.6087804,1.0,0.009345794392523364,-0.96863353,-8.977735,2.68310747,-1.1660019999999989,169.33872689999998,18,4.343632,4.343632,0.7,9.176511989335186,31,268.00180134,15,86.91123335999998,21.3273116,27,90.91841563087577,57.8495797710226,35
Michigan,Lansing,Detroit,Llama-2-13b-hf,24,has_competitor,True,3.486413,0.8860115,1.0,0.013157894736842105,-1.0923294,-9.378608,1.5267764,-1.2657399999999992,163.0526913,18,3.4522383999999997,3.4522383999999997,0.725,6.586814994514242,38,230.95231586,20,110.53853583999998,14.4759572,35,125.00758420915434,80.14666780921489,35
Michigan,Lansing,Detroit,Llama-2-13b-hf,24,has_competitor,False,2.856772,0.75395954,1.0,0.02702702702702703,-0.6685644,-8.440555,2.6349963,0.6019839999999999,162.93277579,18,2.2423423,2.2423423,0.675,8.295448815245539,33,216.01223505000002,20,133.61726665,4.903975700000001,35,139.69342800284215,70.15696934448323,35
Minnesota,St. Paul,Minneapolis,Llama-2-13b-hf,25,has_competitor,True,3.5366187,1.9365304,1.0,0.017543859649122806,-1.4223866,-7.808468,2.0471049,0.9968519999999996,154.68250260000002,18,6.0210551,6.0210551,0.875,3.618635494472133,35,287.28820500000006,35,29.369834800000007,36.923260799999994,35,65.1885671752643,63.87755805293081,35
Minnesota,St. Paul,Minneapolis,Llama-2-13b-hf,25,has_competitor,False,3.6272826,1.3676978,1.0,0.017241379310344827,-1.5483758,-8.239528,2.1869879,1.2147249999999996,146.90148099,18,6.2061452,6.2061452,0.875,3.052236864130865,38,296.18170469999995,35,31.609503900000007,38.23118609999999,35,63.13627755330041,65.28086784627249,35
Montana,Helena,Billings,Llama-2-13b-hf,26,has_competitor,True,4.221198,2.4541795,1.0,0.00045167118337850043,-1.4156501,-12.049998,1.7654429000000003,-1.22382,174.0368158,18,2.4980089999999997,2.0837795000000003,0.625,6.484305264529609,33,303.65086619,20,69.15712641,25.382837100000003,24,96.65717106938736,47.087255605367105,33
Montana,Helena,Billings,Llama-2-13b-hf,26,has_competitor,False,3.7931397,2.3201637,1.0,0.0004428697962798937,-1.0363374,-12.0237665,2.7983675000000003,-0.7855305000000001,177.1113815,18,2.483945499999999,2.265320000000001,0.55,7.178493392760926,33,294.35861515,20,84.20772134999999,22.871735,24,101.10116377340779,39.112911161172605,24
Nebraska,Lincoln,Omaha,Llama-2-13b-hf,27,has_competitor,True,3.3382897,2.92269,1.0,0.002890173410404624,-0.8481482,-9.659514,2.239833,-0.32009799999999977,166.6737366,14,6.461329,5.755225999999999,0.975,3.1305076328794508,38,331.60279990000004,20,21.016599499999995,75.0260256,18,82.47753090392158,82.99479437095506,24
Nebraska,Lincoln,Omaha,Llama-2-13b-hf,27,has_competitor,False,3.480619,2.8402977,1.0,0.0019646365422396855,-0.9563797,-10.10054,1.6761293000000002,-0.9188170000000007,167.0174473,14,6.506425699999999,5.835029499999999,1.0,2.9862506627374286,38,337.6815207,20,11.3793005,82.3149124,18,80.8766111859175,92.64217115875313,24
Nevada,Carson City,Las Vegas,Llama-2-13b-hf,28,has_competitor,True,3.3318691,2.1324315,1.0,0.008695652173913044,-0.80849135,-8.82931,2.93299365,-0.10927699999999874,154.98212436999998,33,0.7252369999999999,0.7252369999999999,0.575,13.57335931496472,22,213.78220763299998,20,118.43336156699999,1.9666362000000008,33,145.38832294412927,51.10542070217768,33
Nevada,Carson City,Las Vegas,Llama-2-13b-hf,28,has_competitor,False,3.096304,2.4326491,1.0,0.010416666666666666,-0.6882552,-8.352277,3.5938282999999998,0.888833,153.64955408999998,15,0.5005569999999988,0.5005569999999988,0.35,14.20286178260348,22,212.079665473,22,141.48715552700003,0.5005569999999988,22,156.8159364200815,48.28660010861258,33
