response_correct,syllogism_condition,rt,syllogism_name,subject,is_valid,answer_with_valid,is_realistic,is_consistent,is_nonsense,unique_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
True,nonsense,35.699013,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,2.822,4.3495,1.0,1.0,-1.148,-1.3845,0.12100000000000011,4.5705,159.48944999999998,19.0,1.1835,1.1835,0.95,13.495282103219857,18.0,185.51065,20.0,70.18135000000001,3.3824999999999994,8.0,59.91521536115485,26.065369822831528,30.0
False,violate,197.794977,flowers_animals_reptiles,Human,True,False,True,False,False,flowers_animals_reptiles^violate^valid,2.6315,4.5280000000000005,1.0,1.0,-1.1185,-1.4255,0.11349999999999993,4.1685,161.23899999999998,19.0,1.2189999999999999,1.2189999999999999,0.95,14.0006351038636,18.0,182.32295,20.0,64.61304999999999,3.3585000000000003,19.0,59.49070960555483,27.037672667043537,30.0
False,nonsense,53.098138,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,2.987,4.432,1.0,0.047619047619047616,-1.2135,-5.82,0.06599999999999995,-4.233,159.80295,19.0,4.3100000000000005,4.3100000000000005,1.0,9.368424674746008,27.0,250.031,20.0,4.621,62.803,27.0,26.77666296618697,56.57406676665181,25.0
False,consistent,30.560626,gems_diamonds_transparent,Human,True,False,True,True,False,gems_diamonds_transparent^consistent^valid,2.7115,4.455,1.0,1.0,-0.99635,-1.36075,0.4566500000000001,5.09525,161.27975,19.0,0.7815000000000002,0.7815000000000002,0.95,14.106695415757942,18.0,184.88725,22.0,73.98425,1.7890000000000001,22.0,59.7363670639602,24.67837840414944,30.0
True,nonsense,47.365121,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,2.822,4.3495,1.0,1.0,-1.148,-1.3845,0.12100000000000011,4.5705,159.48944999999998,19.0,1.1835,1.1835,0.95,13.495282103219857,18.0,185.51065,20.0,70.18135000000001,3.3824999999999994,8.0,59.91521536115485,26.065369822831528,30.0
True,consistent,14.132236,gems_diamonds_transparent,Human,False,False,True,True,False,gems_diamonds_transparent^consistent^invalid,2.7065,4.2989999999999995,0.5,0.019597069597069597,-1.534,-6.75,-0.59365,-5.5655,160.47015,19.0,4.97185,4.97185,1.0,7.807489278382173,27.0,261.481,20.0,0.8085000000000002,80.35565,27.0,24.324760275996855,62.32690523741854,21.0
False,nonsense,19.298922,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,2.987,4.432,1.0,0.047619047619047616,-1.2135,-5.82,0.06599999999999995,-4.233,159.80295,19.0,4.3100000000000005,4.3100000000000005,1.0,9.368424674746008,27.0,250.031,20.0,4.621,62.803,27.0,26.77666296618697,56.57406676665181,25.0
True,nonsense,13.966516,nonsense_gick_criff_riff,Human,False,False,False,False,True,nonsense_gick_criff_riff^nonsense^invalid,2.8360000000000003,4.435499999999999,0.75,0.05012531328320802,-1.225,-5.846,-0.03500000000000003,-4.34,158.70929999999998,19.0,4.4175,4.4175,1.0,9.045371443884937,27.0,251.82,20.0,3.9475,67.0627,27.0,26.61289852031219,58.96141532061392,25.0
True,violate,35.59383,flowers_animals_reptiles,Human,True,True,True,False,False,flowers_animals_reptiles^violate^valid,2.6315,4.5280000000000005,1.0,1.0,-1.1185,-1.4255,0.11349999999999993,4.1685,161.23899999999998,19.0,1.2189999999999999,1.2189999999999999,0.95,14.0006351038636,18.0,182.32295,20.0,64.61304999999999,3.3585000000000003,19.0,59.49070960555483,27.037672667043537,30.0
True,nonsense,71.632158,nonsense_paft_usp_cesk,Human,True,True,False,False,True,nonsense_paft_usp_cesk^nonsense^valid,2.746,4.720000000000001,1.0,1.0,-1.0815000000000001,-1.4315,0.21100000000000008,4.765499999999999,164.4323,19.0,1.1495,1.1495,0.95,13.707023097163372,18.0,185.12760000000003,20.0,71.43764999999999,3.0645,19.0,57.63265533653363,25.35088295988333,30.0
