entity,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
Australia,Canberra,Sydney,Llama-2-13b-hf,1,has_competitor,4.4570684,4.808482,1.0,0.029411764705882353,-1.5291243,-5.8419156,2.5684826999999997,-3.74477,187.3579372,15,5.4512203,5.4512203,0.725,13.336825009176232,27,182.80497329999997,1,74.3538472,38.108292000000006,27,110.69986223665464,73.73996557516737,35
Brazil,Brasilia,Rio de Janeiro,Llama-2-13b-hf,2,has_competitor,4.7704687,4.596788,0.2,0.003937007874015748,-3.3304672,-8.347641,-0.06900860000000009,-1.715439299999999,206.0830042,11,3.5859303999999987,3.5811174,1.0,2.9468734201994824,25,327.629426,15,9.54693,49.455045,7,35.15405380303425,32.26860264552898,24
Canada,Ottawa,Toronto,Llama-2-13b-hf,3,has_competitor,4.6833816,4.5709643,1.0,0.02040816326530612,-1.4631164,-6.3592014,4.031935000000001,-3.8961834,194.6369833,15,5.252932599999999,5.252932599999999,0.6,12.582131092647238,38,249.36492538000002,15,80.68797142,44.650822000000005,19,84.95623717745016,32.906005388141395,31
India,New Delhi,Mumbai,Llama-2-13b-hf,4,has_competitor,4.8071804,5.4009,1.0,0.047619047619047616,-2.1762867,-5.160825,5.5261297,2.180664,215.65083149999998,31,3.4403367000000005,1.3208694000000003,0.325,5.359340787472737,32,232.3719216,0,84.09809840000003,12.7646486,2,99.95246081599059,19.492394183164226,31
Morrocco,Rabat,Marrakesh,Llama-2-13b-hf,5,has_competitor,5.009427,4.957938,0.3333333333333333,0.0010416666666666667,-2.684,-9.802717,0.8462315,-2.37395,204.9474043,27,5.7173739999999995,2.4441964,1.0,1.8525590532360683,38,325.0980312,3,5.6358262,66.5384195,3,49.33889805061991,49.73345219047251,22
New Zealand,Wellington,Auckland,Llama-2-13b-hf,6,has_competitor,4.494942,5.1661363,1.0,0.004273504273504274,-1.6412513,-8.107473,3.2462807000000002,-1.6992174000000002,180.46642884,32,4.380016,4.380016,0.6,12.802840881606908,26,229.34791518,26,66.09568872,53.883990299999994,32,124.91871294291583,62.5394766610996,32
Pakistan,Islamabad,Karachi,Llama-2-13b-hf,7,has_competitor,4.542474,6.09468,1.0,0.009174311926605505,-1.35702,-7.1129055,4.267231000000001,-0.4968975000000002,216.0616703,30,1.1778330000000015,1.0148779999999995,0.6,8.927930508159298,30,238.2585206,15,58.077708200000004,8.0490271,30,99.85154889055548,29.385285551551203,30
South Africa,Pretoria,Johannesburg,Llama-2-13b-hf,8,has_competitor,4.741691,4.372374,0.09090909090909091,0.002,-4.407199,-9.355888,-1.1672824000000004,-4.5120417,199.5590512,11,4.964498,4.964498,1.0,0.6241019435034738,33,303.2217582,0,66.93354429999998,82.82938499999999,0,105.78471237872154,111.15392294293733,35
Switzerland,Bern,Zurich,Llama-2-13b-hf,9,has_competitor,4.7587576,5.28646,0.2,0.0019305019305019305,-3.0559065,-8.971498,1.2665104999999999,-2.8695780000000006,203.55274719999997,22,5.9071081,5.9071081,0.85,1.4113020671537202,37,316.6533835,23,32.48135099999999,48.856721300000004,7,54.05292569734334,54.65323834925577,37
Turkey,Ankara,Istanbul,Llama-2-13b-hf,10,has_competitor,4.5924997,4.9739237,0.5,0.05,-2.3259015,-5.174951,1.0293065000000001,0.03111469999999983,201.4610423,16,3.9077614999999994,2.5697616,0.9,5.416360777840524,34,226.44393712,34,47.25792748,27.1985036,7,119.86589072042327,86.70264988170945,34
