condition,exemplar,correct,incorrect,model,item_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting,exemplar_de
Atypical,eel,fish,reptile,Llama-2-13b-hf,1,1.121,6.797,1.0,1.0,-0.1708,-1.768,9.8842,3.998,197.6524,17,1.0899999999999999,0.8630000000000004,0.35,25.276878970892085,4,113.08294,17,211.61806,2.210000000000001,17,144.7085352865321,9.67101451061059,25,Aal
Atypical,bat,mammal,bird,Llama-2-13b-hf,2,3.766,3.207,1.0,0.013513513513513514,-1.25,-7.77,2.766,-0.266,178.015,18,2.6560000000000006,2.6559999999999997,0.575,7.8086118339732105,32,281.436955,32,93.36304500000001,22.001999999999995,32,91.18984394839055,53.4620028153701,32,Fledermaus
Atypical,penguin,bird,fish,Llama-2-13b-hf,3,0.87,7.344,1.0,1.0,-0.3157,-2.857,8.1043,5.412999999999999,213.813,25,4.266,2.037,0.35,20.703106533478287,17,159.60649999999998,17,200.1265,27.567999999999998,25,97.32213083347563,25.998949086976662,25,Pinguin
Atypical,butterfly,insect,bird,Llama-2-13b-hf,4,2.178,6.965,1.0,0.5,-0.647,-2.785,5.5169999999999995,3.231,236.57600000000002,17,2.83,2.027,0.425,17.72446802515848,20,192.1846,17,156.0314,16.075000000000003,19,82.26141240146985,22.12047875017794,19,Schmetterling
Atypical,sea lion,mammal,fish,Llama-2-13b-hf,5,3.363,6.98,0.08333333333333333,0.03333333333333333,-4.09,-5.477,0.633,2.1129999999999995,249.80199999999996,5,4.15,2.0860000000000003,0.45,1.7050138210049366,32,252.53900000000002,2,86.24999999999999,36.95400000000001,18,39.015341712632065,35.74065701235677,32,Seeloewe
Atypical,whale,mammal,fish,Llama-2-13b-hf,6,3.02,6.63,0.25,0.02631578947368421,-2.79,-6.027,-1.532,0.125,218.412,19,2.7880000000000003,0.7319999999999993,1.0,5.115608977816867,37,244.579,2,34.623000000000005,42.111000000000004,15,42.038866261960386,58.60000710615737,34,Wal
Typical,alligator,reptile,mammal,Llama-2-13b-hf,7,2.814,7.56,0.5,0.06666666666666667,-2.188,-5.11,4.804,0.17999999999999972,233.6174,27,0.5979999999999999,0.09700000000000042,0.5,13.892791822104583,27,178.36212,27,113.83688000000001,0.7670000000000003,27,100.16859815808364,23.200991773480332,27,Alligator
Typical,chameleon,reptile,insect,Llama-2-13b-hf,8,2.285,7.28,0.3333333333333333,0.02702702702702703,-2.752,-5.73,3.096,0.7929999999999993,228.4534,27,0.1459999999999999,0.1459999999999999,0.5,10.255040972324903,27,201.3767,27,156.7333,0.1459999999999999,27,113.32620497978655,45.6622490358805,27,Chamaeleon
Typical,falcon,bird,reptile,Llama-2-13b-hf,9,1.707,6.312,1.0,1.0,-0.4512,-1.503,10.4988,5.302,200.5095,22,2.8499999999999996,1.3709999999999996,0.35,17.299404477629672,15,174.44979999999998,29,181.76220000000004,9.357999999999997,17,134.6069081105597,23.18226103965252,17,Falke
Typical,goldfish,fish,amphibian,Llama-2-13b-hf,10,2.504,6.926,1.0,1.0,-0.9263,-2.086,9.8437,5.008000000000001,208.83679999999998,22,1.0950000000000006,0.0,0.05,25.09339766962988,16,128.62927,16,212.41573,1.0950000000000006,24,134.18326552241717,20.255941284331406,24,Goldfisch
Typical,shark,fish,mammal,Llama-2-13b-hf,11,1.115,7.46,1.0,0.2,-0.1865,-4.062,7.407500000000001,2.106,222.47400000000002,20,0.29499999999999993,0.14000000000000057,0.625,17.664193773765955,25,151.0516,17,129.58540000000002,0.45899999999999963,17,107.60953322548917,19.128685045806915,25,Hai
Typical,dog,mammal,insect,Llama-2-13b-hf,12,4.047,2.334,0.25,0.02,-2.857,-8.016,4.883,2.859,224.602,17,1.605999999999999,1.605999999999999,0.375,2.239170953873847,32,278.169,18,166.46,1.8159999999999998,13,73.5037153776433,21.808357397544818,32,Hund
Typical,rabbit,mammal,reptile,Llama-2-13b-hf,13,3.824,6.094,1.0,0.038461538461538464,-1.235,-5.94,9.21,0.5829999999999993,200.10020000000003,17,2.082,1.9969999999999999,0.4,7.873435761463286,32,258.9803,32,116.53869999999998,14.146999999999995,32,100.8920943313695,27.130475307017488,32,Kaninchen
Typical,cat,mammal,reptile,Llama-2-13b-hf,14,4.08,2.594,0.2,0.02127659574468085,-2.713,-7.8,6.873,0.580000000000001,208.427,17,3.01,2.41,0.4,4.386500473658619,34,279.516,22,90.071,19.534,32,80.74966091639891,22.84838786709031,32,Katze
Typical,rattlesnake,reptile,amphibian,Llama-2-13b-hf,15,2.334,7.53,0.06666666666666667,0.08333333333333333,-6.066,-5.035,4.303999999999999,1.6550000000000002,203.99290000000002,20,1.9200000000000008,0.0,0.225,3.2799011121128583,27,240.20600000000002,27,108.784,6.791,27,68.6615401537288,15.648880737548378,27,Klapperschlange
Typical,salmon,fish,mammal,Llama-2-13b-hf,16,1.448,2.521,1.0,1.0,-0.2063,-0.3142,7.648700000000001,6.5958000000000006,174.3577,17,0.2400000000000002,0.0,0.05,26.446488621906177,4,105.05283,17,225.97017000000008,0.2400000000000002,17,147.15952086129866,27.44579037924338,17,Lachs
Typical,lion,mammal,fish,Llama-2-13b-hf,17,3.63,4.55,0.16666666666666666,0.020833333333333332,-4.02,-6.855,1.4530000000000003,3.59,209.5416,20,4.066000000000001,2.0699999999999994,0.4,1.7163320797784343,37,277.946,2,124.772,33.86900000000001,15,51.06938893991724,39.84415510532655,32,Loewe
Typical,horse,mammal,bird,Llama-2-13b-hf,18,4.008,2.895,0.5,0.006211180124223602,-1.812,-8.76,4.758,1.795,205.04229999999998,20,2.534,2.534,0.425,6.7531140528748494,33,275.5503,21,132.85870000000003,11.082999999999995,15,77.24312943703829,42.9651959981663,32,Pferd
Typical,sparrow,bird,mammal,Llama-2-13b-hf,19,1.88,1.497,1.0,1.0,-0.397,-0.584,8.373,7.696,170.446,15,1.9399999999999995,0.0,0.2,21.031767862008476,14,135.26479999999998,16,207.22320000000002,3.1529999999999996,17,142.12397454771707,26.75508377974939,17,Spatz
