task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,0.0,6494,[4.2109375],[-5.53515625],34514,"[-4.8671875, 6.8359375]","[3.4375, -0.28369140625]",-55.84,-69.75,correct,True,-55.84,-139.5,correct,True,-55.84,-64.94,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.674e-05,11016,[1.8291015625],[6.3984375],30059,"[-3.193359375, 6.74609375]","[-0.64453125, -2.427734375]",-39.38,-59.25,correct,True,-39.38,-118.5,correct,True,-39.38,-44.4,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,0.001025,6999,[3.890625],[6.09765625],32037,"[-3.201171875, 6.58984375]","[3.75, 2.25390625]",-32.28,-56.56,correct,True,-32.28,-113.1,correct,True,-32.28,-39.34,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,0.003576,4519,[5.078125],[7.265625],29517,"[-2.21875, 6.73046875]","[6.421875, -0.296875]",-26.89,-53.5,correct,True,-26.89,-107.0,correct,True,-26.89,-34.22,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,0.010666,2347,[6.4921875],[2.73828125],24027,"[-0.74169921875, 6.62890625]","[-5.8046875, -8.0234375]",-23.58,-51.47,correct,True,-23.58,-102.94,correct,True,-23.58,-30.83,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,0.0583,1607,[6.89453125],[-4.3671875],28686,"[-2.392578125, 5.703125]","[-14.015625, 0.221435546875]",-20.28,-50.62,correct,True,-20.28,-101.25,correct,True,-20.28,-29.58,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,0.372,2964,[5.234375],[-3.720703125],38710,"[-6.0234375, 5.703125]","[-1.064453125, 7.83984375]",-19.48,-50.94,correct,True,-19.48,-101.9,correct,True,-19.48,-30.73,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,1.567,10304,[2.6640625],[-6.62890625],42248,"[-5.6015625, 6.21875]","[-2.712890625, 0.007106781005859375]",-17.27,-47.88,correct,True,-17.27,-95.75,correct,True,-17.27,-25.53,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,3.473,20180,[-0.369384765625],[-3.357421875],42319,"[-5.9453125, 6.1328125]","[1.1396484375, 5.35546875]",-18.42,-46.8,correct,True,-18.42,-93.6,correct,True,-18.42,-24.0,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,2.488,23198,[-1.1328125],[-0.0262451171875],40523,"[-5.5, 6.67578125]","[-3.345703125, -2.119140625]",-19.77,-45.34,correct,True,-19.77,-90.7,correct,True,-19.77,-24.12,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,3.775,22902,[-1.08203125],[0.01082611083984375],42363,"[-6.14453125, 6.109375]","[-6.421875, 4.10546875]",-18.89,-43.56,correct,True,-18.89,-87.1,correct,True,-18.89,-23.97,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,4.043,20607,[-0.94873046875],[0.48046875],44729,"[-7.69921875, 6.69140625]","[-0.4814453125, -2.69140625]",-18.31,-41.0,correct,True,-18.31,-82.0,correct,True,-18.31,-25.06,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,3.508,18977,[-0.70458984375],[4.56640625],42880,"[-7.12890625, 5.83984375]","[-1.17578125, 4.140625]",-18.61,-39.62,correct,True,-18.61,-79.25,correct,True,-18.61,-25.03,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,3.629,11448,[1.1337890625],[1.59765625],41568,"[-6.5078125, 6.37109375]","[-0.1622314453125, 1.17578125]",-16.62,-36.56,correct,True,-16.62,-73.1,correct,True,-16.62,-24.28,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,4.184,11266,[1.4619140625],[-0.87548828125],41396,"[-6.08984375, 6.2578125]","[1.0234375, 0.1973876953125]",-16.19,-35.6,correct,True,-16.19,-71.2,correct,True,-16.19,-23.75,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,5.004,15406,[1.1201171875],[0.1318359375],42879,"[-5.44921875, 6.015625]","[5.53125, 20.890625]",-16.33,-34.38,correct,True,-16.33,-68.75,correct,True,-16.33,-22.9,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,2.701,23839,[1.0771484375],[3.4140625],42280,"[-3.05859375, 9.71875]","[1.23046875, 1.3876953125]",-19.14,-30.94,correct,True,-19.14,-61.88,correct,True,-19.14,-23.27,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,1.795,17971,[1.873046875],[3.078125],39090,"[-2.55859375, 9.3125]","[1.306640625, 10.3359375]",-18.58,-30.25,correct,True,-18.58,-60.5,correct,True,-18.58,-22.97,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,18,0.2686,15531,[2.732421875],[1.703125],38526,"[-1.7978515625, 10.8359375]","[-2.41796875, 4.625]",-20.16,-29.28,correct,True,-20.16,-58.56,correct,True,-20.16,-24.67,correct,True
