task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,0.0,1225,"[7.94140625, 6.61328125, 12.953125]","[-6.140625, -9.3359375, 2.201171875]",8909,[3.046875],[-0.83447265625],-110.9,-64.75,incorrect,False,-332.8,-64.75,incorrect,False,-59.88,-64.75,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,0.0,2302,"[6.2265625, 4.36328125, 13.0078125]","[2.310546875, -6.90625, -1.275390625]",10155,[2.71484375],[-4.30078125],-101.5,-55.62,incorrect,False,-304.5,-55.62,incorrect,False,-52.12,-55.62,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,0.0,1809,"[6.51953125, 3.4296875, 11.640625]","[-4.2890625, 5.13671875, 2.76171875]",12012,[2.1015625],[-2.359375],-95.6,-54.03,incorrect,False,-286.8,-54.03,incorrect,False,-49.6,-54.03,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,0.0,2181,"[5.78125, 4.0078125, 11.890625]","[-9.296875, 3.9921875, 0.3154296875]",11757,[1.7470703125],[0.25927734375],-91.8,-53.06,incorrect,False,-275.5,-53.06,incorrect,False,-49.03,-53.06,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,1e-06,3777,"[4.609375, 4.69921875, 11.3359375]","[-0.28466796875, -5.078125, 1.359375]",11905,[1.76953125],[2.232421875],-84.44,-50.84,incorrect,False,-253.2,-50.84,incorrect,False,-48.0,-50.84,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,1.1e-06,4193,"[4.51953125, 4.02734375, 10.7265625]","[0.59228515625, -0.0877685546875, 8.421875]",11658,[1.986328125],[4.38671875],-78.3,-49.44,incorrect,False,-235.0,-49.44,incorrect,False,-46.9,-49.44,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,3.9e-06,4301,"[4.51171875, 3.955078125, 13.125]","[-2.197265625, -5.21875, -2.88671875]",9551,[2.599609375],[2.6796875],-72.1,-47.28,incorrect,False,-216.4,-47.28,incorrect,False,-45.38,-47.28,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,6.5e-06,6103,"[4.0859375, 3.19140625, 11.46875]","[3.37890625, 0.0164794921875, 7.59375]",9581,[2.978515625],[4.45703125],-68.44,-44.9,incorrect,False,-205.2,-44.9,incorrect,False,-43.78,-44.9,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,3.3e-05,5534,"[4.578125, 3.095703125, 12.890625]","[2.060546875, 2.322265625, -2.14453125]",8060,[3.736328125],[4.07421875],-64.5,-41.12,incorrect,False,-193.5,-41.12,incorrect,False,-40.3,-41.12,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,0.0001404,3888,"[4.76171875, 3.421875, 11.8828125]","[-2.3828125, 3.466796875, 4.19140625]",4655,[4.40625],[-5.16015625],-61.0,-37.62,incorrect,False,-183.0,-37.62,incorrect,False,-37.28,-37.62,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,0.005413,6893,"[3.048828125, 3.99609375, 12.3359375]","[-3.34765625, -5.37890625, 2.2734375]",11623,[1.6767578125],[-1.5966796875],-54.7,-31.8,incorrect,False,-164.0,-31.8,incorrect,False,-30.42,-31.8,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,0.07745,10978,"[2.173828125, 1.734375, 12.1015625]","[1.1474609375, -1.322265625, 0.73828125]",15059,[1.2451171875],[-4.265625],-49.5,-29.98,incorrect,False,-148.5,-29.98,incorrect,False,-29.06,-29.98,correct,True
