task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,8.636578,7326,"[0.918004035949707, 7.6275315284729, 2.312509059906006]","[1.0035604238510132, 2.2479236125946045, 3.388307571411133]",24330,[-0.9296366572380066],[2.565943956375122],-8.846651,-12.585949,correct,True,-26.539953,-12.585949,incorrect,False,-10.738308,-12.585949,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,8.211657,5623,"[1.0773183107376099, 6.766936779022217, 3.8679866790771484]","[1.3709245920181274, 2.827188730239868, 6.167921543121338]",12298,[0.1258360743522644],[0.4948340356349945],-8.411534,-11.523272,correct,True,-25.234602,-11.523272,incorrect,False,-10.57179,-11.523272,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,7.938998,4175,"[1.270959734916687, 6.502279281616211, 7.617857456207275]","[1.1511459350585938, 5.179737567901611, 4.839537143707275]",10110,[0.27261483669281006],[-1.8931989669799805],-7.1767707,-11.302162,correct,True,-21.530312,-11.302162,incorrect,False,-10.303816,-11.302162,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,6.4192314,3345,"[1.6499261856079102, 8.344219207763672, 9.588083267211914]","[4.720454692840576, 3.573491096496582, 2.9154722690582275]",14799,[-0.29982075095176697],[2.592780113220215],-5.967544,-12.468096,correct,True,-17.902632,-12.468096,incorrect,False,-10.518349,-12.468096,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,7.0227118,856,"[3.165581703186035, 9.184661865234375, 9.93317985534668]","[1.3504880666732788, 2.4411685466766357, 1.6345863342285156]",8268,[0.6699384450912476],[-3.6252522468566895],-4.9615254,-11.487553,correct,True,-14.884576,-11.487553,incorrect,False,-8.991909,-11.487553,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,6.877111,791,"[3.284045457839966, 9.145393371582031, 9.562707901000977]","[-2.289726734161377, -0.7393804788589478, 2.3813652992248535]",19972,[-0.8356478214263916],[-1.8790079355239868],-5.025255,-13.032537,correct,True,-15.075766,-13.032537,incorrect,False,-8.912845,-13.032537,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.17048,2071,"[2.2943315505981445, 8.610910415649414, 9.65267276763916]","[3.24514102935791, -3.8224875926971436, 6.008096218109131]",26405,[-1.4980345964431763],[-1.6505024433135986],-5.392011,-13.633127,correct,True,-16.176033,-13.633127,incorrect,False,-9.840761,-13.633127,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.2238445,754,"[3.213547468185425, 7.131873607635498, 10.859724044799805]","[-3.402090549468994, 2.62143611907959, 3.346038579940796]",30912,[-1.89997136592865],[0.03341444209218025],-5.1614747,-13.955915,correct,True,-15.484424,-13.955915,incorrect,False,-8.842398,-13.955915,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,7.0927744,1955,"[1.925506830215454, 7.787017345428467, 11.071575164794922]","[4.12970495223999, -3.6060197353363037, -1.6334060430526733]",26022,[-1.808988332748413],[-0.170084148645401],-5.2418327,-13.596479,correct,True,-15.725498,-13.596479,incorrect,False,-9.861984,-13.596479,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,5.8532434,453,"[3.417973518371582, 6.753991603851318, 10.48569393157959]","[1.6641368865966797, -2.0729565620422363, 0.08373089879751205]",23147,[-1.8871841430664062],[0.4390103220939636],-5.379751,-13.955562,correct,True,-16.139254,-13.955562,incorrect,False,-8.650404,-13.955562,correct,True
