item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,1.1307789,2002,[10.87569808959961],[-8.590232849121094],457,[14.205663681030273],[-9.132038116455078],-18.345968,-15.016004,incorrect,False,-18.345968,-15.016004,incorrect,False,-18.345968,-15.016004,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,2.8308225,4773,[5.266489028930664],[7.00666618347168],1748,[7.48677396774292],[4.7178754806518555],-15.279123,-13.058838,incorrect,False,-15.279123,-13.058838,incorrect,False,-15.279123,-13.058838,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,4.1769514,956,[5.804177761077881],[7.9290361404418945],433,[6.9177165031433105],[10.5180025100708],-10.158967,-9.045428,incorrect,False,-10.158967,-9.045428,incorrect,False,-10.158967,-9.045428,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,5.5791183,421,[6.545882701873779],[6.827524662017822],115,[8.092588424682617],[6.483269214630127],-8.326233,-6.7795267,incorrect,False,-8.326233,-6.7795267,incorrect,False,-8.326233,-6.7795267,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,7.198273,253,[6.740795135498047],[8.0458402633667],85,[7.6399641036987305],[9.121014595031738],-7.3024054,-6.4032364,incorrect,False,-7.3024054,-6.4032364,incorrect,False,-7.3024054,-6.4032364,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,6.6524186,226,[7.261157035827637],[-3.5877022743225098],89,[8.207547187805176],[-5.093092441558838],-7.3060827,-6.3596926,incorrect,False,-7.3060827,-6.3596926,incorrect,False,-7.3060827,-6.3596926,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,6.4077697,122,[7.672009468078613],[4.688152313232422],151,[7.518629550933838],[2.2426092624664307],-6.7109313,-6.864311,correct,True,-6.7109313,-6.864311,correct,True,-6.7109313,-6.864311,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,6.060814,58,[6.881865501403809],[21.090559005737305],157,[6.0104851722717285],[20.218158721923828],-6.1065435,-6.9779234,correct,True,-6.1065435,-6.9779234,correct,True,-6.1065435,-6.9779234,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,3.6649063,8,[10.273226737976074],[6.965097904205322],15,[9.350273132324219],[-0.5530019402503967],-4.0071306,-4.930084,correct,True,-4.0071306,-4.930084,correct,True,-4.0071306,-4.930084,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,4.0362067,7,[9.432092666625977],[-16.179372787475586],62,[6.418551921844482],[-9.443580627441406],-3.6399279,-6.6534686,correct,True,-3.6399279,-6.6534686,correct,True,-3.6399279,-6.6534686,correct,True,gender
