entity,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
Australia,Canberra,Sydney,Falcon3-10B-Base,1,has_competitor,1.1461909,7.762905,1.0,0.0005321979776476849,-0.26692057,-9.685126,3.9692874300000005,3.288995,240.40141587364002,32,1.4675309999999993,0.0,0.225,10.509674887373022,31,335.28249613424896,22,130.11395066575102,3.454800999999998,32,116.10603400650764,32.292275961355095,32
Brazil,Brasilia,Rio de Janeiro,Falcon3-10B-Base,2,has_competitor,2.250329,7.5881157,0.5,9.415220645695832e-06,-1.3529207,-17.6833,2.1049521999999996,-3.8325179999999985,248.4632908215,33,7.874297,6.382572999999999,0.875,3.0796704878840675,37,576.01846624,2,20.19730586,136.09398749999997,33,80.03831197061604,50.39166706795303,33
Canada,Ottawa,Toronto,Falcon3-10B-Base,3,has_competitor,1.198626,7.722998,1.0,6.202319667555666e-05,-0.2809701,-12.495393,5.0333409,-1.5894440000000003,236.7649340097,32,3.8729359999999993,3.8729359999999993,0.825,8.372104930299102,31,392.02774274781996,22,55.36151275218,50.07013099999999,32,88.04211101384692,27.446777721853305,32
India,New Delhi,Mumbai,Falcon3-10B-Base,4,has_competitor,1.9000103,7.512623,1.0,4.4925648052473156e-05,-0.6354515,-13.150778,5.3849345,-0.3360030000000016,241.071384222,32,14.7663166,14.7663166,0.95,2.5925968182693997,37,521.5370824839999,35,17.789848915999997,79.8677145,35,71.85642044962486,114.87238114671078,35
Morrocco,Rabat,Marrakesh,Falcon3-10B-Base,5,has_competitor,0.9076028,7.695533,1.0,2.571288987169268e-05,-0.15984166,-14.06584,6.355640340000001,1.9971119999999996,254.66315762059997,33,6.538350299999999,6.538350299999999,0.925,3.3960486932046243,36,525.7742250737,35,46.8065474263,29.9514638,37,81.95559411529989,89.96814019429851,35
New Zealand,Wellington,Auckland,Falcon3-10B-Base,6,has_competitor,1.7097869,7.8829494,1.0,1.3489087328351364e-05,-0.5509153,-15.676071,3.8380293000000005,-3.902044,250.677155582,32,7.381395000000001,5.4720535,0.85,5.458011757616124,34,495.31427573070005,3,24.5021565693,133.7635622,36,69.4226254996213,52.05196174885274,32
Pakistan,Islamabad,Karachi,Falcon3-10B-Base,7,has_competitor,1.2016256,7.4589524,1.0,1.2867694366523407e-05,-0.24126984,-16.107895,3.66689116,-6.065085,241.9941766656,33,9.216206999999999,7.960611,0.85,6.2411024921277365,33,511.93283061607997,32,47.84142678392,159.72201959999995,32,101.1193879021165,38.01939399117997,32
South Africa,Pretoria,Johannesburg,Falcon3-10B-Base,8,has_competitor,1.9684784,7.6050453,1.0,3.2849352867748506e-05,-0.7281212,-13.643101,3.2944518000000005,0.4502109999999995,244.240586462,32,2.187856,0.9783500000000007,0.85,7.514338826769583,32,400.8089271184,23,82.08612018160002,7.9372762,33,61.870835369793916,51.03331351352172,33
Switzerland,Bern,Zurich,Falcon3-10B-Base,9,has_competitor,1.0100591,7.390084,1.0,2.2577440621331167e-05,-0.21899602,-14.468132,5.70219698,-1.0044180000000011,241.49490815,33,9.71923082,9.71923082,0.95,2.649692776012276,37,496.796107215,35,23.63790758500001,88.40005992000003,37,62.39825690802717,99.46684769475085,36
Turkey,Ankara,Istanbul,Falcon3-10B-Base,10,has_competitor,1.0237113,7.507929,1.0,1.4375871537211944e-05,-0.21134083,-15.637976,3.63438897,-2.0641920000000002,241.22093173300001,33,4.438212,2.140492,0.675,7.07250591596914,32,447.2980765224,1,34.63202097760001,36.8315555,1,52.24044087488664,23.234782924980244,33
United Arab Emirates,Abu Dhabi,Dubai,Falcon3-10B-Base,11,has_competitor,0.79011923,7.556031,1.0,0.00012189176011701609,-0.14668345,-11.490015,4.52751355,2.850461000000001,248.479246042,33,1.1651859999999998,1.1651859999999998,0.925,5.5372819608635355,33,361.2509286715,33,174.3400577285,2.1901653,35,73.82212133115159,84.85627066904742,36
Alabama,Montgomery,Birmingham,Falcon3-10B-Base,12,has_competitor,0.46925187,7.86524,1.0,3.119832776963155e-05,-0.07622116,-13.665508,6.87710554,0.5470939999999995,243.00130511499998,32,4.923802499999999,4.379363100000001,0.9,4.591276933670423,35,444.86145376469995,34,42.0612533353,64.28793879999999,34,70.21634441274597,61.67566279738088,34
