task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,0.8911301,12617,"[397.9111022949219, 442.2460021972656, 428.1502990722656]","[383.03289794921875, 442.65106201171875, 406.51544189453125]",17550,[394.91778564453125],[374.79736328125],-27.266172,-39.86459,correct,True,-81.798515,-39.86459,incorrect,False,-36.871273,-39.86459,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,1.3450458,6404,"[391.3443603515625, 459.0528564453125, 431.85302734375]","[421.0220947265625, 403.74542236328125, 426.20159912109375]",15808,[385.3219299316406],[435.67822265625],-26.258072,-33.20986,correct,True,-78.774216,-33.20986,incorrect,False,-27.187431,-33.20986,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,1.5102346,19419,"[410.883056640625, 446.8094177246094, 446.7731628417969]","[486.6139221191406, 435.5079040527344, 430.2879638671875]",7429,[417.49700927734375],[476.0306396484375],-25.888548,-31.449324,correct,True,-77.66564,-31.449324,incorrect,False,-38.06328,-31.449324,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,0.8762922,1278,"[479.1976623535156, 472.5572814941406, 473.4424743652344]","[502.23309326171875, 464.8843688964844, 451.6860046386719]",2753,[476.3363342285156],[494.9639587402344],-8.676205,-23.66687,correct,True,-26.028614,-23.66687,incorrect,False,-20.805542,-23.66687,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,0.0011212595,9,"[560.0914306640625, 552.6941528320312, 512.8340454101562]","[1065.63720703125, 1063.319580078125, 1043.063720703125]",113,[552.553466796875],[1065.982177734375],-4.5380187,-20.494349,correct,True,-13.614056,-20.494349,correct,True,-12.956385,-20.494349,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,5.5907044,59,"[1072.9732666015625, 1072.552001953125, 1069.073974609375]",,111,[1072.074951171875],,-1.9795893,-6.811421,correct,True,-5.938768,-6.811421,correct,True,-5.9131055,-6.811421,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",0,0.9027071,12544,"[398.2945861816406, 439.75347900390625, 425.6452941894531]","[382.861572265625, 440.0917663574219, 407.4278259277344]",17652,[395.2137756347656],[374.77667236328125],-27.687136,-39.83611,correct,True,-83.06141,-39.83611,incorrect,False,-36.7553,-39.83611,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",1,1.4883872,6424,"[391.5508728027344, 455.8144226074219, 431.0315856933594]","[420.0186462402344, 403.7178039550781, 422.6780090332031]",15877,[385.53387451171875],[435.0349426269531],-26.265,-33.042015,correct,True,-78.795,-33.042015,incorrect,False,-27.025017,-33.042015,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",2,1.359399,18981,"[410.31695556640625, 444.85980224609375, 443.4131774902344]","[483.7543640136719, 430.4166259765625, 410.1426696777344]",6910,[417.1927185058594],[484.8912658691406],-26.102058,-31.003479,correct,True,-78.306175,-31.003479,incorrect,False,-37.879242,-31.003479,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",3,0.8283791,3342,"[477.0141296386719, 464.22186279296875, 454.55889892578125]","[489.9319763183594, 484.0289001464844, 457.819580078125]",631,[483.6051940917969],[508.9974670410156],-13.8336115,-18.42804,correct,True,-41.500835,-18.42804,incorrect,False,-25.019104,-18.42804,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",4,0.0108781345,1891,"[545.851806640625, 547.2210083007812, 499.6965637207031]","[1065.27587890625, 1063.506103515625, 1036.647216796875]",2,[568.0195922851562],[1067.2794189453125],-12.35326,-7.3946314,incorrect,False,-37.05978,-7.3946314,incorrect,False,-29.562418,-7.3946314,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",5,5.6469584,1455,"[1068.7244873046875, 1065.8138427734375, 1057.04150390625]",,8,[1075.098388671875],,-3.4504426,-3.9530342,correct,True,-10.351328,-3.9530342,incorrect,False,-10.326936,-3.9530342,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",0,1.0148591,20631,"[392.2306213378906, 445.50146484375]","[377.3443908691406, 390.6967468261719]",28962,"[387.5796203613281, 414.22509765625, 411.73162841796875]","[390.6058654785156, 403.1945495605469, 427.4703369140625]",-26.065481,-27.846786,correct,True,-52.130962,-83.54036,correct,True,-39.836555,-44.487556,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",1,1.8531475,21488,"[384.7061462402344, 439.4686584472656]","[430.2186279296875, 414.5854797363281]",15657,"[387.5463562011719, 415.7891540527344, 436.385986328125]","[429.34991455078125, 418.9924011230469, 400.8536376953125]",-21.818644,-20.412355,incorrect,False,-43.637287,-61.23707,correct,True,-35.29396,-32.45375,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",2,0.91204786,11104,"[414.140869140625, 440.896240234375]","[463.26544189453125, 401.1478576660156]",9250,"[415.3462219238281, 425.72918701171875, 431.35302734375]","[461.2010498046875, 456.30694580078125, 420.3038635253906]",-23.443228,-16.191633,incorrect,False,-46.886456,-48.5749,correct,True,-35.288616,-34.083263,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",3,1.3507931,7369,"[464.9420471191406, 436.3065490722656]","[507.7218322753906, 445.2490234375]",9074,"[463.8601989746094, 464.3866882324219, 455.9971008300781]","[503.67791748046875, 523.9730834960938, 496.7610778808594]",-20.75164,-12.50426,incorrect,False,-41.50328,-37.51278,incorrect,False,-27.466373,-28.548222,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",4,0.023481477,10,"[559.5545043945312, 504.93218994140625]","[1067.2125244140625, 1059.6689453125]",72,"[554.6807250976562, 568.086669921875, 532.8225708007812]","[1066.05517578125, 1063.8060302734375, 1052.0064697265625]",-13.213722,-5.5917225,incorrect,False,-26.427444,-16.775167,incorrect,False,-11.901371,-16.77515,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",5,5.667487,43,"[1072.83251953125, 1067.16259765625]",,269,"[1070.724365234375, 1075.243408203125, 1073.97412109375]",,-2.8824046,-2.6368458,incorrect,False,-5.764809,-7.9105377,correct,True,-5.706142,-7.8142962,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,"The capital of Brazil is either Rio de Janeiro or Brasilia. In fact,","The capital of Brazil is either Rio de Janeiro or Brasilia. In fact, the capital of Brazil is",0,1.0039285,20701,"[392.0336608886719, 443.38433837890625]","[377.662353515625, 392.14654541015625]",28913,"[387.4324035644531, 416.68408203125, 411.8581237792969]","[390.9044494628906, 411.37060546875, 430.6396179199219]",-26.191223,-27.746286,correct,True,-52.382446,-83.23886,correct,True,-39.967377,-44.568634,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,"The capital of Brazil is either Rio de Janeiro or Brasilia. In fact,","The capital of Brazil is either Rio de Janeiro or Brasilia. In fact, the capital of Brazil is",1,1.861147,21586,"[384.6947021484375, 437.9366455078125]","[428.46380615234375, 405.8831787109375]",15697,"[387.58392333984375, 421.5491027832031, 439.0529479980469]","[427.5967102050781, 425.5152282714844, 403.34722900390625]",-21.81409,-20.103104,incorrect,False,-43.62818,-60.30931,correct,True,-35.406868,-32.517647,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,"The capital of Brazil is either Rio de Janeiro or Brasilia. In fact,","The capital of Brazil is either Rio de Janeiro or Brasilia. In fact, the capital of Brazil is",2,0.89329636,11003,"[412.8980407714844, 434.3561096191406]","[459.39764404296875, 401.5340881347656]",9092,"[414.142578125, 433.9866638183594, 435.5323486328125]","[466.2502746582031, 445.3852844238281, 424.53125]",-23.649706,-16.460035,incorrect,False,-47.29941,-49.380108,correct,True,-35.630436,-34.3859,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,"The capital of Brazil is either Rio de Janeiro or Brasilia. In fact,","The capital of Brazil is either Rio de Janeiro or Brasilia. In fact, the capital of Brazil is",3,1.1900225,9771,"[461.3874206542969, 434.68292236328125]","[501.8952331542969, 467.52105712890625]",2482,"[467.54180908203125, 465.79351806640625, 460.9427185058594]","[510.19866943359375, 493.85443115234375, 495.31890869140625]",-20.134266,-11.065097,incorrect,False,-40.26853,-33.19529,incorrect,False,-29.336714,-23.182325,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,"The capital of Brazil is either Rio de Janeiro or Brasilia. In fact,","The capital of Brazil is either Rio de Janeiro or Brasilia. In fact, the capital of Brazil is",4,0.017817998,118,"[551.6058959960938, 521.2119750976562]","[1066.8935546875, 1058.2401123046875]",2,"[564.148193359375, 562.1498413085938, 543.0137329101562]","[1066.7982177734375, 1064.7545166015625, 1047.2398681640625]",-15.790298,-2.2684948,incorrect,False,-31.580597,-6.805485,incorrect,False,-19.34774,-6.805443,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,"The capital of Brazil is either Rio de Janeiro or Brasilia. In fact,","The capital of Brazil is either Rio de Janeiro or Brasilia. In fact, the capital of Brazil is",5,5.6239743,194,"[1071.4356689453125, 1059.9088134765625]",,27,"[1073.592529296875, 1076.0714111328125, 1073.45068359375]",,-3.7607687,-1.8621527,incorrect,False,-7.5215373,-5.586458,incorrect,False,-7.467788,-5.310928,incorrect,False
