profession,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
CEO,man,woman,Llama-2-13b-hf,0,consistent,6.877787,6.300383,0.25,0.3333333333333333,-4.0880613,-3.236725,0.6881142000000002,1.0470437000000006,277.8522702,15,1.4372034,1.4372034,0.55,12.036603435994117,13,170.50676399999998,10,56.20210550000001,2.7365690000000003,12,82.42773465528707,38.20196725845614,33
CEO,woman,man,Llama-2-13b-hf,1,inconsistent,6.8779488,5.8534,0.25,0.25,-4.1674643,-3.4580564,0.1437797000000005,-0.3164228999999996,272.4417602,15,1.9976559999999992,1.7618189999999996,1.0,8.189993516942964,11,183.9442317,15,13.952396600000004,22.124584399999996,15,49.74187650255288,70.72733973724861,19
accountant,woman,man,Llama-2-13b-hf,2,consistent,7.1791153,6.557154,0.25,0.3333333333333333,-4.3096905,-3.7753308,-0.2328682000000004,0.032711500000000004,286.283962,15,0.9122597999999997,0.9122597999999997,1.0,11.532421145735174,15,181.1228471,15,16.713879199999997,12.947121999999998,15,52.88239948108884,79.93765513898154,26
accountant,man,woman,Llama-2-13b-hf,3,inconsistent,7.160454,6.8496737,1.0,0.3333333333333333,-3.5248363,-3.4636881,1.8680803999999998,1.9873989,289.37657160000003,36,1.569118,1.569118,0.4,20.31992963704343,36,168.40156710000002,36,70.6827126,5.4031682,14,97.6064381742241,20.56364303413598,33
analyst,man,woman,Llama-2-13b-hf,4,consistent,7.259888,7.1343765,1.0,0.25,-3.6590698,-4.0673995,2.1271002,1.9951057000000008,295.0208222,36,0.7048950000000005,0.6128096999999997,0.4,9.29021687367689,36,187.4540518,36,78.0713897,1.9352706,0,105.70608873937678,16.24539385106755,33
analyst,woman,man,Llama-2-13b-hf,5,inconsistent,7.3138227,6.751359,0.25,0.2,-4.5883374,-4.2678595,-0.20750440000000037,0.5012311999999994,294.1640801,15,1.486349999999999,1.486349999999999,1.0,5.456170805830325,11,215.2386613,9,11.6759524,20.212831899999998,9,38.010602822393466,75.61917309457507,26
assistant,woman,man,Llama-2-13b-hf,6,consistent,7.239611,6.0524187,0.2,0.3333333333333333,-4.510833,-3.489951,0.0045679999999999055,0.7749130000000002,287.713087,15,1.0450213000000002,1.0450213000000002,1.0,9.593213925341278,13,189.818927,9,22.0626331,8.9904251,9,52.87934134790773,74.67733277020814,26
assistant,man,woman,Llama-2-13b-hf,7,inconsistent,7.4104295,7.098637,1.0,1.0,-4.0721946,-3.5287762,1.2344998999999994,1.9396372000000004,299.77328520000003,36,2.4931256,2.4931256,0.425,19.028101785935874,36,185.929083,36,59.05513169999999,7.5793935,14,98.1424445555246,22.32187097517258,33
attendant,woman,man,Llama-2-13b-hf,8,consistent,7.0731893,6.605393,0.5,0.3333333333333333,-3.9838624,-3.4138238,0.1316206000000002,0.7253782000000002,282.3214183,15,1.0316987000000006,0.6888679999999998,1.0,15.67129037571857,26,178.3536105,15,21.221195300000005,7.938281500000001,12,57.02052462400505,79.65506410219812,26
attendant,man,woman,Llama-2-13b-hf,9,inconsistent,7.2017765,6.6063275,1.0,0.3333333333333333,-3.6666682,-3.540237,1.5255657999999999,2.5861644,286.5355664,15,1.3556299999999997,1.3556299999999997,0.4,17.590971269431506,36,172.53934350000003,14,75.05818610000001,3.2104489999999988,14,103.01140684121293,21.45322451165675,33
auditor,woman,man,Llama-2-13b-hf,10,consistent,7.176954,6.5018167,0.1111111111111111,0.043478260869565216,-4.9955454,-5.3208694,-0.7352954,-1.3228944000000005,286.6590502,20,1.8033796,1.8033796,1.0,2.645113357972434,15,223.62132860000003,15,3.9582440000000005,35.78267530000001,15,35.94931526974097,80.92148215383506,15
auditor,man,woman,Llama-2-13b-hf,11,inconsistent,7.148163,6.6996727,1.0,0.25,-3.7891908,-3.7661803,1.5969676999999995,1.4632757,288.9867009,36,0.7251246,0.0,0.2,13.60132488185859,36,178.652819,36,69.69849440000002,1.1496042000000006,14,94.02732312037878,19.343892206953306,33
