task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,1.9537911,18550,[2.5031838417053223],[-3.191333293914795],16387,"[3.1328535079956055, 26.0581111907959]","[1.2878797054290771, -2.693087100982666]",-22.460402,-16.31012,incorrect,False,-22.460402,-32.62024,correct,True,-22.460402,-21.830736,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,2.7765644,15831,[0.39460843801498413],[-1.697449803352356],8337,"[2.4200685024261475, 20.26497459411621]","[-1.1530838012695312, 0.8934656381607056]",-17.441273,-11.663893,incorrect,False,-17.441273,-23.327785,correct,True,-17.441273,-15.41581,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,5.5900936,10367,[-0.33707308769226074],[3.353238821029663],5509,"[1.1739944219589233, 16.741193771362305]","[1.582404613494873, 0.5833975076675415]",-13.878855,-8.575418,incorrect,False,-13.878855,-17.150837,correct,True,-13.878855,-12.367787,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,4.9586687,7151,[0.9107153415679932],[7.755617618560791],6282,"[1.2175874710083008, 14.165022850036621]","[-0.7806255221366882, -3.0687153339385986]",-13.455762,-8.480225,incorrect,False,-13.455762,-16.96045,correct,True,-13.455762,-13.1488905,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,6.533492,765,[3.525073528289795],[2.1128644943237305],5593,"[0.40874797105789185, 11.050267219543457]","[-1.0100703239440918, -1.9472103118896484]",-8.7272215,-7.1366405,incorrect,False,-8.7272215,-14.273281,correct,True,-8.7272215,-11.843549,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,5.8530416,326,[3.2086310386657715],[-0.5968083739280701],3512,"[-0.06057218834757805, 9.066149711608887]","[4.685377597808838, -12.306321144104004]",-8.080868,-6.9355874,incorrect,False,-8.080868,-13.871175,correct,True,-8.080868,-11.350072,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,5.71743,251,[3.6991045475006104],[9.976093292236328],5436,"[-0.8429062962532043, 6.4898457527160645]","[-2.081430673599243, -6.080005168914795]",-7.787203,-7.568321,incorrect,False,-7.787203,-15.136642,correct,True,-7.787203,-12.329214,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,5.697165,43,[5.401762008666992],[18.934560775756836],4568,"[-1.2451144456863403, 5.535807132720947]","[13.14867877960205, -19.947172164916992]",-5.6099443,-7.5080295,correct,True,-5.6099443,-15.016059,correct,True,-5.6099443,-12.256822,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,2.149112,6,[8.288676261901855],[20.339385986328125],570,"[1.592789888381958, 4.034895420074463]","[4.123727798461914, -1.5787901878356934]",-3.9922411,-6.792202,correct,True,-3.9922411,-13.584404,correct,True,-3.9922411,-10.688122,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,2.0190864,1,[12.28296184539795],[-10.607224464416504],190,"[2.3410799503326416, 3.4340896606445312]","[-7.877980709075928, -0.3667239248752594]",-0.86310184,-6.60392,correct,True,-0.86310184,-13.20784,correct,True,-0.86310184,-10.804983,correct,True
