task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,2.0401726,28674,[406.6627197265625],[338.3524169921875],27100,"[407.33648681640625, 417.82391357421875]","[338.6513977050781, 358.114990234375]",-33.62793,-29.87976,incorrect,False,-33.62793,-59.75952,correct,True,-33.62793,-32.9542,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,1.7674786,14278,[363.44677734375],[427.2493591308594],11132,"[364.98065185546875, 397.11761474609375]","[418.0638122558594, 479.41131591796875]",-27.8632,-29.728924,correct,True,-27.8632,-59.457848,correct,True,-27.8632,-26.329357,incorrect,False
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,1.8282785,5615,[399.0655212402344],[390.85369873046875],16020,"[393.77056884765625, 445.8407287597656]","[390.0521240234375, 369.1788330078125]",-21.531054,-24.458378,correct,True,-21.531054,-48.916756,correct,True,-21.531054,-26.82609,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,0.7730625,2752,[396.4912414550781],[439.5919189453125],8749,"[391.3389892578125, 432.56170654296875]","[440.11798095703125, 468.21185302734375]",-24.629377,-25.84793,correct,True,-24.629377,-51.69586,correct,True,-24.629377,-29.781706,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,1.2817904,5108,[430.02899169921875],[1065.708740234375],8820,"[427.3402404785156, 487.6318359375]","[1064.00341796875, 1056.1370849609375]",-23.749702,-16.290495,incorrect,False,-23.749702,-32.58099,correct,True,-23.749702,-26.438519,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.673396,284,[1074.138916015625],,2848,"[1072.199462890625, 1066.63037109375]",,-7.6365843,-5.0243883,incorrect,False,-7.6365843,-10.048777,correct,True,-7.6365843,-9.576031,correct,True
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,2.1323144,6234,"[420.2003479003906, 442.3355712890625]","[331.3392639160156, 374.41021728515625]",10636,[417.3521423339844],[335.3433532714844],-24.498909,-25.991703,correct,True,-48.997818,-25.991703,incorrect,False,-23.143497,-25.991703,correct,True
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,1,1.8422345,3535,"[369.535400390625, 422.78167724609375]","[428.80816650390625, 437.3984375]",3165,[369.9698791503906],[420.68841552734375],-23.620064,-20.188982,incorrect,False,-47.240128,-20.188982,incorrect,False,-20.62346,-20.188982,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,2,1.6718903,820,"[403.7025146484375, 439.5013427734375]","[379.320556640625, 421.7265319824219]",4661,[397.9920959472656],[392.32696533203125],-16.90171,-20.753864,correct,True,-33.80342,-20.753864,incorrect,False,-15.043447,-20.753864,correct,True
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,3,0.10071286,3291,"[393.5245666503906, 459.28509521484375]","[429.3436279296875, 398.6479187011719]",1332,[396.87506103515625],[435.10504150390625],-17.246124,-22.132864,correct,True,-34.49225,-22.132864,incorrect,False,-25.483358,-22.132864,incorrect,False
