entity,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting,task,is_correct,model_family,model_size,correct_first,exemplar,exemplar_de,unique_id,syllogism_name,order_first,is_valid,is_realistic,is_consistent,profession
Australia,Canberra,Sydney,gpt2-medium,1.0,has_competitor,4.8965344,3.194852,0.3333333333333333,0.0001416831963729,-2.3195577,-14.848152,-0.4615402999999998,-1.394392,87.3051834,0,1.6822857000000009,1.6822857000000009,1.0,3.5392318535472533,15,226.8022736,14,1.0338405000000002,21.10155181,19,2.159937983563632,0.0,15,capitals-recall,False,GPT-2,355,,,,,,,,,,
Brazil,Brasilia,Rio de Janeiro,gpt2-medium,2.0,has_competitor,5.0027423,3.9133873,0.3333333333333333,0.0002785515320334,-2.370421,-12.956221,-0.3172226999999998,-1.868720999999999,89.23522550000001,15,4.858480299999998,3.8473013,1.0,2.153447527501424,15,245.0685152,14,0.0,67.70914278999997,6,3.9694310751990622,1.6688086814737,18,capitals-recall,False,GPT-2,355,,,,,,,,,,
Canada,Ottawa,Toronto,gpt2-medium,3.0,has_competitor,5.7356405,2.7936516,0.5,0.0001453488372093,-2.8255467,-15.077242,-0.3333281999999999,-1.5929149999999996,89.5782032,0,1.2595867999999997,1.2595867999999997,1.0,4.191796868873906,19,216.3079342,14,6.406517099999998,12.3594316,16,4.192024853530068e-15,3.886536906428919,2,capitals-recall,False,GPT-2,355,,,,,,,,,,
India,New Delhi,Mumbai,gpt2-medium,4.0,has_competitor,6.0830803,3.0937295,0.0909090909090909,0.0016949152542372,-4.3931613,-10.657326,-1.3957138000000002,3.434398,88.8509119,0,8.671750939999999,8.671750939999999,1.0,0.3091598155406554,21,227.7993633,20,43.983898,55.393250939999994,20,9.377968315851325,9.919935820964657,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
Morrocco,Rabat,Marrakesh,gpt2-medium,5.0,has_competitor,5.9441686,4.1589117,0.0036231884057971,0.0001320480654958,-7.8215055,-14.302615,-2.9267885,-6.4775084,108.2552419,0,5.1778537999999985,5.1778537999999985,1.0,0.0151484867697639,20,311.485737,20,0.0,133.2534552,20,8.786914326822593e-15,0.0,4,capitals-recall,False,GPT-2,355,,,,,,,,,,
New Zealand,Wellington,Auckland,gpt2-medium,6.0,has_competitor,3.9739504,3.5272899,1.0,0.0001713796058269,-1.0059891,-14.182801,0.7619857999999999,2.8545929999999995,82.33888578,15,3.532320068,3.532320068,0.9583333333333334,5.024992000064808,21,253.24488113,14,29.884421770000003,15.26805286,21,6.5820812966870765e-15,21.7870000721178,2,capitals-recall,True,GPT-2,355,,,,,,,,,,
Pakistan,Islamabad,Karachi,gpt2-medium,7.0,has_competitor,5.3311577,3.5137365,1.0,0.0005333333333333,-1.9515606,-12.097096,0.7551649999999999,3.592919,86.56071622,0,0.0,0.0,0.0416666666666666,7.063661649916303,17,185.60694655,14,65.72328065,0.0,0,1.4301588952765294,5.9921469279124295,14,capitals-recall,True,GPT-2,355,,,,,,,,,,
South Africa,Pretoria,Johannesburg,gpt2-medium,8.0,has_competitor,3.1586661,3.5350957,0.3333333333333333,3.2775064730752846e-05,-2.5760794,-19.771847,-1.8178101,-5.372029000000001,82.22394252999999,15,5.83245083,5.83245083,1.0,1.089956029739715,20,345.60930940000003,14,0.0,107.26421447,21,1.128363680633916e-14,14.618126957947522,12,capitals-recall,False,GPT-2,355,,,,,,,,,,
Switzerland,Bern,Zurich,gpt2-medium,9.0,has_competitor,5.025182,3.77856,0.5,0.0010482180293501,-1.8074944,-10.945654,-0.0068511999999998,1.5451830000000015,87.28068173,0,8.86381115,8.86381115,1.0,1.6463069277918785,21,230.8327261,21,13.111155500000004,45.69401927999999,21,4.252374248901795,1.1349612724881604,8,capitals-recall,False,GPT-2,355,,,,,,,,,,
Turkey,Ankara,Istanbul,gpt2-medium,10.0,has_competitor,4.4948006,3.6602356,0.5,0.000914913083257,-1.6334466,-11.2063265,-0.1404496000000001,0.4584255000000006,83.35512087000001,15,1.65043056,1.65043056,1.0,4.041848571162453,15,184.1895747,14,7.9981475,11.527956370000002,10,4.717138904934968e-15,6.163329219125124,10,capitals-recall,False,GPT-2,355,,,,,,,,,,
