correct,incorrect,model,unique_id,syllogism_name,order_first,is_valid,is_realistic,is_consistent,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
valid,invalid,Falcon3-10B-Base,librarians_happy_healthy^consistent^valid,librarians_happy_healthy,1,True,True,True,0.4075765,5.300722,1.0,0.004830917874396135,-0.073154934,-7.9909596,3.420812366,2.8162503999999995,223.12164021,32,0.0,0.0,0.025,7.900284003146474,36,269.370030142,1,170.02173295800003,0.0,32,101.78687293678014,39.33384947185292,32
valid,invalid,Falcon3-10B-Base,librarians_happy_healthy^consistent^valid,librarians_happy_healthy,2,True,True,True,0.46678776,5.772119,1.0,0.003703703703703704,-0.08933703,-8.106744,3.09661847,2.523301,226.44550120999997,32,0.0,0.0,0.025,8.001493628471046,36,269.107114832,1,164.10914496799998,0.0,32,101.1692654941687,41.78425213463111,32
invalid,valid,Falcon3-10B-Base,librarians_happy_healthy^consistent^invalid,librarians_happy_healthy,1,False,True,True,0.87793803,5.940125,0.5,0.00039184952978056425,-1.6889523,-10.604299,-1.40105385,-2.2302589999999984,231.52234147000001,32,4.681544150000001,3.14423985,1.0,1.9613033814464709,37,402.9543533,37,0.0,126.92823838999999,3,44.32393216960666,76.80391805593692,8
invalid,valid,Falcon3-10B-Base,librarians_happy_healthy^consistent^invalid,librarians_happy_healthy,2,False,True,True,0.52368194,5.9170585,0.5,0.0002882675122513693,-3.0195644,-10.947482,-2.91572484,-2.868589,226.48417613,32,4.3402208600000005,4.3402208600000005,1.0,1.6977698381325417,37,431.6659363,37,0.0,164.01093794300007,37,41.02026011025762,97.70358619642637,8
valid,invalid,Falcon3-10B-Base,librarians_happy_healthy^violate^valid,librarians_happy_healthy,1,True,True,False,0.8875804,6.352365,1.0,0.003067484662576687,-0.2997128,-8.219459,1.3604659,1.4369800000000001,229.98725509,32,0.0,0.0,0.025,7.309677280461916,36,275.94159957,1,120.10091712999998,0.0,1,73.72267369260086,46.56087573812224,32
valid,invalid,Falcon3-10B-Base,librarians_happy_healthy^violate^valid,librarians_happy_healthy,2,True,True,False,1.1621583,6.593006,1.0,0.0011013215859030838,-0.69240636,-9.2604885,0.22083419000000004,0.23465450000000132,237.56207824,32,0.0,0.0,0.025,6.069528750797355,36,292.18039469999997,1,78.37291975000001,0.0,1,55.2228018300697,51.68711801833352,32
invalid,valid,Falcon3-10B-Base,librarians_happy_healthy^violate^invalid,librarians_happy_healthy,1,False,True,False,0.73711926,6.1001897,1.0,0.0013812154696132596,-0.1679416,-9.111219,2.9490223,1.0419470000000004,227.28148738,32,6.1133939999999996,3.0060830000000003,0.475,5.744967174815693,35,351.35292713700005,16,57.86511796300001,50.97982149999999,16,90.40239286169533,33.896676924752505,16
invalid,valid,Falcon3-10B-Base,librarians_happy_healthy^violate^invalid,librarians_happy_healthy,2,False,True,False,0.61632407,6.1732745,1.0,0.0014204545454545455,-0.12905045,-9.062285,3.77115635,1.405557,226.706913,32,6.14382,2.9744449999999993,0.475,5.649120538145622,35,349.73243231000004,16,74.29486599,50.5813165,16,100.1767085182894,32.073952167201874,16
valid,invalid,Falcon3-10B-Base,computers_electronics_expensive^consistent^valid,computers_electronics_expensive,1,True,True,True,0.49880195,5.2058187,1.0,0.0031446540880503146,-0.09538844,-8.456349,3.0911935600000002,2.7690195000000006,222.38689168,32,0.0,0.0,0.025,8.035194375302101,36,271.472050128,1,168.097527172,0.0,32,95.56306389619913,37.71130262537105,32
valid,invalid,Falcon3-10B-Base,computers_electronics_expensive^consistent^valid,computers_electronics_expensive,2,True,True,True,0.5967852,5.853466,1.0,0.0020325203252032522,-0.1303527,-8.748516,2.5638011,2.379365999999999,225.95735847999998,32,0.0,0.0,0.025,7.980223386421983,36,273.826565177,1,156.22288162299998,0.0,1,90.70416018771562,39.97611975399985,32
invalid,valid,Falcon3-10B-Base,computers_electronics_expensive^consistent^invalid,computers_electronics_expensive,1,False,True,True,0.8897177,6.046086,0.5,0.00029171528588098014,-1.8160636,-10.919609,-1.54654415,-1.8120320000000003,231.61698743,32,4.464498849999999,3.56256179,1.0,1.8891610347711452,37,410.89676829999996,37,0.0,132.80218929499998,37,41.85404963384182,74.63928324864867,8
invalid,valid,Falcon3-10B-Base,computers_electronics_expensive^consistent^invalid,computers_electronics_expensive,2,False,True,True,0.79935503,6.056013,0.5,0.0002598752598752599,-2.0716982,-11.057084,-1.85700528,-1.896711999999999,230.35232435,32,4.131588720000001,3.7376178200000005,1.0,1.8515373803777346,37,418.31592309999996,37,0.0,140.19642735500003,37,42.63664268511683,80.03109440710224,8
valid,invalid,Falcon3-10B-Base,computers_electronics_expensive^violate^valid,computers_electronics_expensive,1,True,True,False,1.090947,6.3657737,1.0,0.001697792869269949,-0.5502141,-8.810494,0.5374356,1.122024999999999,234.49000145,32,0.0,0.0,0.025,6.675332963253409,36,284.60091029,1,95.16760620999999,0.0,1,58.37999212756079,49.08799847256387,32
valid,invalid,Falcon3-10B-Base,computers_electronics_expensive^violate^valid,computers_electronics_expensive,2,True,True,False,0.8923059,6.549452,1.0,0.0014705882352941176,-0.2948599,-8.910805,1.4050236999999999,1.2065830000000002,232.12337171000001,32,0.0,0.0,0.025,7.440617696553243,36,278.96299794,1,121.44404355999998,0.0,1,75.47999775232428,47.21053292455192,32
invalid,valid,Falcon3-10B-Base,computers_electronics_expensive^violate^invalid,computers_electronics_expensive,1,False,True,False,0.5350496,6.2248907,1.0,0.0012300123001230013,-0.108224705,-9.183172,4.606687695000001,2.0328979999999994,226.59361814,32,6.214701,3.0600500000000004,0.45,5.62688598045899,35,353.130187363,3,87.78242173699999,51.82151850000001,16,108.23709840106785,32.16443622474554,33
invalid,valid,Falcon3-10B-Base,computers_electronics_expensive^violate^invalid,computers_electronics_expensive,2,False,True,False,0.5575572,6.1534514,1.0,0.0015220700152207,-0.112873144,-9.006586,4.175392856,1.7187389999999994,225.92618842,32,6.2769449999999996,3.142029000000001,0.45,5.665213185694393,35,352.17300583400004,3,81.929455366,52.23768650000001,16,104.57927095451736,32.610578823671915,33
valid,invalid,Falcon3-10B-Base,plants_trees_tall^consistent^valid,plants_trees_tall,1,True,True,True,0.4432916,5.4936323,1.0,0.0026455026455026454,-0.08361297,-8.575995,3.2180792300000003,2.4410299999999996,227.393777806,32,0.0,0.0,0.025,8.193282098623209,36,272.524374019,1,165.865085981,0.0,1,101.69150557678063,39.72959249000832,32
valid,invalid,Falcon3-10B-Base,plants_trees_tall^consistent^valid,plants_trees_tall,2,True,True,True,0.37295613,5.631664,1.0,0.0031847133757961785,-0.064449385,-8.334537,3.694704415,2.4176450000000003,226.02288937999998,32,0.0,0.0,0.025,8.00942038472036,36,272.486914494,1,171.448498306,0.0,32,105.62406490302838,41.10773907642904,32
invalid,valid,Falcon3-10B-Base,plants_trees_tall^consistent^invalid,plants_trees_tall,1,False,True,True,0.6067062,5.066302,0.5,0.00032102728731942215,-2.5166204,-11.084287,-2.3764547,-1.9455209999999994,225.69611199000002,32,3.8627488000000003,3.8627488000000003,1.0,1.8269480319686198,37,422.5371036,37,0.0,145.98963828300003,3,45.004469998960445,91.49998945676546,8
invalid,valid,Falcon3-10B-Base,plants_trees_tall^consistent^invalid,plants_trees_tall,2,False,True,True,0.6157046,5.5399613,0.5,0.00032071840923669016,-2.5460007,-10.95343,-2.40594816,-1.7598310000000001,227.13906323999998,32,3.9687340400000006,3.9687340400000006,1.0,1.8047131164386692,37,423.816652,37,0.0,146.131992584,37,43.904376139895774,90.60765604291802,8
valid,invalid,Falcon3-10B-Base,plants_trees_tall^violate^valid,plants_trees_tall,1,True,True,False,0.3777996,6.0165353,1.0,0.0021598272138228943,-0.06635111,-8.632668,3.67724429,1.7412104999999993,229.02335661,32,0.0,0.0,0.025,7.636855923263685,36,274.210936803,1,165.52508469700004,0.0,32,105.2215556719599,39.93257320864992,32
valid,invalid,Falcon3-10B-Base,plants_trees_tall^violate^valid,plants_trees_tall,2,True,True,False,0.386519,5.497608,1.0,0.0021321961620469083,-0.068910055,-8.747925,3.5624001450000002,2.148626,226.01668904000002,32,0.0,0.0,0.025,7.445461660480018,36,274.248458314,1,168.17669738599997,0.0,32,103.83188320795034,40.40189363451459,32
invalid,valid,Falcon3-10B-Base,plants_trees_tall^violate^invalid,plants_trees_tall,1,False,True,False,0.49494192,6.1745806,1.0,0.001579778830963665,-0.096943446,-8.921966,4.873867554,2.1619020000000013,228.48913205,32,6.126764999999999,2.8766130000000008,0.45,5.711384979976307,35,350.580883138,3,92.181886262,49.897818999999984,16,113.8315466206628,34.47398978855145,33
invalid,valid,Falcon3-10B-Base,plants_trees_tall^violate^invalid,plants_trees_tall,2,False,True,False,0.5204662,5.951076,1.0,0.0015082956259426848,-0.102333136,-9.045705,4.493540264,1.8538320000000006,226.46437712,32,6.129015000000001,2.8893205,0.45,5.7638387289751165,35,351.631783873,8,86.56587572700002,50.08605300000001,3,111.98958256433681,34.360698132523495,33
valid,invalid,Falcon3-10B-Base,flowers_animals_reptiles^consistent^valid,flowers_animals_reptiles,1,True,True,True,0.94937384,6.270245,1.0,0.0007867820613690008,-0.33940804,-9.675457,1.21631716,0.5423950000000008,232.91367319,32,0.0,0.0,0.025,7.008834535557289,36,285.88305107,21,115.05327362999998,0.0,1,75.14989631704039,46.02316963237321,32
valid,invalid,Falcon3-10B-Base,flowers_animals_reptiles^consistent^valid,flowers_animals_reptiles,2,True,True,True,0.60011244,6.444531,1.0,0.0014144271570014145,-0.14354561,-9.015844,2.34442339,1.1576660000000007,228.69379265999999,32,0.0,0.0,0.025,7.104896380054962,36,276.64940821,21,143.68818049000004,0.0,32,90.69930097218366,43.662907709447424,32
invalid,valid,Falcon3-10B-Base,flowers_animals_reptiles^consistent^invalid,flowers_animals_reptiles,1,False,True,True,0.7733163,5.7359276,1.0,0.0012330456226880395,-0.18564409,-9.364603,2.40704111,2.244949,226.22756755999998,32,6.2068460000000005,3.0859799999999993,0.45,5.870049013825442,35,355.413190244,16,57.087866555999994,50.929469499999996,16,85.90722690827921,38.233917309172554,16
invalid,valid,Falcon3-10B-Base,flowers_animals_reptiles^consistent^invalid,flowers_animals_reptiles,2,False,True,True,0.8638747,5.3177314,1.0,0.0009832841691248771,-0.23340821,-9.728607,1.9991280900000001,1.1405580000000004,220.50378464,32,6.198750500000001,3.0404564999999995,0.475,6.051866472098487,35,357.025880935,3,43.227164265,51.60356849999999,3,79.40613435193765,37.82000412081124,16
valid,invalid,Falcon3-10B-Base,flowers_animals_reptiles^violate^valid,flowers_animals_reptiles,1,True,True,False,0.6703939,5.4438534,1.0,0.0022123893805309734,-0.1734687,-8.716769,2.0543646,2.0288130000000013,226.42622508,32,0.0,0.0,0.025,7.231886706724726,36,276.514479697,1,144.025512103,0.0,1,82.57878786453206,41.815476701107386,32
valid,invalid,Falcon3-10B-Base,flowers_animals_reptiles^violate^valid,flowers_animals_reptiles,2,True,True,False,1.1063465,6.376247,1.0,0.0012254901960784314,-0.600056,-9.175171,0.40079809999999993,0.744686999999999,234.63320306999998,32,0.0,0.0,0.025,6.3175103897258165,36,287.1153471,1,92.1667089,0.0,1,60.65388853029582,49.143504755161224,32
