task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,1.8011098,36490,"[230.02798461914062, 252.5433349609375, 247.03250122070312]","[265.0805358886719, 243.92236328125, 266.3092041015625]",11407,[240.97268676757812],[265.95745849609375],-29.596426,-24.73174,incorrect,False,-88.789276,-24.73174,incorrect,False,-35.67647,-24.73174,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,1.7718908,30742,"[239.16403198242188, 247.53695678710938, 254.47787475585938]","[256.1145935058594, 266.2901611328125, 233.31600952148438]",9815,[248.10739135742188],[283.53271484375],-28.967772,-23.299997,incorrect,False,-86.90331,-23.299997,incorrect,False,-32.243347,-23.299997,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,2.2393591,38606,"[238.11465454101562, 253.40447998046875, 235.6063232421875]","[259.14544677734375, 230.1940155029297, 237.4727783203125]",822,[261.4842834472656],[260.49871826171875],-26.994375,-15.689199,incorrect,False,-80.98312,-15.689199,incorrect,False,-39.05884,-15.689199,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,1.270473,37847,"[239.61996459960938, 238.2198028564453, 222.07386779785156]","[234.28379821777344, 239.65884399414062, 241.96487426757812]",1651,[262.50921630859375],[231.1127166748047],-31.021471,-19.477999,incorrect,False,-93.064415,-19.477999,incorrect,False,-42.367264,-19.477999,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,1.5092162,35895,"[228.53076171875, 230.75965881347656, 216.3096160888672]","[225.248046875, 245.02529907226562, 275.87445068359375]",2364,[249.6331787109375],[217.05564880371094],-30.331705,-21.641891,incorrect,False,-90.99512,-21.641891,incorrect,False,-42.744354,-21.641891,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,2.3193526,36087,"[214.95452880859375, 227.56988525390625, 239.54684448242188]","[258.0665283203125, 245.95355224609375, 261.30242919921875]",4438,[230.14697265625],[240.94375610351562],-22.583288,-21.40386,incorrect,False,-67.74986,-21.40386,incorrect,False,-36.596073,-21.40386,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,2.8504102,18317,"[215.9598388671875, 223.451171875, 236.8874969482422]","[277.8514099121094, 218.57553100585938, 245.2520751953125]",5462,[223.099609375],[271.1938171386719],-19.64759,-21.424849,correct,True,-58.942772,-21.424849,incorrect,False,-28.564701,-21.424849,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,1.8228447,11129,"[231.13711547851562, 214.4256591796875, 233.59201049804688]","[253.85992431640625, 315.53985595703125, 291.5626220703125]",5449,[234.4483642578125],[269.717529296875],-18.350105,-20.514713,correct,True,-55.050316,-20.514713,incorrect,False,-23.825838,-20.514713,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,1.6483364,7886,"[230.7196044921875, 241.08547973632812, 250.43661499023438]","[315.65155029296875, 289.32818603515625, 261.9740905761719]",478,[242.91989135742188],[315.9728698730469],-17.37588,-16.487047,incorrect,False,-52.127636,-16.487047,incorrect,False,-28.688084,-16.487047,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,1.059808,3641,"[269.59197998046875, 257.5718994140625, 252.53970336914062]","[362.59771728515625, 361.05731201171875, 357.0595703125]",274,[280.0732421875],[364.5070495605469],-16.213928,-15.270319,incorrect,False,-48.641785,-15.270319,incorrect,False,-25.750956,-15.270319,incorrect,False
