profession,correct,incorrect,model,item_id,condition,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
CEO,man,woman,Falcon3-10B-Base,0,consistent,6.3816032,7.9533715,0.09090909090909091,0.0009009009009009009,-4.1780043,-9.052167,-0.9840900999999995,-2.3253260000000004,272.4373846,32,3.046953600000001,2.9356639000000007,1.0,0.527469530233499,37,330.307829,37,1.8752460000000006,93.1003541,0,16.98581965475699,66.88204773677246,0
CEO,woman,man,Falcon3-10B-Base,1,inconsistent,6.1194925,7.740555,0.3333333333333333,0.034482758620689655,-3.0005503,-5.5522094,1.5950551000000002,3.7948346000000006,263.3642939,32,1.7961109999999998,0.0,0.075,5.5682583785852735,8,223.13113399999997,37,127.36479580000001,1.7961109999999998,1,80.24763854004038,11.831418912273266,36
accountant,woman,man,Falcon3-10B-Base,2,consistent,6.469224,7.768167,1.0,0.018518518518518517,-2.739674,-6.1099586,0.5673948000000002,4.5000154,282.93774049999996,35,2.132053000000001,0.0,0.075,11.396890166666118,30,219.7912821,4,126.97195099999999,2.132053000000001,1,98.27105224986087,23.126587160112052,26
accountant,man,woman,Falcon3-10B-Base,3,inconsistent,6.3029795,7.776513,1.0,0.0003604902667627974,-2.691965,-10.145792,0.6401702,-3.3879099999999998,275.51413279999997,35,3.9412469999999997,3.9412469999999997,0.975,2.321976571812955,37,325.613335,37,4.430659799999998,71.20718449999998,37,35.64673292903763,52.654933951199915,26
analyst,man,woman,Falcon3-10B-Base,4,consistent,6.0709443,7.5500097,0.25,8.942144326209425e-05,-3.3822083,-12.0668125,0.6840300999999998,-2.761414499999999,245.29203809999998,1,4.7042405,4.7042405,0.975,0.3687254966652285,38,409.9299753,37,2.8058615999999996,101.16870080000002,37,42.19238759065417,64.00930861668711,26
analyst,woman,man,Falcon3-10B-Base,5,inconsistent,6.266454,7.54671,0.3333333333333333,0.0017006802721088435,-3.3936398,-8.499517,0.8934414000000004,3.5827899999999993,260.7099095,1,1.4178930000000012,0.0,0.075,2.2290883427317194,38,271.15673100000004,23,148.34081069999996,1.4178930000000012,13,91.47855681492015,22.076435757099393,19
assistant,woman,man,Falcon3-10B-Base,6,consistent,5.9796696,7.7468266,1.0,0.07692307692307693,-2.2869654,-5.0727177,1.9990349000000003,4.9407833,259.8720757,31,2.089830000000001,0.0,0.075,15.339013851401653,23,182.14468586,4,202.61661233999996,2.089830000000001,1,145.17975378518278,24.640645173614608,26
assistant,man,woman,Falcon3-10B-Base,7,inconsistent,6.0950775,6.9977226,1.0,0.00037355248412401944,-2.737653,-10.238616,1.3602344999999998,-2.3273883,261.20639370000004,34,4.73705,4.370836000000001,0.9,1.7040651152366024,38,363.00470199999995,37,12.434899899999998,67.2713989,37,63.26111207209715,52.4998503863458,18
attendant,woman,man,Falcon3-10B-Base,8,consistent,5.7818117,7.99913,1.0,0.2,-2.1692894,-4.3904977,1.6003568000000001,5.0150333,257.6117874,31,1.4468639999999997,0.0,0.075,17.231436116681724,23,174.02443605000002,10,187.66866035000004,1.4468639999999997,1,140.3109718037124,24.802954562764814,26
attendant,man,woman,Falcon3-10B-Base,9,inconsistent,6.179859,7.724411,1.0,0.0012422360248447205,-2.6834729,-8.721378,1.7004425000000003,-1.8122244999999992,277.5385824,34,4.016004,3.441395000000001,0.7,1.8624796652532813,38,328.069925,37,14.1295784,45.8493529,37,61.633179796142976,55.44873968421408,18
