task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,0.51073384,48339,"[-11.504029273986816, 13.801380157470703, 11.61489200592041]","[3.17283296585083, -1.1686789989471436, 10.389439582824707]",39749,[-5.711167812347412],[2.1165943145751953],-29.150309,-36.023834,correct,True,-87.45093,-36.023834,incorrect,False,-41.816723,-36.023834,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,1.5197123,47498,"[-8.324016571044922, 10.834346771240234, 12.7680025100708]","[-4.090188980102539, -2.634531259536743, 18.355669021606445]",38800,[-4.053088665008545],[4.904682159423828],-22.432413,-28.666283,correct,True,-67.29724,-28.666283,incorrect,False,-32.937214,-28.666283,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,2.069602,47084,"[-7.150204181671143, 7.856697082519531, 15.747811317443848]","[-2.896531820297241, 10.43139362335205, 4.661957263946533]",25736,[-1.2707971334457397],[0.16520822048187256],-15.679376,-20.587914,correct,True,-47.038128,-20.587914,incorrect,False,-26.467321,-20.587914,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,3.9857612,41929,"[-5.676668643951416, 8.614415168762207, 13.545212745666504]","[-1.8116501569747925, -5.384011268615723, 3.4932219982147217]",19339,[-0.7840118408203125],[-3.0644564628601074],-12.542614,-16.436926,correct,True,-37.627842,-16.436926,incorrect,False,-21.329582,-16.436926,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,6.8202972,34592,"[-4.319931983947754, 5.097114562988281, 11.789302825927734]","[-4.193997383117676, 5.93613862991333, 0.3988618552684784]",21593,[-1.6860435009002686],[7.132808208465576],-10.019147,-14.95922,correct,True,-30.057442,-14.95922,incorrect,False,-17.59311,-14.95922,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,3.2292802,29215,"[-4.384509563446045, 5.349354267120361, 10.206595420837402]","[5.868203639984131, -5.958348274230957, -12.621231079101562]",8266,[0.6455944180488586],[-2.3424901962280273],-9.245819,-13.629369,correct,True,-27.737457,-13.629369,incorrect,False,-18.65947,-13.629369,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,4.18302,17345,"[-2.8608689308166504, 7.1009345054626465, 9.635062217712402]","[3.4646830558776855, 14.522106170654297, 1.2569994926452637]",11812,[-1.423775553703308],[0.42835700511932373],-8.64015,-14.639146,correct,True,-25.92045,-14.639146,incorrect,False,-16.076239,-14.639146,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,4.4322386,11966,"[-1.2744200229644775, 8.282269477844238, 9.099416732788086]","[8.525799751281738, -8.224059104919434, -12.211189270019531]",10833,[-0.9948943853378296],[19.495834350585938],-7.1575274,-14.308001,correct,True,-21.472582,-14.308001,incorrect,False,-14.587525,-14.308001,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,3.3003826,1368,"[1.1936265230178833, 6.818853378295898, 7.760617256164551]","[-9.095314025878906, -6.895438194274902, 10.89403247833252]",252,[4.131918907165527],[-2.63466215133667],-6.497231,-9.026927,correct,True,-19.491693,-9.026927,incorrect,False,-11.965222,-9.026927,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,3.0281105,1035,"[-1.4565945863723755, 4.985470294952393, 8.532371520996094]","[-0.7492462396621704, 12.7799711227417, 20.06593132019043]",83,[2.4260048866271973],[3.346358299255371],-5.413938,-7.5466423,correct,True,-16.241814,-7.5466423,incorrect,False,-11.429239,-7.5466423,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,2.8441396,147,"[-1.3886560201644897, 7.0407185554504395, 10.938156127929688]","[5.21941614151001, -8.752542495727539, -22.844148635864258]",19,[2.6747868061065674],[5.312102794647217],-3.7600205,-5.032584,correct,True,-11.280062,-5.032584,incorrect,False,-9.096025,-5.032584,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,5.3961916,39,"[0.8795610070228577, 5.009577751159668, 2.416489601135254]",,3,[3.6456432342529297],,-1.9182849,-2.9657543,correct,True,-5.7548547,-2.9657543,incorrect,False,-5.7318373,-2.9657543,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,0,0.6109684,29998,"[-2.2934296131134033, 21.576852798461914]","[2.9919233322143555, 0.9988045692443848]",31263,"[-2.6471269130706787, 19.23771095275879, 11.242721557617188]","[0.5205135345458984, 12.814501762390137, 28.071664810180664]",-18.065498,-21.930613,correct,True,-36.130997,-65.79184,correct,True,-33.006187,-33.359894,correct,True
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,1,1.3245155,28618,"[-1.1004836559295654, 18.936931610107422]","[-0.33219826221466064, 0.15854310989379883]",32400,"[-2.041532039642334, 18.71598243713379, 18.895322799682617]","[3.980314016342163, 1.0235543251037598, 17.12141990661621]",-13.939628,-12.364476,incorrect,False,-27.879255,-37.09343,correct,True,-25.996117,-26.93717,correct,True
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,2,2.2523427,24551,"[-0.907381534576416, 15.216119766235352]","[-1.6912901401519775, -9.498411178588867]",20921,"[-0.2311653196811676, 15.582613945007324, 19.26198959350586]","[2.1108973026275635, 11.014155387878418, 8.95859146118164]",-10.610388,-7.053266,incorrect,False,-21.220776,-21.159798,incorrect,False,-20.222782,-19.546572,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,3,4.094866,22257,"[-1.2923378944396973, 10.934032440185547]","[4.44351053237915, -4.341587543487549]",12609,"[0.6424742341041565, 15.069326400756836, 18.199161529541016]","[1.0080831050872803, -6.411873817443848, -5.099203109741211]",-9.882841,-5.127862,incorrect,False,-19.765682,-15.383586,incorrect,False,-16.923456,-14.9886465,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,4,6.718046,10360,"[0.8682070970535278, 7.523231029510498]","[-9.465243339538574, -4.867002964019775]",10905,"[0.7442298531532288, 9.887702941894531, 12.742359161376953]","[6.653406143188477, 0.5206034779548645, -2.075606107711792]",-8.101798,-4.664286,incorrect,False,-16.203596,-13.992859,incorrect,False,-12.717325,-12.841302,correct,True
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,5,2.9435625,19699,"[-1.9004594087600708, 5.790816307067871]","[1.3675810098648071, -5.406060218811035]",4034,"[2.28261137008667, 8.331151962280273, 10.403114318847656]","[2.8597922325134277, -10.924225807189941, -2.5520877838134766]",-10.264918,-4.819097,incorrect,False,-20.529837,-14.457292,incorrect,False,-16.504686,-12.321612,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,6,4.152677,17905,"[-2.933264970779419, 4.683905601501465]","[-0.4138174057006836, -10.11206340789795]",1776,"[2.4355762004852295, 8.373848915100098, 10.17220687866211]","[2.0599234104156494, 5.338087558746338, -6.125965595245361]",-10.350792,-4.2540693,incorrect,False,-20.701584,-12.762208,incorrect,False,-16.217266,-10.848427,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,7,4.138275,16414,"[-2.366391658782959, 3.43509840965271]","[4.435863018035889, -19.214656829833984]",2048,"[2.341054677963257, 8.138890266418457, 8.144827842712402]","[15.903929710388184, -1.1128199100494385, -4.636472225189209]",-10.021515,-4.516457,incorrect,False,-20.04303,-13.549371,incorrect,False,-15.785706,-11.078261,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,8,2.9139166,4310,"[-0.7342808246612549, 1.6823077201843262]","[10.065986633300781, -3.607234477996826]",103,"[5.848165035247803, 7.5904974937438965, 6.899275779724121]","[4.662027359008789, 11.627182006835938, 11.683815002441406]",-9.573299,-3.4197028,incorrect,False,-19.146599,-10.259109,incorrect,False,-14.675325,-8.09288,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,9,2.8820627,86,"[2.294926166534424, 0.9074649810791016]","[-5.295841217041016, -14.323100090026855]",11,"[5.628952503204346, 8.661072731018066, 8.234135627746582]","[4.944639682769775, -40.71330261230469, -41.936126708984375]",-5.6817045,-1.5659723,incorrect,False,-11.363409,-4.697917,incorrect,False,-7.8517694,-4.5177464,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,10,2.730328,41,"[1.1031627655029297, -0.7310652732849121]","[7.777400970458984, 1.7394177913665771]",5,"[5.717744827270508, 3.8653757572174072, 1.7992008924484253]","[-0.043366771191358566, -2.2609176635742188, 8.766948699951172]",-4.7939453,-1.3687371,incorrect,False,-9.587891,-4.106211,incorrect,False,-6.9308558,-2.3162746,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,11,5.1432757,4,"[3.54832124710083, -1.2076501846313477]",,3,"[3.72819447517395, 5.85452938079834, 3.325699806213379]",,-1.533972,-0.98130924,incorrect,False,-3.067944,-2.9439278,incorrect,False,-2.9028163,-2.7229433,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,0,0.5865107,15904,[1.2759473323822021],[6.670966148376465],30977,[-2.8650271892547607],[3.5527195930480957],-28.989922,-33.130898,correct,True,-28.989922,-33.130898,correct,True,-28.989922,-33.130898,correct,True
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,1,1.642061,11501,[2.5103228092193604],[0.4676738381385803],28108,[-1.5001518726348877],[3.474872589111328],-21.333189,-25.343664,correct,True,-21.333189,-25.343664,correct,True,-21.333189,-25.343664,correct,True
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,2,2.392719,10416,[1.809459924697876],[-7.301336765289307],18565,[0.020762309432029724],[-4.431675910949707],-17.125,-18.913698,correct,True,-17.125,-18.913698,correct,True,-17.125,-18.913698,correct,True
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,3,3.862546,24191,[-1.8212734460830688],[-2.8997855186462402],24204,[-1.8236284255981445],[-4.381345272064209],-17.37159,-17.373945,correct,True,-17.37159,-17.373945,correct,True,-17.37159,-17.373945,correct,True
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,4,6.7699313,25112,[-2.338996648788452],[-5.6255292892456055],27895,[-2.8992090225219727],[9.903679847717285],-15.568447,-16.12866,correct,True,-15.568447,-16.12866,correct,True,-15.568447,-16.12866,correct,True
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,5,3.3666804,25065,[-3.3769309520721436],[9.627625465393066],9041,[0.3949146866798401],[3.7414722442626953],-17.511002,-13.739157,incorrect,False,-17.511002,-13.739157,incorrect,False,-17.511002,-13.739157,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,6,4.202614,20134,[-3.5098366737365723],[0.0020385384559631348],8358,[-0.4591984748840332],[5.114167213439941],-16.73194,-13.681301,incorrect,False,-16.73194,-13.681301,incorrect,False,-16.73194,-13.681301,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,7,4.4704304,18383,[-2.727200508117676],[7.62723970413208],5019,[0.9146333336830139],[16.829036712646484],-16.121237,-12.479403,incorrect,False,-16.121237,-12.479403,incorrect,False,-16.121237,-12.479403,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,8,3.2117844,3420,[-0.3363770842552185],[1.438387155532837],151,[4.827785015106201],[4.786829948425293],-13.662916,-8.4987545,incorrect,False,-13.662916,-8.4987545,incorrect,False,-13.662916,-8.4987545,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,9,2.9086378,388,[0.04622495174407959],[1.9973907470703125],15,[4.860267639160156],[-6.093669891357422],-9.954235,-5.140192,incorrect,False,-9.954235,-5.140192,incorrect,False,-9.954235,-5.140192,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,10,2.8216107,55,[0.13016188144683838],[6.0349602699279785],9,[3.3160500526428223],[3.8034451007843018],-7.3737645,-4.187876,incorrect,False,-7.3737645,-4.187876,incorrect,False,-7.3737645,-4.187876,incorrect,False
capitals-recall,3,country,Canada,has_competitor,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,The capital of Canada is,11,5.5985312,18,[1.8684357404708862],,3,[3.48503041267395],,-4.714012,-3.0974176,incorrect,False,-4.714012,-3.0974176,incorrect,False,-4.714012,-3.0974176,incorrect,False
