model,model_family,model_size,task,accuracy,n_items
gpt2,GPT-2,124,capitals-recall,0.45161290322580644,62
gpt2,GPT-2,124,capitals-recognition,0.4596774193548387,124
gpt2,GPT-2,124,animals,0.8421052631578947,19
gpt2,GPT-2,124,syllogism,0.5,192
gpt2,GPT-2,124,gender,0.8125,80
gpt2-medium,GPT-2,355,capitals-recall,0.46774193548387094,62
gpt2-medium,GPT-2,355,capitals-recognition,0.5161290322580645,124
gpt2-medium,GPT-2,355,animals,0.8421052631578947,19
gpt2-medium,GPT-2,355,syllogism,0.5,192
gpt2-medium,GPT-2,355,gender,0.9375,80
gpt2-xl,GPT-2,1500,capitals-recall,0.6129032258064516,62
gpt2-xl,GPT-2,1500,capitals-recognition,0.6612903225806451,124
gpt2-xl,GPT-2,1500,animals,0.8947368421052632,19
gpt2-xl,GPT-2,1500,syllogism,0.5,192
gpt2-xl,GPT-2,1500,gender,0.9875,80
mamba-130m-hf,Mamba,130,capitals-recall,0.43548387096774194,62
mamba-130m-hf,Mamba,130,capitals-recognition,0.5564516129032258,124
mamba-130m-hf,Mamba,130,animals,0.6842105263157895,19
mamba-130m-hf,Mamba,130,syllogism,0.5,192
mamba-130m-hf,Mamba,130,gender,0.8375,80
mamba-370m-hf,Mamba,400,capitals-recall,0.4838709677419355,62
mamba-370m-hf,Mamba,400,capitals-recognition,0.6370967741935484,124
mamba-370m-hf,Mamba,400,animals,0.8947368421052632,19
mamba-370m-hf,Mamba,400,syllogism,0.4947916666666667,192
mamba-370m-hf,Mamba,400,gender,0.6125,80
mamba-790m-hf,Mamba,790,capitals-recall,0.7096774193548387,62
mamba-790m-hf,Mamba,790,capitals-recognition,0.5241935483870968,124
mamba-790m-hf,Mamba,790,animals,0.7894736842105263,19
mamba-790m-hf,Mamba,790,syllogism,0.5,192
mamba-790m-hf,Mamba,790,gender,0.5,80
mamba-1.4b-hf,Mamba,1400,capitals-recall,0.7903225806451613,62
mamba-1.4b-hf,Mamba,1400,capitals-recognition,0.8064516129032258,124
mamba-1.4b-hf,Mamba,1400,animals,1.0,19
mamba-1.4b-hf,Mamba,1400,syllogism,0.5,192
mamba-1.4b-hf,Mamba,1400,gender,1.0,80
rwkv-4-169m-pile,RWKV,130,capitals-recall,0.4032258064516129,62
rwkv-4-169m-pile,RWKV,130,capitals-recognition,0.43548387096774194,124
rwkv-4-169m-pile,RWKV,130,animals,0.631578947368421,19
rwkv-4-169m-pile,RWKV,130,syllogism,0.5,192
rwkv-4-169m-pile,RWKV,130,gender,0.725,80
rwkv-4-430m-pile,RWKV,400,capitals-recall,0.43548387096774194,62
rwkv-4-430m-pile,RWKV,400,capitals-recognition,0.6129032258064516,124
rwkv-4-430m-pile,RWKV,400,animals,0.6842105263157895,19
rwkv-4-430m-pile,RWKV,400,syllogism,0.5,192
rwkv-4-430m-pile,RWKV,400,gender,0.8625,80
rwkv-4-1b5-pile,RWKV,1400,capitals-recall,0.6935483870967742,62
rwkv-4-1b5-pile,RWKV,1400,capitals-recognition,0.7741935483870968,124
rwkv-4-1b5-pile,RWKV,1400,animals,0.9473684210526315,19
rwkv-4-1b5-pile,RWKV,1400,syllogism,0.5,192
rwkv-4-1b5-pile,RWKV,1400,gender,0.8375,80
