task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,0.07477,37681,"[-1.720703125, 5.91796875, 0.943359375]","[4.15625, -0.68017578125, 0.642578125]",39383,[-2.1015625],[4.640625],-18.27,-24.03,correct,True,-54.8,-24.03,incorrect,False,-23.66,-24.03,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,1.453,32881,"[-0.376708984375, 4.6015625, 0.86279296875]","[-0.471435546875, 1.3466796875, -6.46484375]",34161,[-0.55908203125],[3.576171875],-15.81,-17.97,correct,True,-47.44,-17.97,incorrect,False,-17.78,-17.97,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,2.322,32235,"[-0.39404296875, 4.39453125, 0.034820556640625]","[8.28125, -0.36279296875, 28.515625]",30919,[-0.20751953125],[3.716796875],-15.51,-16.77,correct,True,-46.53,-16.77,incorrect,False,-16.95,-16.77,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,3.385,28658,"[0.17724609375, 4.02734375, 6.3515625]","[9.484375, 0.05078125, 16.421875]",29594,[0.048858642578125],[4.6953125],-13.51,-16.0,correct,True,-40.53,-16.0,incorrect,False,-15.875,-16.0,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,4.773,23086,"[0.96826171875, 3.51171875, 10.3828125]","[6.07421875, 0.5146484375, 3.763671875]",27128,[0.43701171875],[4.4140625],-12.35,-15.164,correct,True,-37.06,-15.164,incorrect,False,-14.63,-15.164,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,6.598,20414,"[1.51953125, 3.150390625, 9.265625]","[5.13671875, 7.921875, -3.35546875]",25384,[0.86376953125],[5.015625],-12.55,-14.52,correct,True,-37.62,-14.52,incorrect,False,-13.87,-14.52,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,7.082,17640,"[1.908203125, 3.203125, 8.3359375]","[7.57421875, 4.36328125, 6.7109375]",25235,[0.9326171875],[5.2578125],-12.62,-14.32,correct,True,-37.88,-14.32,incorrect,False,-13.34,-14.32,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,6.684,11340,"[3.287109375, 3.462890625, 7.96875]","[7.62890625, 5.453125, 4.36328125]",20466,[1.9814453125],[2.134765625],-12.42,-13.85,correct,True,-37.28,-13.85,incorrect,False,-12.55,-13.85,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,6.074,7088,"[4.0390625, 3.701171875, 7.62109375]","[3.8515625, -2.6640625, 2.134765625]",19324,[2.001953125],[7.80078125],-12.25,-14.11,correct,True,-36.75,-14.11,incorrect,False,-12.07,-14.11,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,5.51,9395,"[4.01171875, 2.828125, 6.96875]","[3.384765625, 2.001953125, 1.6220703125]",15077,[3.041015625],[3.962890625],-13.14,-13.836,correct,True,-39.44,-13.836,incorrect,False,-12.87,-13.836,correct,True
