response_correct,syllogism_condition,rt,syllogism_name,subject,is_valid,answer_with_valid,is_realistic,is_consistent,is_nonsense,unique_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
True,nonsense,35.699013,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,0.49651132,7.4269108500000005,1.0,0.0031280547409579668,-0.089644785,-8.101327000000001,4.077462215000001,1.2161869999999997,345.80511352300005,43.0,2.89583925,2.89583925,0.65625,15.621123322731734,48.0,490.28341619095,48.0,177.24771430905,27.1235217,16.0,97.65252744948143,57.14123138845994,49.0
False,violate,197.794977,flowers_animals_reptiles,Human,True,False,True,False,False,flowers_animals_reptiles^violate^valid,0.55001806,7.8914087,1.0,0.0016505281690140845,-0.130219725,-8.5529185,2.443045925,1.1324185,350.897713565,43.0,2.739146,2.739146,0.671875,15.319110766551793,48.5,494.779209091,46.0,116.95465715899999,28.15541855,16.0,83.80804000526415,63.07860877254078,57.0
False,nonsense,53.098138,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,0.6050025750000001,7.4943314999999995,0.5,0.0008022344285847441,-2.3761567,-9.279155,-2.2299944050000002,-1.2645126000000002,354.3602793495,43.0,3.7996019582000002,3.7996019582000002,1.0,7.344861327757759,49.5,579.1309973,45.0,31.5903174,113.50757538520003,13.5,65.925584849123,87.39094426954918,51.0
False,consistent,30.560626,gems_diamonds_transparent,Human,True,False,True,True,False,gems_diamonds_transparent^consistent^valid,0.34666981500000005,7.78993615,1.0,0.0014159256588960987,-0.059478886499999994,-8.713925,4.5396395635,1.0973759999999997,349.06624962075,43.0,2.69028485,2.69028485,0.65625,15.811454469126929,48.0,489.4512588139,46.0,185.80145413609998,28.255031050000003,16.0,97.48507641349903,57.50572316381814,49.0
True,nonsense,47.365121,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,0.49651132,7.4269108500000005,1.0,0.0031280547409579668,-0.089644785,-8.101327000000001,4.077462215000001,1.2161869999999997,345.80511352300005,43.0,2.89583925,2.89583925,0.65625,15.621123322731734,48.0,490.28341619095,48.0,177.24771430905,27.1235217,16.0,97.65252744948143,57.14123138845994,49.0
True,consistent,14.132236,gems_diamonds_transparent,Human,False,False,True,True,False,gems_diamonds_transparent^consistent^invalid,0.37437001000000003,7.8239955000000005,0.25,0.0005549891586852573,-5.436725,-9.611460999999998,-5.3721592485,-0.9006649999999992,348.3939115051,43.0,4.993393241900001,4.993393241900001,1.0,3.7688884903586173,52.0,668.0462481000001,45.0,28.493525600000005,207.77582189367502,17.0,54.707628402863364,98.08370003309156,13.5
False,nonsense,19.298922,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,0.6050025750000001,7.4943314999999995,0.5,0.0008022344285847441,-2.3761567,-9.279155,-2.2299944050000002,-1.2645126000000002,354.3602793495,43.0,3.7996019582000002,3.7996019582000002,1.0,7.344861327757759,49.5,579.1309973,45.0,31.5903174,113.50757538520003,13.5,65.925584849123,87.39094426954918,51.0
True,nonsense,13.966516,nonsense_gick_criff_riff,Human,False,False,False,False,True,nonsense_gick_criff_riff^nonsense^invalid,0.588582425,7.47248265,0.5,0.0007144241993400032,-2.93364155,-9.383138500000001,-2.8032058324999998,-1.3311760000000001,349.4572390935,43.0,3.9373402691,3.7948986405999996,1.0,6.600051349680076,51.5,597.6941534,45.0,26.205645800000006,132.99739247025002,13.5,59.66816868862189,90.63621649129485,17.0
True,violate,35.59383,flowers_animals_reptiles,Human,True,True,True,False,False,flowers_animals_reptiles^violate^valid,0.55001806,7.8914087,1.0,0.0016505281690140845,-0.130219725,-8.5529185,2.443045925,1.1324185,350.897713565,43.0,2.739146,2.739146,0.671875,15.319110766551793,48.5,494.779209091,46.0,116.95465715899999,28.15541855,16.0,83.80804000526415,63.07860877254078,57.0
True,nonsense,71.632158,nonsense_paft_usp_cesk,Human,True,True,False,False,True,nonsense_paft_usp_cesk^nonsense^valid,0.6016216750000001,7.6039460000000005,1.0,0.003871545584560045,-0.143369015,-7.922767,2.3580746350000004,1.1715074999999997,351.56429615599995,43.0,3.2640090000000006,3.2640090000000006,0.671875,15.695401067441033,48.0,485.14246951810003,46.0,125.21372738189999,28.017710400000006,16.0,89.82272215040835,64.57133726461241,53.0
