task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,4.2410316,21028,"[2.299920082092285, 7.010881423950195, 1.5852508544921875]","[-1.8771038055419922, 0.5861386656761169, -3.2540361881256104]",33360,[0.9069654941558838],[-0.7719963788986206],-13.201913,-15.774119,correct,True,-39.60574,-15.774119,incorrect,False,-14.381165,-15.774119,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,4.96697,23029,"[1.8465033769607544, 6.800902366638184, -0.11624878644943237]","[-1.548411250114441, 3.942462205886841, 4.659846782684326]",32679,[0.7641080617904663],[1.5549066066741943],-13.271408,-15.176344,correct,True,-39.814224,-15.176344,incorrect,False,-14.093948,-15.176344,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,5.9989467,25895,"[1.3642462491989136, 7.0892205238342285, 2.776859998703003]","[-1.4815658330917358, 2.3817312717437744, 5.128831386566162]",28237,[1.1271891593933105],[2.3753175735473633],-11.845189,-13.9486685,correct,True,-35.53557,-13.9486685,incorrect,False,-13.711612,-13.9486685,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,6.338267,34536,"[0.6560417413711548, 6.597711086273193, 5.11491060256958]","[1.4218344688415527, -0.01940755732357502, 3.817650079727173]",25223,[1.6452733278274536],[-3.1032278537750244],-10.894809,-13.584239,correct,True,-32.684425,-13.584239,incorrect,False,-14.57347,-13.584239,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,7.312156,28403,"[1.0609654188156128, 6.635533332824707, 6.18599796295166]","[-1.8868619203567505, 3.4904627799987793, 8.48788070678711]",32158,[0.6699108481407166],[0.9185225963592529],-9.741648,-13.917753,correct,True,-29.224943,-13.917753,incorrect,False,-13.526698,-13.917753,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,8.592642,32372,"[0.17123089730739594, 7.062227249145508, 8.561929702758789]","[-3.458124876022339, -0.6060057878494263, 5.067698955535889]",23656,[1.0114542245864868],[0.3363949954509735],-8.491562,-12.603655,correct,True,-25.474686,-12.603655,incorrect,False,-13.443878,-12.603655,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,8.537091,41239,"[-1.00478196144104, 6.763751983642578, 9.127067565917969]","[0.13715501129627228, -3.749288320541382, -2.7269797325134277]",20411,[1.1141475439071655],[-3.871432304382324],-8.582179,-12.302405,correct,True,-25.746536,-12.302405,incorrect,False,-14.421334,-12.302405,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,8.646017,39371,"[-0.836615264415741, 5.24457311630249, 8.29940414428711]","[0.9486663937568665, 1.4053763151168823, 2.4411065578460693]",36269,[-0.4815254509449005],[0.3869434595108032],-9.142647,-13.68857,correct,True,-27.42794,-13.68857,incorrect,False,-14.04366,-13.68857,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,8.177307,37910,"[-0.5637723207473755, 5.652398109436035, 8.773149490356445]","[-0.6129903197288513, -0.08223330229520798, 1.9735009670257568]",35721,[-0.32596856355667114],[-5.121341228485107],-8.730651,-13.722424,correct,True,-26.191952,-13.722424,incorrect,False,-13.960227,-13.722424,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,8.55723,38740,"[-0.7671392560005188, 5.528281211853027, 8.99232006072998]","[3.9127626419067383, 1.9520370960235596, 2.9466233253479004]",45839,[-1.8815516233444214],[-0.6260078549385071],-8.609368,-15.11347,correct,True,-25.828104,-15.11347,incorrect,False,-13.999058,-15.11347,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,8.270122,24339,"[0.6072918772697449, 6.129492282867432, 9.558302879333496]","[-1.3247904777526855, 0.25982603430747986, 1.0351518392562866]",46163,[-1.9961837530136108],[-2.530355930328369],-7.932574,-15.314121,correct,True,-23.797722,-15.314121,incorrect,False,-12.710646,-15.314121,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,8.291235,28098,"[0.10993915051221848, 6.081576347351074, 9.71273422241211]","[4.173399448394775, 3.2264270782470703, 1.8217802047729492]",48162,[-2.797379732131958],[-1.6222586631774902],-8.078055,-15.971161,correct,True,-24.234165,-15.971161,incorrect,False,-13.063842,-15.971161,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,7.74733,17341,"[1.4309409856796265, 6.644368648529053, 9.625361442565918]","[0.24825419485569, 4.760502815246582, 3.0365593433380127]",49437,[-3.209505558013916],[9.556652069091797],-7.7080855,-16.846996,correct,True,-23.124256,-16.846996,incorrect,False,-12.206551,-16.846996,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,7.97601,15280,"[1.3443480730056763, 7.59464693069458, 10.175615310668945]","[3.240245819091797, 3.0679214000701904, 4.239268779754639]",23693,[0.5253121256828308],[-0.10354673117399216],-7.0494647,-12.7480755,correct,True,-21.148394,-12.7480755,incorrect,False,-11.929041,-12.7480755,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,7.8931575,8594,"[2.2426013946533203, 8.049528121948242, 11.1576566696167]","[2.887472629547119, 4.2372050285339355, 4.663201332092285]",24982,[0.5056055784225464],[5.098410606384277],-6.415085,-12.90285,correct,True,-19.245255,-12.90285,incorrect,False,-11.165854,-12.90285,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,6.7620125,5017,"[2.789597272872925, 8.534459114074707, 11.908556938171387]","[-0.7172332406044006, 1.2924162149429321, 2.5578882694244385]",11389,[1.8210541009902954],[0.13002151250839233],-5.847618,-11.839001,correct,True,-17.542854,-11.839001,incorrect,False,-10.870458,-11.839001,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",16,6.711798,5030,"[2.400545835494995, 8.230232238769531, 12.24411678314209]","[8.57330322265625, 8.564610481262207, 4.922951698303223]",9051,[1.7346826791763306],[9.790580749511719],-5.8298965,-11.595777,correct,True,-17.489689,-11.595777,incorrect,False,-10.9299135,-11.595777,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",17,6.8779163,458,"[4.19235372543335, 9.484853744506836, 12.914273262023926]","[6.907833576202393, 0.14131635427474976, 6.3664870262146]",628,[3.9221975803375244],[17.978002548217773],-4.3258915,-9.013873,correct,True,-12.9776745,-9.013873,incorrect,False,-8.743716,-9.013873,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",18,5.681045,132,"[5.45628547668457, 8.337530136108398, 13.423568725585938]","[2.1637423038482666, 0.24884219467639923, 2.7802157402038574]",17,[8.089115142822266],[-0.5616581439971924],-4.023842,-5.0225296,correct,True,-12.071526,-5.0225296,incorrect,False,-7.6553593,-5.0225296,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",19,5.301425,98,"[5.411387920379639, 7.603553771972656, 12.979158401489258]","[2.8940203189849854, -0.8236370086669922, 5.699016094207764]",27,[7.204061508178711],[-3.513883590698242],-3.9659977,-5.6720705,correct,True,-11.897993,-5.6720705,incorrect,False,-7.4647446,-5.6720705,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",20,5.363302,94,"[5.4286675453186035, 6.8361616134643555, 13.479435920715332]","[3.2357282638549805, -0.9705488085746765, 3.6022181510925293]",96,[5.411545276641846],[8.47485637664795],-3.846321,-7.215624,correct,True,-11.538963,-7.215624,incorrect,False,-7.1985016,-7.215624,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",21,5.368757,88,"[5.522090435028076, 5.939065456390381, 13.144021034240723]","[6.5851521492004395, 1.4498265981674194, 3.4961962699890137]",37,[6.756227970123291],[0.04342848062515259],-4.0378194,-5.66107,correct,True,-12.113458,-5.66107,incorrect,False,-6.8952074,-5.66107,incorrect,False
