condition,exemplar,correct,incorrect,model,item_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting,exemplar_de
Atypical,eel,fish,reptile,Falcon3-10B-Base,1,1.3363469,7.129671,1.0,0.0014992503748125937,-0.28865796,-8.683903,6.16328544,1.4482799999999987,251.698835934,32,1.7121019,1.7121019,0.85,7.989094542169287,32,300.4873851655,32,88.05443013449998,4.3126143,3,98.62119701408083,64.02253334944572,32,Aal
Atypical,bat,mammal,bird,Falcon3-10B-Base,2,4.0284214,7.995556,1.0,0.017241379310344827,-1.0215032,-6.2894807,3.3604424,0.8993777999999999,269.10898497,33,7.786918999999999,2.6229372999999994,0.4,12.241695078919522,34,270.35453087,1,110.76082292999999,54.116665299999994,1,117.29525763950625,35.52333218280695,33,Fledermaus
Atypical,penguin,bird,fish,Falcon3-10B-Base,3,1.4569826,8.374291,1.0,0.022727272727272728,-0.72281104,-6.231097,7.665752960000001,4.137548000000001,260.967563844,32,0.0,0.0,0.025,6.474136962947942,34,225.157721245,5,253.72753275499997,0.0,35,158.34523650417322,36.31349806391856,35,Pinguin
Atypical,butterfly,insect,bird,Falcon3-10B-Base,4,2.366184,7.9603004,1.0,0.0011001100110011,-0.35651976,-8.8401165,8.13271424,-0.5354735000000002,260.89084965999996,31,12.415947999999998,5.097587,0.7,4.859456000426611,35,388.87400808999996,35,116.69362541,123.99217089999999,33,136.37353798370006,26.535577134292712,33,Schmetterling
Atypical,sea lion,mammal,fish,Falcon3-10B-Base,5,1.7415539,8.296899,0.3333333333333333,0.0010162601626016261,-2.8800015,-8.855121,4.1397175,1.6908940000000001,264.65520885,33,2.4206770000000013,0.0,0.25,8.439899915251338,24,302.09514635000005,1,166.38157414999998,5.3395755000000005,33,125.75548854964357,24.906148613606256,33,Seeloewe
Atypical,whale,mammal,fish,Falcon3-10B-Base,6,2.4394233,7.940694,0.5,0.01694915254237288,-1.3301814,-6.3519154,3.4194025999999997,2.3948945999999998,251.04223611999998,33,2.6854180000000003,0.0,0.25,12.25095540143955,27,257.83151124,1,151.67480286,5.640409,1,117.30023760575915,35.29176477410696,33,Wal
Typical,alligator,reptile,mammal,Falcon3-10B-Base,7,1.6976241,8.016897,1.0,0.00027839643652561246,-0.92034894,-10.284733,8.02377106,-0.9803349999999984,256.90851278,33,4.042981000000001,4.010656000000001,0.7,9.944563118922952,29,358.047580955,26,71.697830445,48.256182700000004,33,122.7077771883603,60.87222809790709,35,Alligator
Typical,chameleon,reptile,insect,Falcon3-10B-Base,8,1.8959489,7.6017194,0.5,0.0006618133686300463,-1.3346767,-9.427413,3.6534199999999997,0.8484540000000003,242.82709125,33,0.04014950000000006,0.0,0.2,7.574537511440376,32,336.62060528,29,151.77338741999998,0.04014950000000006,35,153.78169002069083,53.31135262482729,35,Chamaeleon
Typical,falcon,bird,reptile,Falcon3-10B-Base,9,0.68904483,7.8979177,1.0,0.029411764705882353,-0.108047955,-5.984627,9.823263045000001,4.137556,256.78460607520003,33,0.0,0.0,0.025,14.078916878409576,26,192.98247402178,5,284.94278197821995,0.0,33,143.58557207331341,29.085556046729856,33,Falke
Typical,goldfish,fish,amphibian,Falcon3-10B-Base,10,2.2332802,7.952959,1.0,0.00039032006245121,-0.5953688,-9.985869,7.3494942,2.637798,262.364840816,33,0.1262989999999995,0.0,0.075,6.696501172030596,33,347.0140235654,33,218.7313714346,0.1262989999999995,33,150.50806327743598,33.853211596379644,33,Goldfisch
Typical,shark,fish,mammal,Falcon3-10B-Base,11,1.4087124,7.8902063,1.0,0.0015060240963855422,-0.25152543,-8.505124,8.66192657,-0.8359736,253.55705559900002,33,4.200320999999999,4.200320999999999,0.85,6.930615620138222,32,324.97177456229997,32,68.32644933770001,43.5158433,36,127.47106202552581,65.6134647279681,36,Hai
Typical,dog,mammal,insect,Falcon3-10B-Base,12,1.7992325,7.5465846,0.5,0.007407407407407408,-1.1560378,-7.027524,11.3769982,8.415624000000001,236.43468465,21,0.38453999999999944,0.0,0.05,4.717223352461321,36,302.05588324999997,36,368.8724947500001,0.38453999999999944,0,168.68094860440092,21.236880734299724,34,Hund
Typical,rabbit,mammal,reptile,Falcon3-10B-Base,13,3.0065718,7.718129,0.5,0.0012755102040816326,-1.5192244,-8.76029,7.6806396,3.8922550000000005,250.1048132,32,0.5191039999999987,0.0,0.05,5.219389524359882,36,311.64355004,1,180.42857306000002,0.5191039999999987,8,98.2544983586118,20.532060440718315,34,Kaninchen
Typical,cat,mammal,reptile,Falcon3-10B-Base,14,2.155202,7.4281616,0.5,0.0040650406504065045,-1.7443769,-7.5883117,6.663246099999999,4.3979573,243.47634619999997,32,0.5117619999999992,0.0,0.075,4.182771977990532,36,304.0973464,1,175.59776640000004,0.6692780000000003,1,93.81606105440119,19.433020358233534,34,Katze
Typical,rattlesnake,reptile,amphibian,Falcon3-10B-Base,15,1.6122589,7.8541284,0.16666666666666666,0.0008620689655172414,-3.7427897,-9.129875,6.039694300000001,1.456415999999999,270.9926921,33,3.062229000000002,0.30119000000000007,0.45,6.3943719288083205,31,347.1739034,29,171.2242071,3.363419000000002,33,155.06928736321046,49.5922457652502,33,Klapperschlange
Typical,salmon,fish,mammal,Falcon3-10B-Base,16,0.7700355,8.016885,1.0,0.014705882352941176,-0.10822941,-6.4844327,9.85047359,3.2311562999999994,245.6150051202,32,1.0086830000000013,0.0,0.175,12.942368779255231,27,271.1628106252,27,174.5675876748,2.9498374999999992,33,180.34103792222595,41.33986781793091,33,Lachs
Typical,lion,mammal,fish,Falcon3-10B-Base,17,2.8654034,7.5759945,0.14285714285714285,0.0026246719160104987,-3.0787132,-8.096696,5.708649799999999,4.577785,238.06725295,13,2.585459000000002,0.0,0.075,5.741868165427173,24,306.20190160000004,1,212.75007239999997,4.323038000000002,33,143.58246759967238,26.205077521925862,33,Loewe
Typical,horse,mammal,bird,Falcon3-10B-Base,18,2.0722806,7.0274115,0.5,0.00411522633744856,-2.1012104,-7.715013,6.281248600000001,3.3992104999999997,237.17759555,32,7.856557500000001,1.1588779999999996,0.375,4.277154748061892,36,308.0841452,1,177.4042778,45.4571117,1,147.42261729477187,21.583309242299077,33,Pferd
Typical,sparrow,bird,mammal,Falcon3-10B-Base,19,1.322002,7.65738,1.0,0.03125,-0.5183789,-5.90031,12.4179861,3.906821,245.2390324,32,0.0,0.0,0.025,12.657082753855768,29,192.2011120335,21,268.3860119665,0.0,35,178.41865538193795,45.954060412272106,33,Spatz
