rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
3519,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,11,287997,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.802189861519109,4.3575,1.256,0.5,3.2345809640955444e-05,-2.5155,-23.04,-0.6789999999999998,0.8350000000000009,31.52866975,27.0,1.9020000000000001,1.9020000000000001,1.0,1.0547236694924904,46.0,1349.8464999999999,35.0,67.28,32.64450000000001,25.0,48.5188154197413,79.45421919617824,19.5
2289,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,13,291289,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0465433403721245,4.022,1.385,1.0,3.313130034541829e-05,-1.656,-22.855,0.9610000000000001,1.3000000000000007,33.212488615,27.0,3.955,3.955,0.875,1.683060766115608,46.0,1289.757,35.0,123.27199999999999,17.618499999999997,33.0,63.59576139994812,44.03530785360577,41.0
3544,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,15,295837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.7972233273960803,4.069,0.3275,1.0,7.647131591970166e-05,-1.369,-23.86,0.9845000000000002,-0.8499999999999996,28.069288245,35.0,7.4211100000000005,7.4211100000000005,0.9791666666666666,4.535471060233716,45.5,1216.829,35.0,3.859499999999999,147.63245999999998,20.0,69.67591297060002,105.32751268052888,38.0
2088,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,17,298928,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.086474274721276,3.7625,1.6175000000000002,1.0,4.795863935989165e-05,-1.5465,-20.58,0.242,2.0500000000000007,28.032922499999998,27.0,3.855000000000004,2.937999999999999,0.7083333333333334,12.302713137578024,35.0,1044.385225,35.0,73.688275,37.13799999999999,32.0,100.76694583962478,50.298904088163525,43.0
2077,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,19,302009,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0886595497354086,4.425,0.956,1.0,4.0295666151520975e-05,-2.2395,-22.73,0.13099999999999978,-1.3550000000000004,27.23806719,27.0,10.41,10.41,1.0,1.3591840392809371,46.0,1401.6755,35.0,1.6559999999999984,214.53049999999996,35.0,71.43314928058484,71.8078286947005,35.0
4616,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,21,307627,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5842583442006065,4.177,0.4448,1.0,6.243973933102418e-05,-1.571,-22.65,1.1575000000000002,-4.8149999999999995,23.75500697,25.0,7.289999999999999,7.289999999999999,0.875,2.5214371170470113,46.0,1246.3805000000002,35.0,31.139999999999993,88.338,32.5,74.14746566744913,67.41009839465436,35.5
3127,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,311757,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.8800651165682002,4.301,0.77905,0.75,3.37256095507969e-05,-2.2279999999999998,-24.38,-0.02299999999999991,-0.5699999999999985,25.776738554999998,19.0,8.815999999999999,8.815999999999999,1.0,1.5931253398761314,46.0,1308.074,35.0,17.7825,162.56199999999998,37.5,47.885984198272894,109.43098919431222,43.0
3226,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,315986,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8603976414410062,3.532,1.3935,1.0,0.00012934034927374125,-1.13,-18.72,1.2215000000000003,1.0200000000000014,23.4736696,27.0,0.5130000000000003,0.5130000000000003,0.875,3.518103412820386,46.0,1060.6360000000002,32.5,231.37900000000008,1.4829999999999997,31.5,96.24109990969872,42.65443413427873,36.0
2929,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,27,319918,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.919400066822588,4.346,1.482,1.0,0.0001771032222938678,-1.7115,-17.415,1.1675,2.905000000000001,28.597305624999997,27.0,0.4650000000000034,0.09500000000000064,0.21875,4.574380308672986,45.0,1086.9645,35.0,163.76850000000002,0.560000000000004,29.0,127.14094118688654,45.64891309866208,37.5
1827,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,322747,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.1383248909656962,4.5605,1.686,1.0,0.002567432172331057,-2.1245,-12.468,0.3275000000000001,7.557,28.23219513,27.0,0.0,0.0,0.020833333333333332,2.6906877618933844,46.0,1071.799,35.0,267.78049999999996,0.0,30.0,110.62112448471751,41.63027515635807,30.0
