task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,9.1090355,24195,"[-0.9147135019302368, 5.936057090759277, 1.1336336135864258]","[0.24435216188430786, -1.1041486263275146, 1.7217676639556885]",39881,[-2.150979518890381],[0.0015913844108581543],-10.297759,-13.259544,correct,True,-30.893276,-13.259544,incorrect,False,-12.023278,-13.259544,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,8.938907,21600,"[-0.8183289766311646, 4.255918025970459, 1.9044098854064941]","[0.6612910032272339, 1.8727550506591797, 6.690197944641113]",36749,[-1.9436267614364624],[-1.9457261562347412],-10.010146,-12.979411,correct,True,-30.030437,-12.979411,incorrect,False,-11.854114,-12.979411,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,8.87856,15868,"[-0.4282427132129669, 4.006611347198486, 5.477053642272949]","[-1.471250057220459, 5.362539291381836, 2.7288475036621094]",38859,[-2.106894016265869],[-3.095506191253662],-8.408338,-13.1528225,correct,True,-25.225012,-13.1528225,incorrect,False,-11.474171,-13.1528225,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,7.699913,23045,"[-0.9973349571228027, 5.9842448234558105, 6.52477502822876]","[0.008725002408027649, 6.7158918380737305, 6.913270473480225]",44968,[-3.1157193183898926],[2.8118655681610107],-8.212201,-14.601769,correct,True,-24.636604,-14.601769,incorrect,False,-12.483384,-14.601769,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,6.499405,17992,"[-0.9011285305023193, 7.5086445808410645, 9.44333267211914]","[0.20879900455474854, 1.6018779277801514, 4.057025909423828]",28456,[-1.7392650842666626],[1.3456531763076782],-6.6592565,-13.27418,correct,True,-19.97777,-13.27418,incorrect,False,-12.436044,-13.27418,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,5.55693,15897,"[-0.7251507043838501, 7.6197943687438965, 10.144641876220703]","[0.7884403467178345, -0.27626341581344604, 0.850365936756134]",18172,[-0.9198899865150452],[-0.3346855044364929],-6.5342774,-12.781635,correct,True,-19.602833,-12.781635,incorrect,False,-12.586897,-12.781635,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,4.6940002,13081,"[-0.4214794933795929, 7.398642539978027, 9.415138244628906]","[-1.8113608360290527, 1.4378068447113037, 6.812771320343018]",17448,[-0.8557059168815613],[-0.9854296445846558],-6.677713,-13.150311,correct,True,-20.033138,-13.150311,incorrect,False,-12.7160845,-13.150311,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,5.403615,28707,"[-1.2045412063598633, 8.48542308807373, 11.608386993408203]","[-0.5532383918762207, -2.303142786026001, 4.765205383300781]",26837,[-1.0439341068267822],[-0.902869462966919],-6.110002,-13.597349,correct,True,-18.330006,-13.597349,incorrect,False,-13.7579565,-13.597349,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,3.3267193,22587,"[-1.5039496421813965, 7.752650737762451, 12.826714515686035]","[-1.9374287128448486, 9.062520027160645, 1.2686753273010254]",19581,[-1.2365226745605469],[-0.03413352370262146],-6.5761237,-14.36654,correct,True,-19.72837,-14.36654,incorrect,False,-14.633967,-14.36654,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,3.248231,19055,"[-2.155346393585205, 10.123126029968262, 12.359560012817383]","[4.294523239135742, 6.437221050262451, 2.7533977031707764]",9351,[-0.9528461694717407],[2.8497793674468994],-6.046578,-14.148235,correct,True,-18.139734,-14.148235,incorrect,False,-15.350735,-14.148235,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,2.578705,5281,"[-0.3835142254829407, 12.000598907470703, 14.376847267150879]","[9.95517635345459, 4.743349075317383, 3.5682947635650635]",3076,[0.3605108857154846],[15.372637748718262],-5.29039,-14.295965,correct,True,-15.87117,-14.295965,incorrect,False,-15.03999,-14.295965,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,1.2891717,271,"[4.453999042510986, 12.081530570983887, 14.805795669555664]","[9.674843788146973, 2.374133586883545, 7.197960376739502]",45,[7.681195259094238],[3.754122257232666],-4.3121834,-9.135039,correct,True,-12.93655,-9.135039,incorrect,False,-12.362236,-9.135039,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,1.6471188,57,"[6.604711532592773, 11.161616325378418, 15.437171936035156]","[4.700279235839844, 0.2512432932853699, 8.330758094787598]",41,[7.377893447875977],[-3.004987955093384],-3.3317668,-8.597371,correct,True,-9.9953,-8.597371,incorrect,False,-9.370553,-8.597371,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,2.543945,50,"[6.675343990325928, 12.313966751098633, 17.682775497436523]","[8.60835075378418, 9.751083374023438, 6.448336124420166]",145,[5.206343650817871],[10.933791160583496],-2.7201188,-9.2719345,correct,True,-8.1603565,-9.2719345,correct,True,-7.802934,-9.2719345,correct,True
