rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
3519,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,11,287997,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.802189861519109,3.40945435,2.88149385,1.0,0.002427404976322155,-0.90226395,-9.880027,1.9579811500000002,-0.6194575000000002,166.84559195,14.0,6.48387735,5.795127749999999,0.9875,3.0583791478084397,38.0,334.6421603,20.0,16.19795,78.670469,18.0,81.67707104491953,87.8184827648541,24.0
2289,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,13,291289,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0465433403721245,3.13448335,2.23414315,1.0,0.006828316610925306,-0.760507775,-9.046759,3.316440125,1.0081592500000003,161.19694813,16.0,0.0,0.0,0.025,8.781973336626725,35.0,233.021284015,20.0,104.89291063499999,0.0,33.0,87.39257794461776,27.410622132151936,33.0
3544,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,15,295837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.7972233273960803,4.06911815,3.926867,1.0,0.001930509063232023,-1.06717185,-9.534113999999999,2.73666185,-0.551412,192.02520429999998,22.5,5.353308500000001,3.0599705000000004,0.6125,7.031879522295083,33.0,303.121009725,22.5,42.028869125,59.422086599999986,14.5,71.26685811006843,54.04151717765417,23.0
2088,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,17,298928,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.086474274721276,3.69316615,2.64080265,1.0,0.010417797069994574,-1.07303922,-8.168856,1.73419138,-0.5498905999999999,162.288778245,35.0,2.9706022499999998,1.7607325999999994,0.5625,10.046628532789011,33.0,233.6914373035,18.0,65.7761040965,17.125884900000003,35.0,90.36345231361148,54.06264558247349,35.0
2077,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,19,302009,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0886595497354086,2.8312225,3.369704,1.0,0.1,-0.63638328,-4.58591525,4.79400397,-0.5027754,142.854805135,14.5,5.676533999999999,5.419304,0.5875,18.10634188869909,22.0,220.35396464500002,17.5,113.277399355,50.27004185000001,25.5,97.10799675216575,25.585019619395112,25.0
4616,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,21,307627,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5842583442006065,3.6339115499999997,2.33935815,1.0,0.00522367703218767,-1.0856354000000001,-9.346349,2.50591525,-0.6000735000000006,159.839143965,14.0,3.36275555,3.36275555,0.65,9.84413945872573,31.0,260.0233028075,0.0,72.79101454250001,22.182172549999997,33.0,96.97781470445022,51.8589082146157,33.0
3127,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,311757,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.8800651165682002,3.0991414500000003,1.3244324,1.0,0.014238667183262301,-0.69803795,-9.098272999999999,2.46943,0.3069240000000004,166.6062263,18.0,5.093978,3.5249351500000006,0.525,8.033448780088444,31.0,260.480373305,20.0,49.826687745000015,48.39635365000001,19.0,84.180459503387,57.783921029115376,24.0
3226,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,315986,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8603976414410062,3.80286055,1.2945525999999998,1.0,0.005201455329470422,-0.971369375,-10.090643,2.9000446250000005,-0.7811735000000004,169.40291199,18.0,4.7394538,4.5681133,0.6625000000000001,12.812658898193753,26.5,280.7955821475,22.5,70.13658115249999,36.52358815000001,24.0,104.5548823855986,47.04693462155399,24.0
2929,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,27,319918,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.919400066822588,3.1715925,0.8199855199999999,1.0,0.020092460881934567,-0.8804468999999999,-8.9095815,2.08088635,-0.3318779999999997,162.992733545,18.0,2.8472903499999997,2.8472903499999997,0.7,7.4411319048798905,35.5,223.482275455,20.0,122.07790124499999,9.68996645,35.0,132.35050610599825,75.15181857684905,35.0
1827,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,322747,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.1383248909656962,3.87003685,0.9559546750000001,1.0,0.02684931506849315,-1.33495845,-8.585685999999999,2.0863518,0.6543089999999996,153.11513470199998,18.0,4.49311111,4.49311111,0.6875,9.833651245669653,33.5,221.757705704,20.0,88.948261346,12.927848335,34.0,127.8462239789101,66.26897622229141,34.0
