item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,8.000364,15516,[0.5655621886253357],[3.5285706520080566],5185,[1.7341506481170654],[0.05681160092353821],-11.634922,-10.466333,incorrect,False,-11.634922,-10.466333,incorrect,False,-11.634922,-10.466333,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,7.9018965,8984,[1.083706021308899],[1.8309178352355957],4684,[1.715977668762207],[1.4318640232086182],-11.022745,-10.390473,incorrect,False,-11.022745,-10.390473,incorrect,False,-11.022745,-10.390473,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,7.810332,6795,[1.3393149375915527],[0.6895347237586975],3604,[1.9159653186798096],[1.1698417663574219],-10.770581,-10.193932,incorrect,False,-10.770581,-10.193932,incorrect,False,-10.770581,-10.193932,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,8.518063,6234,[1.447737216949463],[1.1135387420654297],2696,[2.2103452682495117],[1.4676181077957153],-10.542372,-9.779764,incorrect,False,-10.542372,-9.779764,incorrect,False,-10.542372,-9.779764,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,8.906742,4834,[1.6251391172409058],[1.0509577989578247],1712,[2.514246702194214],[-0.49646463990211487],-10.224182,-9.335074,incorrect,False,-10.224182,-9.335074,incorrect,False,-10.224182,-9.335074,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,9.089591,4329,[1.7290836572647095],[1.4407477378845215],2753,[2.1282143592834473],[0.2934871315956116],-10.075231,-9.6761,incorrect,False,-10.075231,-9.6761,incorrect,False,-10.075231,-9.6761,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,9.317862,3375,[1.9620786905288696],[5.480916976928711],3138,[2.022847890853882],[4.8144755363464355],-9.827536,-9.7667675,incorrect,False,-9.827536,-9.7667675,incorrect,False,-9.827536,-9.7667675,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,9.489478,480,[3.3811964988708496],[0.39175862073898315],565,[3.273259162902832],[0.29594701528549194],-8.422686,-8.530623,correct,True,-8.422686,-8.530623,correct,True,-8.422686,-8.530623,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,9.530494,690,[3.079336166381836],[3.6728663444519043],758,[3.0001039505004883],[-0.17102602124214172],-8.608168,-8.6874,correct,True,-8.608168,-8.6874,correct,True,-8.608168,-8.6874,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,9.463961,266,[3.749575614929199],[3.7463581562042236],990,[2.858962059020996],[1.7064744234085083],-7.997876,-8.88849,correct,True,-7.997876,-8.88849,correct,True,-7.997876,-8.88849,correct,True,gender
