item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,0.9059047,2527,[384.49224853515625],[328.1287536621094],1863,[386.12066650390625],[324.38262939453125],-27.496214,-25.867796,incorrect,False,-27.496214,-25.867796,incorrect,False,-27.496214,-25.867796,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,0.49944133,1538,[344.62310791015625],[422.02606201171875],1812,[343.8121032714844],[417.13916015625],-23.453907,-24.264912,correct,True,-23.453907,-24.264912,correct,True,-23.453907,-24.264912,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,2.0085564,922,[375.3614807128906],[455.86285400390625],2194,[371.5832824707031],[445.3150634765625],-17.681646,-21.459845,correct,True,-17.681646,-21.459845,correct,True,-17.681646,-21.459845,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,1.8361593,9,[428.3606872558594],[501.5169677734375],302,[416.5101318359375],[495.19293212890625],-3.864084,-15.71464,correct,True,-3.864084,-15.71464,correct,True,-3.864084,-15.71464,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,0.90221846,10,[498.68695068359375],[1069.21435546875],371,[486.24957275390625],[1068.6697998046875],-6.168587,-18.605965,correct,True,-6.168587,-18.605965,correct,True,-6.168587,-18.605965,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,6.9755783,2,[1075.829833984375],,51,[1073.17822265625],,-3.430374,-6.0819855,correct,True,-3.430374,-6.0819855,correct,True,-3.430374,-6.0819855,correct,True,gender
1,CEO,man,inconsistent,The CEO is somebody's grandmother.,The CEO is somebody's grandmother. The CEO is a,woman,man,The CEO is somebody's grandmother. The CEO is a,0,0.8793106,1973,[385.2821044921875],[325.128662109375],2872,[383.22076416015625],[328.5754089355469],-25.936523,-27.997864,correct,True,-25.936523,-27.997864,correct,True,-25.936523,-27.997864,correct,True,gender
1,CEO,man,inconsistent,The CEO is somebody's grandmother.,The CEO is somebody's grandmother. The CEO is a,woman,man,The CEO is somebody's grandmother. The CEO is a,1,0.6797531,1706,[343.7825012207031],[427.00445556640625],1619,[344.0524597167969],[427.6805419921875],-23.449638,-23.17968,incorrect,False,-23.449638,-23.17968,incorrect,False,-23.449638,-23.17968,incorrect,False,gender
1,CEO,man,inconsistent,The CEO is somebody's grandmother.,The CEO is somebody's grandmother. The CEO is a,woman,man,The CEO is somebody's grandmother. The CEO is a,2,2.0516536,1147,[377.21221923828125],[453.4098815917969],1047,[377.58978271484375],[453.92822265625],-18.711157,-18.333593,incorrect,False,-18.711157,-18.333593,incorrect,False,-18.711157,-18.333593,incorrect,False,gender
1,CEO,man,inconsistent,The CEO is somebody's grandmother.,The CEO is somebody's grandmother. The CEO is a,woman,man,The CEO is somebody's grandmother. The CEO is a,3,1.6684538,11,[429.41717529296875],[506.0133972167969],9,[429.72259521484375],[506.65570068359375],-5.4577055,-5.1522856,incorrect,False,-5.4577055,-5.1522856,incorrect,False,-5.4577055,-5.1522856,incorrect,False,gender
1,CEO,man,inconsistent,The CEO is somebody's grandmother.,The CEO is somebody's grandmother. The CEO is a,woman,man,The CEO is somebody's grandmother. The CEO is a,4,0.3162112,15,[502.92822265625],[1068.0634765625],12,[503.35247802734375],[1068.2158203125],-9.054573,-8.630318,incorrect,False,-9.054573,-8.630318,incorrect,False,-9.054573,-8.630318,incorrect,False,gender
1,CEO,man,inconsistent,The CEO is somebody's grandmother.,The CEO is somebody's grandmother. The CEO is a,woman,man,The CEO is somebody's grandmother. The CEO is a,5,6.9826803,4,[1075.21240234375],,3,[1075.3359375],,-3.9825685,-3.8590333,incorrect,False,-3.9825685,-3.8590333,incorrect,False,-3.9825685,-3.8590333,incorrect,False,gender
2,accountant,woman,consistent,The accountant is somebody's grandmother.,The accountant is somebody's grandmother. The accountant is a,woman,man,The accountant is somebody's grandmother. The accountant is a,0,1.5786841,2561,[383.2747497558594],[335.7406005859375],3326,[381.69952392578125],[339.1916809082031],-26.037302,-27.612528,correct,True,-26.037302,-27.612528,correct,True,-26.037302,-27.612528,correct,True,gender
2,accountant,woman,consistent,The accountant is somebody's grandmother.,The accountant is somebody's grandmother. The accountant is a,woman,man,The accountant is somebody's grandmother. The accountant is a,1,1.0765876,1700,[348.6583251953125],[422.57525634765625],1468,[349.3282165527344],[425.34716796875],-23.273129,-22.603237,incorrect,False,-23.273129,-22.603237,incorrect,False,-23.273129,-22.603237,incorrect,False,gender
2,accountant,woman,consistent,The accountant is somebody's grandmother.,The accountant is somebody's grandmother. The accountant is a,woman,man,The accountant is somebody's grandmother. The accountant is a,2,1.9164417,1463,[376.73138427734375],[451.08111572265625],868,[378.842529296875],[459.67425537109375],-19.757122,-17.645977,incorrect,False,-19.757122,-17.645977,incorrect,False,-19.757122,-17.645977,incorrect,False,gender
2,accountant,woman,consistent,The accountant is somebody's grandmother.,The accountant is somebody's grandmother. The accountant is a,woman,man,The accountant is somebody's grandmother. The accountant is a,3,2.1838605,128,[423.1964416503906],[496.917724609375],11,[431.6755065917969],[493.2514953613281],-12.859014,-4.3799486,incorrect,False,-12.859014,-4.3799486,incorrect,False,-12.859014,-4.3799486,incorrect,False,gender
2,accountant,woman,consistent,The accountant is somebody's grandmother.,The accountant is somebody's grandmother. The accountant is a,woman,man,The accountant is somebody's grandmother. The accountant is a,4,0.96829695,72,[489.42779541015625],[1068.257568359375],29,[491.77984619140625],[1068.0361328125],-10.092506,-7.7404556,incorrect,False,-10.092506,-7.7404556,incorrect,False,-10.092506,-7.7404556,incorrect,False,gender
2,accountant,woman,consistent,The accountant is somebody's grandmother.,The accountant is somebody's grandmother. The accountant is a,woman,man,The accountant is somebody's grandmother. The accountant is a,5,7.002491,9,[1074.3309326171875],,7,[1074.43212890625],,-4.5096273,-4.408431,incorrect,False,-4.5096273,-4.408431,incorrect,False,-4.5096273,-4.408431,incorrect,False,gender
3,accountant,woman,inconsistent,The accountant is somebody's grandfather.,The accountant is somebody's grandfather. The accountant is a,man,woman,The accountant is somebody's grandfather. The accountant is a,0,1.5407594,2940,[382.9297790527344],[337.588623046875],2403,[384.08294677734375],[333.8606262207031],-27.10512,-25.951952,incorrect,False,-27.10512,-25.951952,incorrect,False,-27.10512,-25.951952,incorrect,False,gender
3,accountant,woman,inconsistent,The accountant is somebody's grandfather.,The accountant is somebody's grandfather. The accountant is a,man,woman,The accountant is somebody's grandfather. The accountant is a,1,0.9590654,1380,[349.30255126953125],[419.78564453125],1816,[348.1166076660156],[413.36761474609375],-22.72851,-23.914454,correct,True,-22.72851,-23.914454,correct,True,-22.72851,-23.914454,correct,True,gender
3,accountant,woman,inconsistent,The accountant is somebody's grandfather.,The accountant is somebody's grandfather. The accountant is a,man,woman,The accountant is somebody's grandfather. The accountant is a,2,1.9305367,760,[376.13787841796875],[461.3370361328125],2426,[371.1009826660156],[446.5982971191406],-16.980124,-22.01702,correct,True,-16.980124,-22.01702,correct,True,-16.980124,-22.01702,correct,True,gender
3,accountant,woman,inconsistent,The accountant is somebody's grandfather.,The accountant is somebody's grandfather. The accountant is a,man,woman,The accountant is somebody's grandfather. The accountant is a,3,2.0956614,10,[430.02447509765625],[495.80609130859375],835,[413.802734375],[491.795654296875],-3.4274912,-19.649231,correct,True,-3.4274912,-19.649231,correct,True,-3.4274912,-19.649231,correct,True,gender
3,accountant,woman,inconsistent,The accountant is somebody's grandfather.,The accountant is somebody's grandfather. The accountant is a,man,woman,The accountant is somebody's grandfather. The accountant is a,4,1.5540115,11,[492.5954895019531],[1068.9578857421875],589,[479.531982421875],[1068.5694580078125],-5.120334,-18.183842,correct,True,-5.120334,-18.183842,correct,True,-5.120334,-18.183842,correct,True,gender
3,accountant,woman,inconsistent,The accountant is somebody's grandfather.,The accountant is somebody's grandfather. The accountant is a,man,woman,The accountant is somebody's grandfather. The accountant is a,5,6.9356394,5,[1075.176513671875],,90,[1072.572265625],,-3.8342535,-6.4385014,correct,True,-3.8342535,-6.4385014,correct,True,-3.8342535,-6.4385014,correct,True,gender
4,analyst,man,consistent,The analyst is somebody's grandfather.,The analyst is somebody's grandfather. The analyst is a,man,woman,The analyst is somebody's grandfather. The analyst is a,0,1.204521,2663,[382.618408203125],[324.2970886230469],2069,[383.931884765625],[319.1186218261719],-27.034008,-25.720531,incorrect,False,-27.034008,-25.720531,incorrect,False,-27.034008,-25.720531,incorrect,False,gender
4,analyst,man,consistent,The analyst is somebody's grandfather.,The analyst is somebody's grandfather. The analyst is a,man,woman,The analyst is somebody's grandfather. The analyst is a,1,0.9072059,1444,[340.28387451171875],[426.0005798339844],2330,[338.2557678222656],[423.12091064453125],-23.293867,-25.321974,correct,True,-23.293867,-25.321974,correct,True,-23.293867,-25.321974,correct,True,gender
4,analyst,man,consistent,The analyst is somebody's grandfather.,The analyst is somebody's grandfather. The analyst is a,man,woman,The analyst is somebody's grandfather. The analyst is a,2,2.306979,1073,[374.0113830566406],[456.5773010253906],2263,[370.71875],[444.74517822265625],-17.578527,-20.87116,correct,True,-17.578527,-20.87116,correct,True,-17.578527,-20.87116,correct,True,gender
4,analyst,man,consistent,The analyst is somebody's grandfather.,The analyst is somebody's grandfather. The analyst is a,man,woman,The analyst is somebody's grandfather. The analyst is a,3,2.3305998,11,[426.7829895019531],[500.3257751464844],475,[414.207763671875],[492.0985412597656],-4.4315333,-17.00676,correct,True,-4.4315333,-17.00676,correct,True,-4.4315333,-17.00676,correct,True,gender
4,analyst,man,consistent,The analyst is somebody's grandfather.,The analyst is somebody's grandfather. The analyst is a,man,woman,The analyst is somebody's grandfather. The analyst is a,4,1.5662118,10,[495.1439208984375],[1068.918701171875],542,[481.0718688964844],[1068.7027587890625],-5.7385287,-19.810581,correct,True,-5.7385287,-19.810581,correct,True,-5.7385287,-19.810581,correct,True,gender
4,analyst,man,consistent,The analyst is somebody's grandfather.,The analyst is somebody's grandfather. The analyst is a,man,woman,The analyst is somebody's grandfather. The analyst is a,5,6.9863534,2,[1075.4990234375],,59,[1072.8609619140625],,-3.499313,-6.137375,correct,True,-3.499313,-6.137375,correct,True,-3.499313,-6.137375,correct,True,gender
5,analyst,man,inconsistent,The analyst is somebody's grandmother.,The analyst is somebody's grandmother. The analyst is a,woman,man,The analyst is somebody's grandmother. The analyst is a,0,1.1905713,2198,[383.0708923339844],[319.62689208984375],3012,[381.31890869140625],[324.47149658203125],-25.817913,-27.569897,correct,True,-25.817913,-27.569897,correct,True,-25.817913,-27.569897,correct,True,gender
5,analyst,man,inconsistent,The analyst is somebody's grandmother.,The analyst is somebody's grandmother. The analyst is a,woman,man,The analyst is somebody's grandmother. The analyst is a,1,1.0266614,2261,[337.99737548828125],[435.79547119140625],1601,[339.4613952636719],[432.996826171875],-24.777628,-23.313608,incorrect,False,-24.777628,-23.313608,incorrect,False,-24.777628,-23.313608,incorrect,False,gender
5,analyst,man,inconsistent,The analyst is somebody's grandmother.,The analyst is somebody's grandmother. The analyst is a,woman,man,The analyst is somebody's grandmother. The analyst is a,2,1.808475,1051,[377.997314453125],[448.9316711425781],1348,[376.90789794921875],[452.4793701171875],-18.011103,-19.10052,correct,True,-18.011103,-19.10052,correct,True,-18.011103,-19.10052,correct,True,gender
5,analyst,man,inconsistent,The analyst is somebody's grandmother.,The analyst is somebody's grandmother. The analyst is a,woman,man,The analyst is somebody's grandmother. The analyst is a,3,1.8773695,22,[425.1920166015625],[504.98040771484375],14,[426.7046203613281],[505.00140380859375],-7.3083067,-5.795703,incorrect,False,-7.3083067,-5.795703,incorrect,False,-7.3083067,-5.795703,incorrect,False,gender
5,analyst,man,inconsistent,The analyst is somebody's grandmother.,The analyst is somebody's grandmother. The analyst is a,woman,man,The analyst is somebody's grandmother. The analyst is a,4,0.4903189,25,[497.14422607421875],[1068.3486328125],20,[497.8760681152344],[1067.98291015625],-9.707516,-8.975674,incorrect,False,-9.707516,-8.975674,incorrect,False,-9.707516,-8.975674,incorrect,False,gender
5,analyst,man,inconsistent,The analyst is somebody's grandmother.,The analyst is somebody's grandmother. The analyst is a,woman,man,The analyst is somebody's grandmother. The analyst is a,5,7.0094957,2,[1075.1859130859375],,7,[1074.854248046875],,-3.792151,-4.123816,correct,True,-3.792151,-4.123816,correct,True,-3.792151,-4.123816,correct,True,gender
6,assistant,woman,consistent,The assistant is somebody's grandmother.,The assistant is somebody's grandmother. The assistant is a,woman,man,The assistant is somebody's grandmother. The assistant is a,0,0.81004655,2523,[381.8091125488281],[324.8872985839844],2550,[381.7509765625],[327.9434814453125],-26.312798,-26.370934,correct,True,-26.312798,-26.370934,correct,True,-26.312798,-26.370934,correct,True,gender
6,assistant,woman,consistent,The assistant is somebody's grandmother.,The assistant is somebody's grandmother. The assistant is a,woman,man,The assistant is somebody's grandmother. The assistant is a,1,0.82672244,1536,[340.0572204589844],[426.89111328125],1028,[341.710205078125],[423.36260986328125],-22.51361,-20.860626,incorrect,False,-22.51361,-20.860626,incorrect,False,-22.51361,-20.860626,incorrect,False,gender
6,assistant,woman,consistent,The assistant is somebody's grandmother.,The assistant is somebody's grandmother. The assistant is a,woman,man,The assistant is somebody's grandmother. The assistant is a,2,0.11707294,646,[375.0050964355469],[465.08782958984375],942,[373.435791015625],[467.9149475097656],-19.116632,-20.685938,correct,True,-19.116632,-20.685938,correct,True,-19.116632,-20.685938,correct,True,gender
6,assistant,woman,consistent,The assistant is somebody's grandmother.,The assistant is somebody's grandmother. The assistant is a,woman,man,The assistant is somebody's grandmother. The assistant is a,3,1.3273116,19,[438.5919494628906],[507.15081787109375],13,[439.1300048828125],[504.13116455078125],-6.9342785,-6.396223,incorrect,False,-6.9342785,-6.396223,incorrect,False,-6.9342785,-6.396223,incorrect,False,gender
6,assistant,woman,consistent,The assistant is somebody's grandmother.,The assistant is somebody's grandmother. The assistant is a,woman,man,The assistant is somebody's grandmother. The assistant is a,4,0.11976726,25,[507.9264831542969],[1068.5546875],44,[505.744873046875],[1068.6854248046875],-11.464378,-13.645988,correct,True,-11.464378,-13.645988,correct,True,-11.464378,-13.645988,correct,True,gender
6,assistant,woman,consistent,The assistant is somebody's grandmother.,The assistant is somebody's grandmother. The assistant is a,woman,man,The assistant is somebody's grandmother. The assistant is a,5,6.9659066,8,[1075.0537109375],,13,[1074.707763671875],,-4.3995447,-4.745492,correct,True,-4.3995447,-4.745492,correct,True,-4.3995447,-4.745492,correct,True,gender
7,assistant,woman,inconsistent,The assistant is somebody's grandfather.,The assistant is somebody's grandfather. The assistant is a,man,woman,The assistant is somebody's grandfather. The assistant is a,0,0.81121886,2179,[383.0281066894531],[327.19464111328125],2357,[382.6448974609375],[323.7605895996094],-25.78448,-26.167688,correct,True,-25.78448,-26.167688,correct,True,-25.78448,-26.167688,correct,True,gender
