task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,0.0,261,"[31.125, 72.375, 69.5]","[-43.5, -31.203125, -13.2265625]",7655,[16.796875],[25.421875],-145.2,-82.7,incorrect,False,-436.0,-82.7,incorrect,False,-68.44,-82.7,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,0.0,13766,"[25.03125, 35.15625, 57.21875]","[-8.953125, -36.25, -6.35546875]",34772,[20.34375],[-7.765625],-113.1,-58.53,incorrect,False,-339.5,-58.53,incorrect,False,-53.84,-58.53,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,0.0,6811,"[23.3125, 30.640625, 48.0625]","[-9.046875, -19.140625, -9.7734375]",25585,[18.859375],[-7.578125],-105.2,-55.7,incorrect,False,-315.5,-55.7,incorrect,False,-51.3,-55.7,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.0,5869,"[20.8125, 24.9375, 37.90625]","[-4.69921875, -22.671875, -5.63671875]",21886,[16.796875],[-3.765625],-95.56,-53.12,incorrect,False,-286.8,-53.12,incorrect,False,-49.12,-53.12,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,0.0,1342,"[18.625, 21.6875, 33.3125]","[-1.595703125, 0.52392578125, -3.712890625]",7803,[15.0390625],[5.25],-90.4,-53.1,incorrect,False,-271.2,-53.1,incorrect,False,-49.5,-53.1,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,0.0,1656,"[18.203125, 19.796875, 28.609375]","[-11.546875, -2.40234375, 14.6875]",7767,[15.125],[-11.3828125],-84.56,-52.0,incorrect,False,-253.6,-52.0,incorrect,False,-48.94,-52.0,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,0.0,1211,"[15.875, 18.9375, 31.203125]","[8.0390625, -16.84375, -1.2099609375]",5435,[12.9921875],[-13.9296875],-75.1,-49.97,incorrect,False,-225.5,-49.97,incorrect,False,-47.06,-49.97,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,0.0,594,"[16.078125, 17.078125, 28.546875]","[9.109375, -32.84375, -19.796875]",5167,[11.7890625],[2.07421875],-68.94,-50.5,incorrect,False,-206.8,-50.5,incorrect,False,-46.2,-50.5,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,0.0,385,"[16.625, 12.84375, 25.046875]","[1.427734375, -13.4296875, -8.2890625]",4281,[11.6953125],[-3.330078125],-65.3,-48.88,incorrect,False,-195.9,-48.88,incorrect,False,-43.97,-48.88,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,1.1e-06,295,"[16.109375, 10.1640625, 20.90625]","[-0.1771240234375, -28.390625, -11.140625]",3611,[10.953125],[-4.03125],-59.88,-47.75,incorrect,False,-179.6,-47.75,incorrect,False,-42.56,-47.75,correct,True
