rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
3519,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,11,287997,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.802189861519109,4.890000000000001,4.87,0.3125,0.000713597747389447,-3.1260000000000003,-10.102,0.0625,-1.9869999999999992,112.42903000000001,20.0,4.7955000000000005,4.7955000000000005,1.0,0.6289884124627294,21.5,251.94799999999998,0.0,0.22849999999999993,82.41549999999998,22.0,19.5131088112983,86.06539138668606,21.0
2289,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,13,291289,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0465433403721245,4.562,4.508,0.41666666666666663,0.0007597398475326489,-2.4335,-10.120000000000001,1.0150000000000001,1.92,109.95187,20.0,0.0,0.0,0.041666666666666664,1.7792711912345522,20.5,229.9835,0.0,38.026500000000006,0.0,20.0,59.46187981247422,40.187005219446775,20.0
3544,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,15,295837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.7972233273960803,4.656499999999999,4.3420000000000005,1.0,0.00014602443882062052,-2.091,-12.57,1.4050000000000002,-0.40000000000000036,109.75142,10.0,3.8655,3.8655,0.9583333333333334,1.0545260860002226,22.0,282.523,0.0,2.5575000000000006,26.160500000000003,20.0,117.8169199941922,60.085863567503225,20.0
2088,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,17,298928,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.086474274721276,4.515000000000001,4.668,0.25,0.00010366113350607323,-2.8045,-13.1175,-0.8830000000000002,-1.4524999999999997,112.16820000000001,21.0,0.6199999999999999,0.6199999999999999,1.0,0.29504723220402296,22.0,280.792,0.0,4.475999999999999,11.968,13.0,17.648667103091583,61.09861794539161,15.0
2077,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,19,302009,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0886595497354086,4.4030000000000005,3.964,0.07179487179487179,0.0001573846024105681,-4.188000000000001,-12.558,-2.3855000000000004,-0.022999999999999687,108.88072,20.0,0.0,0.0,1.0,2.604686540243268,19.0,245.174,0.0,16.2565,3.4515000000000002,0.0,48.425765967822464,24.57955651985855,10.0
4616,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,21,307627,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5842583442006065,4.112500000000001,3.721,0.375,0.0004368696227764737,-2.4450000000000003,-11.120000000000001,-0.0385000000000002,2.01,105.47704999999999,21.0,1.0216500000000002,1.0216500000000002,1.0,1.3909386354441104,20.5,236.017,0.0,38.477,2.72515,22.0,30.59203576184221,46.03444684355585,4.0
3127,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,311757,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.8800651165682002,4.615,4.404,1.0,0.0005486405088351129,-2.0715,-10.61,1.3805,3.1900000000000004,114.9023,10.0,0.0,0.0,0.041666666666666664,1.2399925150665982,22.0,220.8535,0.0,73.57300000000001,0.0,18.0,102.4518702958573,23.667361150769263,18.0
3226,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,315986,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8603976414410062,4.555,4.2735,1.0,0.004763633064150258,-1.903,-8.026,1.1135000000000002,4.519,110.47811999999999,10.0,0.5150000000000006,0.5150000000000006,0.9166666666666666,1.7575413279754724,22.0,185.6755,0.0,84.249,0.5150000000000006,20.0,87.50066623502224,42.93308616874717,20.0
2929,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,27,319918,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.919400066822588,4.497999999999999,4.252000000000001,0.6666666666666666,0.01266025641025641,-2.226,-6.939,0.49649999999999994,6.1685,105.34328,21.0,0.0,0.0,0.041666666666666664,3.0089470299786716,21.0,159.43715000000003,0.0,110.36685,0.0,21.0,164.1015990836782,49.72396982390714,21.0
1827,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,322747,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.1383248909656962,4.685499999999999,4.58,0.75,0.0016516639388979815,-2.2105,-9.2,1.0434999999999999,2.785,108.10045,19.0,1.1015000000000004,1.1015000000000004,1.0,1.1246958558748847,22.0,222.059,0.0,45.063,2.301,22.0,66.27123525122475,52.42231761280762,21.0
