item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,1.161,6975,[4.34375],[1.82421875],8056,[4.015625],[1.1884765625],-17.97,-18.3,correct,True,-17.97,-18.3,correct,True,-17.97,-18.3,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,1.261,7041,[3.94140625],[-0.0145416259765625],8583,[3.556640625],[1.5517578125],-16.4,-16.8,correct,True,-16.4,-16.8,correct,True,-16.4,-16.8,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,1.493,7706,[3.73828125],[3.388671875],8912,[3.45703125],[3.55859375],-15.836,-16.12,correct,True,-15.836,-16.12,correct,True,-15.836,-16.12,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,1.703,7450,[3.7265625],[3.046875],8553,[3.46875],[2.728515625],-15.18,-15.44,correct,True,-15.18,-15.44,correct,True,-15.18,-15.44,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,2.164,6674,[3.67578125],[4.56640625],7717,[3.408203125],[5.734375],-14.1,-14.37,correct,True,-14.1,-14.37,correct,True,-14.1,-14.37,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,2.754,6318,[3.765625],[-4.25390625],6864,[3.625],[-3.3984375],-13.266,-13.41,correct,True,-13.266,-13.41,correct,True,-13.266,-13.41,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,1.83,6418,[3.53515625],[2.66015625],7171,[3.357421875],[2.62109375],-14.03,-14.21,correct,True,-14.03,-14.21,correct,True,-14.03,-14.21,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,4.96,8241,[3.376953125],[5.36328125],9021,[3.224609375],[4.3046875],-12.164,-12.31,correct,True,-12.164,-12.31,correct,True,-12.164,-12.31,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,6.23,5375,[3.705078125],[2.396484375],6560,[3.40625],[1.6669921875],-11.14,-11.44,correct,True,-11.14,-11.44,correct,True,-11.14,-11.44,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,6.977,6480,[3.4921875],[6.6640625],8261,[3.119140625],[4.66015625],-11.23,-11.6,correct,True,-11.23,-11.6,correct,True,-11.23,-11.6,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,10,7.203,4511,[4.234375],[2.546875],7634,[3.482421875],[4.1484375],-10.664,-11.42,correct,True,-10.664,-11.42,correct,True,-10.664,-11.42,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,11,7.11,4261,[3.994140625],[-3.830078125],5776,[3.599609375],[-2.576171875],-10.64,-11.04,correct,True,-10.64,-11.04,correct,True,-10.64,-11.04,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,12,6.586,4333,[4.2109375],[3.2890625],5512,[3.884765625],[4.0],-10.84,-11.164,correct,True,-10.84,-11.164,correct,True,-10.84,-11.164,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,13,7.47,4770,[4.04296875],[8.09375],5249,[3.92578125],[9.53125],-10.67,-10.79,correct,True,-10.67,-10.79,correct,True,-10.67,-10.79,correct,True,gender
