entity,correct,incorrect,model,item_id,condition,correct_first,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
Australia,Canberra,Sydney,Falcon3-10B-Base,1,has_competitor,True,1.3436178,5.7081213,1.0,0.00022251891410769915,-0.24792558,-11.350769,4.579169019999999,2.7073110000000007,201.910074458312,23,0.26763599999999954,0.0,0.05,6.556678461176144,34,358.890472988615,2,173.49435311138498,0.26763599999999954,34,135.96526881416597,18.981000065180957,34
Australia,Canberra,Sydney,Falcon3-10B-Base,1,has_competitor,False,1.3108202,5.588767,1.0,0.00029533372711163615,-0.24219613,-11.006353,4.01758387,3.355167999999999,200.94520887799501,29,0.2669029999999992,0.0,0.05,11.168968667815133,32,333.36936510995906,22,194.7983586900409,0.2669029999999992,34,136.41514531040318,13.127864991893947,34
Brazil,Brasilia,Rio de Janeiro,Falcon3-10B-Base,2,has_competitor,True,1.376312,6.234059,1.0,1.255224873536094e-05,-0.2624031,-16.8006,3.3415964999999996,-1.2469919999999988,208.10329114,29,3.556234999999999,3.556234999999999,0.875,4.75906211419457,35,485.287635043,33,56.53888915700001,35.955351500000006,0,126.91447371544376,54.99115015928283,34
Brazil,Brasilia,Rio de Janeiro,Falcon3-10B-Base,2,has_competitor,False,1.6192172,6.363145,1.0,1.3394591264047577e-05,-0.34768075,-16.57116,2.91611925,-1.7998919999999998,180.85533207,21,3.938929999999999,3.938929999999999,0.8,4.715018418387387,35,506.007262943,33,51.665404557,42.09221599999999,0,107.43639357141137,47.976237122499334,34
Canada,Ottawa,Toronto,Falcon3-10B-Base,3,has_competitor,True,1.2464633,5.797166,1.0,0.00013347570742124932,-0.22388114,-12.033348,4.20737186,-1.259143,201.565358143,23,5.764901,5.764901,0.65,6.224703057202998,34,412.70523790699997,22,64.937752893,80.65780000000001,20,114.36857965704618,50.73201986539516,34
Canada,Ottawa,Toronto,Falcon3-10B-Base,3,has_competitor,False,1.0826205,6.4744763,1.0,0.00011910433539780847,-0.19099844,-12.005401,4.27709926,-1.9331780000000016,205.3238972425,32,5.80322,5.80322,0.65,12.384434987135439,24,380.93219092984,22,86.80137607015999,82.9168354,20,116.39704272020626,54.39883763249392,33
India,New Delhi,Mumbai,Falcon3-10B-Base,4,has_competitor,True,1.4509825,5.727876,1.0,1.4980824544582933e-05,-0.30151126,-16.333666,4.85844614,-6.075449000000001,187.947291264,23,7.512892999999998,6.075449000000001,0.925,3.0738209893733326,37,533.171359678,35,24.845682122,113.26040300000003,37,120.64990429961718,109.09184319812023,35
India,New Delhi,Mumbai,Falcon3-10B-Base,4,has_competitor,False,0.9944991,6.9056687,1.0,1.4262486807199703e-05,-0.18449679,-16.240248,4.74134791,-6.0781230000000015,203.25366892699998,4,7.500644000000001,6.0781230000000015,0.925,3.129959565133757,37,513.6454811295,35,26.732508170499997,120.42770189999999,37,98.88355411543998,101.10917981950335,35
Morrocco,Rabat,Marrakesh,Falcon3-10B-Base,5,has_competitor,True,0.9590226,5.2310123,1.0,1.264094655407797e-05,-0.15933047,-17.117413,5.989816530000001,0.6613770000000017,178.5739078432,23,2.6645660000000007,2.6645660000000007,0.475,4.5701231210575255,35,546.33216251538,33,114.12503898462002,15.516719999999996,35,122.32867283983977,41.243950794538165,35
Morrocco,Rabat,Marrakesh,Falcon3-10B-Base,5,has_competitor,False,1.4056636,6.2776747,1.0,1.11731843575419e-05,-0.30850413,-17.403816,4.70038787,-0.7184729999999995,160.245136384,21,3.3943119999999993,3.3943119999999993,0.925,4.111874646112151,35,596.6232705261,34,76.66508537390001,21.723094399999997,35,92.68152742754562,56.053061439187275,35
