task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,6.004,9275,[5.14453125],[2.47265625],24327,"[2.708984375, 17.5]","[0.56103515625, 0.87841796875]",-12.79,-9.04,incorrect,False,-12.79,-18.08,correct,True,-12.79,-15.23,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,7.363,9679,[4.65234375],[0.98291015625],26161,"[2.3046875, 14.1640625]","[-2.912109375, 1.9765625]",-11.95,-9.31,incorrect,False,-11.95,-18.62,correct,True,-11.95,-14.305,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,7.668,10684,[4.46875],[3.060546875],28648,"[2.033203125, 13.15625]","[-5.05859375, 1.556640625]",-11.98,-9.74,incorrect,False,-11.98,-19.48,correct,True,-11.98,-14.414,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,7.965,13584,[4.3203125],[8.8984375],37381,"[1.19140625, 12.1484375]","[2.865234375, 0.8330078125]",-12.375,-10.64,incorrect,False,-12.375,-21.28,correct,True,-12.375,-15.51,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.13,10570,[4.90625],[0.1485595703125],37089,"[1.3974609375, 11.0]","[-0.73486328125, 0.33056640625]",-11.85,-11.06,incorrect,False,-11.85,-22.12,correct,True,-11.85,-15.37,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.195,14372,[4.19140625],[-1.0380859375],38920,"[1.068359375, 9.578125]","[-0.05450439453125, -3.875]",-12.414,-11.71,incorrect,False,-12.414,-23.42,correct,True,-12.414,-15.53,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,7.805,14562,[3.7734375],[2.59765625],43808,"[-0.337646484375, 8.828125]","[3.12890625, 3.78125]",-12.64,-12.81,correct,True,-12.64,-25.62,correct,True,-12.64,-16.75,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,7.785,15333,[3.46484375],[1.2080078125],38608,"[0.59326171875, 7.82421875]","[-1.6748046875, 3.865234375]",-12.71,-12.6,incorrect,False,-12.71,-25.2,correct,True,-12.71,-15.586,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,7.445,16374,[3.1875],[1.57421875],39747,"[0.303466796875, 7.51171875]","[0.736328125, -0.54296875]",-13.01,-12.91,incorrect,False,-13.01,-25.81,correct,True,-13.01,-15.89,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,7.266,19403,[2.958984375],[2.92578125],40173,"[0.357666015625, 6.81640625]","[0.91015625, 1.0419921875]",-13.53,-13.36,incorrect,False,-13.53,-26.72,correct,True,-13.53,-16.12,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,7.152,17307,[2.95703125],[1.4033203125],37707,"[0.4599609375, 6.17578125]","[5.8984375, -4.65625]",-13.25,-13.36,correct,True,-13.25,-26.72,correct,True,-13.25,-15.74,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,6.83,16833,[2.783203125],[0.246337890625],31391,"[1.0859375, 5.9375]","[2.072265625, 0.8037109375]",-13.164,-12.664,incorrect,False,-13.164,-25.33,correct,True,-13.164,-14.86,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,6.887,18280,[2.193359375],[4.5234375],28634,"[0.9716796875, 5.80859375]","[-0.4130859375, 3.92578125]",-13.42,-12.586,incorrect,False,-13.42,-25.17,correct,True,-13.42,-14.64,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,6.742,13705,[2.64453125],[2.52734375],29909,"[0.70068359375, 5.65234375]","[-0.4892578125, 2.8203125]",-12.78,-12.61,incorrect,False,-12.78,-25.22,correct,True,-12.78,-14.73,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,6.63,14753,[2.6328125],[6.3828125],32036,"[0.52490234375, 5.51171875]","[-2.201171875, -0.357666015625]",-13.07,-12.89,incorrect,False,-13.07,-25.78,correct,True,-13.07,-15.18,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,6.46,8842,[3.228515625],[5.51171875],32910,"[0.08740234375, 5.30078125]","[-1.2998046875, 0.289306640625]",-12.11,-12.86,correct,True,-12.11,-25.72,correct,True,-12.11,-15.25,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,6.45,5006,[3.568359375],[13.734375],29717,"[-0.1241455078125, 5.046875]","[6.61328125, 19.546875]",-11.09,-12.45,correct,True,-11.09,-24.9,correct,True,-11.09,-14.79,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,6.664,1868,[4.69140625],[2.876953125],22485,"[0.587890625, 5.4609375]","[4.96484375, 1.6513671875]",-9.83,-11.63,correct,True,-9.83,-23.27,correct,True,-9.83,-13.94,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,18,7.082,207,[7.24609375],[9.2265625],13426,"[2.12109375, 5.67578125]","[9.9921875, 1.6953125]",-7.5,-10.53,correct,True,-7.5,-21.06,correct,True,-7.5,-12.625,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,19,6.895,187,[7.56640625],[32.6875],7827,"[3.193359375, 5.53515625]","[22.96875, 34.96875]",-7.395,-9.94,correct,True,-7.395,-19.88,correct,True,-7.395,-11.766,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,20,6.89,4,[10.1796875],[25.0625],1077,"[5.1875, 6.5078125]","[9.828125, 21.25]",-4.2,-7.89,correct,True,-4.2,-15.78,correct,True,-4.2,-9.195,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,21,6.098,1,[12.015625],[5.8515625],298,"[5.80078125, 7.15234375]","[-2.607421875, 1.57421875]",-1.802,-6.656,correct,True,-1.802,-13.31,correct,True,-1.802,-8.016,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,22,5.03,1,[11.96875],[-8.75],254,"[5.15625, 7.09375]","[-5.421875, -3.833984375]",-1.303,-4.92,correct,True,-1.303,-9.84,correct,True,-1.303,-8.12,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,23,3.104,1,[3.7265625],,13,"[-0.54150390625, -1.009765625]",,-0.6846,-2.494,correct,True,-0.6846,-4.99,correct,True,-0.6846,-4.953,correct,True
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,6.195,44128,"[-0.9013671875, 13.96875]","[0.23681640625, 1.6826171875]",17108,[3.59375],[2.388671875],-11.766,-13.96,correct,True,-23.53,-13.96,incorrect,False,-18.45,-13.96,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,1,7.535,44516,"[-0.6953125, 11.9609375]","[-2.248046875, 3.08984375]",17141,[3.376953125],[2.619140625],-11.79,-13.03,correct,True,-23.58,-13.03,incorrect,False,-17.11,-13.03,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,2,7.78,44842,"[-0.7734375, 11.390625]","[3.552734375, 2.3359375]",17201,[3.345703125],[4.60546875],-12.016,-12.88,correct,True,-24.03,-12.88,incorrect,False,-17.0,-12.88,incorrect,False
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,3,8.04,44507,"[-0.26416015625, 10.484375]","[4.55078125, 0.95751953125]",18685,[3.509765625],[10.8984375],-12.22,-13.05,correct,True,-24.44,-13.05,incorrect,False,-16.83,-13.05,incorrect,False
