task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,9.209291,2539,[1.8562371730804443],[0.8809928894042969],4555,"[1.5198707580566406, 7.462845802307129]","[-3.3774144649505615, 3.606576919555664]",-9.850199,-7.2410383,incorrect,False,-9.850199,-14.482077,correct,True,-9.850199,-10.186565,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.512691,2703,[2.0343000888824463],[-0.925193190574646],20586,"[0.44241276383399963, 7.360302925109863]","[0.04685413837432861, 0.2444165199995041]",-9.782833,-7.8963714,incorrect,False,-9.782833,-15.792743,correct,True,-9.782833,-11.37472,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,9.252457,6811,[1.6402809619903564],[3.101123571395874],22903,"[0.4435328245162964, 6.74652624130249]","[-0.5113009214401245, 1.7485225200653076]",-10.4403305,-8.284407,incorrect,False,-10.4403305,-16.568813,correct,True,-10.4403305,-11.637078,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,9.282588,3245,[2.5797674655914307],[0.8256558775901794],28779,"[0.3112310469150543, 7.166502952575684]","[-0.4004753530025482, 2.681121349334717]",-9.866976,-8.463821,incorrect,False,-9.866976,-16.927643,correct,True,-9.866976,-12.135512,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,9.285256,3628,[2.503603219985962],[2.189502000808716],29088,"[0.1526118516921997, 7.128152847290039]","[-1.5853803157806396, 4.355218887329102]",-9.922273,-8.41646,incorrect,False,-9.922273,-16.83292,correct,True,-9.922273,-12.273264,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,9.682117,1153,[2.896573066711426],[-1.719599962234497],31140,"[-0.31827205419540405, 7.442397117614746]","[-0.09272120893001556, 3.0052547454833984]",-9.060736,-8.197006,incorrect,False,-9.060736,-16.394012,correct,True,-9.060736,-12.275581,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,9.774082,3461,[2.165161609649658],[2.8573544025421143],31026,"[-0.2922072112560272, 7.875431060791016]","[-5.946707725524902, 3.648343324661255]",-9.769836,-7.910596,incorrect,False,-9.769836,-15.821192,correct,True,-9.769836,-12.227205,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,9.68576,733,[2.9579355716705322],[-1.0881998538970947],44108,"[-1.9502172470092773, 8.352779388427734]","[-3.041884183883667, 3.251516103744507]",-8.694533,-8.369957,incorrect,False,-8.694533,-16.739914,correct,True,-8.694533,-13.602686,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,9.498261,1068,[2.452773094177246],[1.3374316692352295],46302,"[-2.6908044815063477, 8.663323402404785]","[-2.2495412826538086, 2.859001398086548]",-8.9348345,-8.386395,incorrect,False,-8.9348345,-16.77279,correct,True,-8.9348345,-14.078412,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,9.494063,578,[2.647085189819336],[3.1093668937683105],46804,"[-3.095536708831787, 8.642634391784668]","[0.5724360346794128, 3.2627077102661133]",-8.511301,-8.410622,incorrect,False,-8.511301,-16.821243,correct,True,-8.511301,-14.253923,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,9.469547,130,[3.4086968898773193],[-2.5977039337158203],43206,"[-2.626058340072632, 8.74084186553955]","[0.4038308560848236, 3.03116512298584]",-7.630476,-8.019681,correct,True,-7.630476,-16.039362,correct,True,-7.630476,-13.665231,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,9.007248,474,[2.7623088359832764],[3.757974624633789],37334,"[-2.502077579498291, 9.079544067382812]","[-0.37489843368530273, 1.48859703540802]",-8.229527,-7.822384,incorrect,False,-8.229527,-15.644768,correct,True,-8.229527,-13.493914,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,8.881441,144,[3.622044563293457],[4.864645004272461],32177,"[-2.330833673477173, 8.769904136657715]","[2.225135564804077, 2.3688807487487793]",-7.2493315,-7.7376137,correct,True,-7.2493315,-15.475227,correct,True,-7.2493315,-13.202209,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,8.706325,39,[4.656744003295898],[9.145453453063965],22513,"[-1.5394097566604614, 8.603401184082031]","[3.819150924682617, 1.302291750907898]",-6.274974,-7.413045,correct,True,-6.274974,-14.82609,correct,True,-6.274974,-12.471128,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,8.629011,2,[6.729742527008057],[-0.5899273753166199],11410,"[-0.46038204431533813, 8.502681732177734]","[-3.464437246322632, -1.671097755432129]",-4.2225184,-6.9065547,correct,True,-4.2225184,-13.813109,correct,True,-4.2225184,-11.412643,correct,True
