rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,task_type,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,keystrokes,rt_zscore,response_correct_strict,response_intuitive_strict,response_correct_edit1,response_intuitive_edit1,load_timestamp,finish_timestamp,index_last_empty,n_backspace,n_keystrokes,n_keystrokes_len_diff,n_keystrokes_len_norm,time_last_empty_keystrokes,time_last_empty_keystrokes_normalized,time_last_empty_trial,time_last_empty_trial_normalized,time_stroke_after_last_empty_trial,time_stroke_after_last_empty_trial_normalized,gpt-4o_label,gpt-4o_label_logprobs,query_time,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
34022, Montgomery.,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,71,1324647,0.0-3.0-0.34,subject_7,67e03b666014ad9eaa888659,67f57ffc11aca5ce59fa4317,0.290081199586746,[],0.0414912221447004,True,False,True,False,1303689.8000001907,1337712.8000001907,,,0.0,,,,,,,,,Correct,{'Correct': -3.128163257315464e-07},2025-04-08T17:23:10.359459,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
6545,?,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,85,376482,0.0-3.0-0.41,subject_16,67e03b666014ad9eaa888659,67e0409beab910a56e382708,0.8067340406248951,"[{'key': 'Shift', 'code': 'ShiftRight', 'timeStamp': 382780.5, 'stimLoadTimeStamp': 377093.1000000015, 'timeSinceStimLoad': 5689, 'content': '?', 'is_empty': False}, {'key': '/', 'code': 'Slash', 'timeStamp': 382788.1000000015, 'stimLoadTimeStamp': 377093.1000000015, 'timeSinceStimLoad': 5696.300000000745, 'content': '?', 'is_empty': False}]",-0.2478759523814513,False,False,False,False,377093.1000000015,383638.5,,0.0,2.0,1.0,2.0,382780.5,0.0,5689.0,0.8691600207781488,5689.0,0.8691600207781488,Not sure,"{'Not': -2.935296834039036e-06, ' sure': 0.0}",2025-04-08T17:23:11.064874,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
19633,Alabama,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,67,471642,0.0-3.0-0.32,subject_10,67d9934d34ab881ca1365b4a,67db27900d918c60f89a931d,0.3271248199877397,"[{'key': 'CapsLock', 'code': 'CapsLock', 'timeStamp': 538930.5, 'content': '', 'is_empty': True}, {'key': 'A', 'code': 'KeyA', 'timeStamp': 539143.200000003, 'content': 'A', 'is_empty': False}, {'key': 'CapsLock', 'code': 'CapsLock', 'timeStamp': 539245.3000000045, 'content': 'A', 'is_empty': False}, {'key': 'l', 'code': 'KeyL', 'timeStamp': 539470.8999999985, 'content': 'Ala', 'is_empty': False}, {'key': 'a', 'code': 'KeyA', 'timeStamp': 539582.700000003, 'content': 'Ala', 'is_empty': False}, {'key': 'b', 'code': 'KeyB', 'timeStamp': 539765.1000000015, 'content': 'Alab', 'is_empty': False}, {'key': 'a', 'code': 'KeyA', 'timeStamp': 539909.8000000045, 'content': 'Alaba', 'is_empty': False}, {'key': 'm', 'code': 'KeyM', 'timeStamp': 540143.3999999985, 'content': 'Alabam', 'is_empty': False}, {'key': 'a', 'code': 'KeyA', 'timeStamp': 540265.3000000045, 'content': 'Alabama', 'is_empty': False}]",0.8364015869919047,False,False,False,False,,,0.0,0.0,9.0,2.0,1.2857142857142858,538930.5,0.0,,,,,Other,{'Other': 0.0},2025-04-08T17:23:11.577273,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
6903,Birmingham,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,5,29539,0.0-3.0-0.1,subject_9,67e03b666014ad9eaa888659,67f5831e2a471af4fd9e4fb1,0.4662163328925132,"[{'key': 'B', 'code': 'KeyB', 'timeStamp': 33463.40000000596, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 2866.7999999970198, 'content': 'B', 'is_empty': False}, {'key': 'Shift', 'code': 'ShiftLeft', 'timeStamp': 33471.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 2874.7999999970198, 'content': 'B', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 33565.79999999702, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 2969.0999999940395, 'content': 'Bi', 'is_empty': False}, {'key': 'r', 'code': 'KeyR', 'timeStamp': 33825.79999999702, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 3229.0999999940395, 'content': 'Bir', 'is_empty': False}, {'key': 'h', 'code': 'KeyH', 'timeStamp': 34034.5, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 3436.5999999940395, 'content': 'Birh', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 34222.20000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 3624.3999999910593, 'content': 'Birhim', 'is_empty': False}, {'key': 'm', 'code': 'KeyM', 'timeStamp': 34262.79999999702, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 3666.2999999970198, 'content': 'Birhim', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 35165.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 4569.0999999940395, 'content': 'Birhi', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 35301.79999999702, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 4705.0999999940395, 'content': 'Birh', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 35424.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 4828.0999999940395, 'content': 'Bir', 'is_empty': False}, {'key': 'm', 'code': 'KeyM', 'timeStamp': 35793.90000000596, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5197.29999999702, 'content': 'Birm', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 35918.29999999702, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5320.399999991059, 'content': 'Birmin', 'is_empty': False}, {'key': 'n', 'code': 'KeyN', 'timeStamp': 35962.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5366, 'content': 'Birmin', 'is_empty': False}, {'key': 'g', 'code': 'KeyG', 'timeStamp': 36081.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5485.0999999940395, 'content': 'Birming', 'is_empty': False}, {'key': 'h', 'code': 'KeyH', 'timeStamp': 36365.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5769.0999999940395, 'content': 'Birmingh', 'is_empty': False}, {'key': 'a', 'code': 'KeyA', 'timeStamp': 36468.70000000298, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5872, 'content': 'Birmingha', 'is_empty': False}, {'key': 'm', 'code': 'KeyM', 'timeStamp': 36594.60000000894, 'stimLoadTimeStamp': 30599.40000000596, 'timeSinceStimLoad': 5997.899999991059, 'content': 'Birmingham', 'is_empty': False}]",-0.0380229407578923,False,True,False,True,30599.40000000596,37502.10000000894,,3.0,17.0,7.0,1.7,33463.40000000596,0.0,2866.79999999702,0.4153157460118188,2866.79999999702,0.4153157460118188,Intuitive,"{'Int': 0.0, 'uitive': 0.0}",2025-04-08T17:23:12.189694,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
11077,Burmingham,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,73,354886,0.0-3.0-0.35,subject_55,67d9934d34ab881ca1365b4a,67daff67f1003fb97ec552b9,0.3113200431971277,"[{'key': 'B', 'code': 'KeyB', 'timeStamp': 362748.89999999106, 'content': 'B', 'is_empty': False}, {'key': 'Shift', 'code': 'ShiftRight', 'timeStamp': 362776.5, 'content': 'B', 'is_empty': False}, {'key': 'u', 'code': 'KeyU', 'timeStamp': 362948.299999997, 'content': 'Bu', 'is_empty': False}, {'key': 'r', 'code': 'KeyR', 'timeStamp': 363053.799999997, 'content': 'Bur', 'is_empty': False}, {'key': 'm', 'code': 'KeyM', 'timeStamp': 363257.799999997, 'content': 'Burm', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 363610.799999997, 'content': 'Burmi', 'is_empty': False}, {'key': 'n', 'code': 'KeyN', 'timeStamp': 363788.39999999106, 'content': 'Burmin', 'is_empty': False}, {'key': 'g', 'code': 'KeyG', 'timeStamp': 363878.39999999106, 'content': 'Burming', 'is_empty': False}, {'key': 'h', 'code': 'KeyH', 'timeStamp': 364245.09999999404, 'content': 'Burmingha', 'is_empty': False}, {'key': 'a', 'code': 'KeyA', 'timeStamp': 364338.39999999106, 'content': 'Burmingha', 'is_empty': False}, {'key': 'l', 'code': 'KeyL', 'timeStamp': 364545.39999999106, 'content': 'Burminghal', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 365121.200000003, 'content': 'Burmingha', 'is_empty': False}, {'key': 'm', 'code': 'KeyM', 'timeStamp': 365352.700000003, 'content': 'Burmingham', 'is_empty': False}]",0.8453274574185384,False,False,False,True,,,,1.0,13.0,3.0,1.3,362748.8999999911,0.0,,,,,Intuitive,"{'Int': 0.0, 'uitive': 0.0}",2025-04-08T17:23:12.887272,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
6217,DK,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,69,181334,0.0-3.0-0.33,subject_6,67d9934d34ab881ca1365b4a,67db013597eff61b7864089e,0.5877433271442578,"[{'key': 'D', 'code': 'KeyD', 'timeStamp': 187788, 'content': 'DK', 'is_empty': False}, {'key': 'Shift', 'code': 'ShiftLeft', 'timeStamp': 187835, 'content': 'DK', 'is_empty': False}, {'key': 'k', 'code': 'KeyK', 'timeStamp': 187866, 'content': 'DK', 'is_empty': False}]",1.482789509320949,False,False,False,False,,,,0.0,3.0,1.0,1.5,187788.0,0.0,,,,,Not sure,"{'Not': -1.9361264946837764e-07, ' sure': 0.0}",2025-04-08T17:23:13.644330,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
11325,Georgia,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,19,287403,0.0-3.0-0.8,subject_8,67e03b666014ad9eaa888659,67e06e099497cc26353c873b,0.8937289130611001,"[{'key': 'Enter', 'code': 'Enter', 'timeStamp': 373840.7999999523, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 284.39999997615814, 'content': '', 'is_empty': True}, {'key': 'g', 'code': 'KeyG', 'timeStamp': 377783, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 4227, 'content': 'g', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 378765.89999997616, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 5209.700000047684, 'content': '', 'is_empty': True}, {'key': 'Shift', 'code': 'ShiftRight', 'timeStamp': 379383.2000000477, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 5826.800000071526, 'content': 'g', 'is_empty': False}, {'key': 'g', 'code': 'KeyG', 'timeStamp': 379386.10000002384, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 5829.600000023842, 'content': 'g', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 380079.7999999523, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 6523.5, 'content': '', 'is_empty': True}, {'key': 'G', 'code': 'KeyG', 'timeStamp': 381751.5, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 8195.100000023842, 'content': 'G', 'is_empty': False}, {'key': 'Shift', 'code': 'ShiftRight', 'timeStamp': 382129.2999999523, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 8573, 'content': 'G', 'is_empty': False}, {'key': 'e', 'code': 'KeyE', 'timeStamp': 382859, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 9302.800000071526, 'content': 'Ge', 'is_empty': False}, {'key': 'o', 'code': 'KeyO', 'timeStamp': 383005, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 9448.800000071526, 'content': 'Geo', 'is_empty': False}, {'key': 'r', 'code': 'KeyR', 'timeStamp': 383133.5, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 9577.100000023842, 'content': 'Geor', 'is_empty': False}, {'key': 'g', 'code': 'KeyG', 'timeStamp': 383420.5, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 9864.200000047684, 'content': 'Georg', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 383532.39999997616, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 9976.100000023842, 'content': 'Georgi', 'is_empty': False}, {'key': 'a', 'code': 'KeyA', 'timeStamp': 383689.7999999523, 'stimLoadTimeStamp': 373556.89999997616, 'timeSinceStimLoad': 10133.5, 'content': 'Georgia', 'is_empty': False}]",-0.6546802786796846,False,False,False,False,373556.89999997616,384882.5,5.0,2.0,14.0,7.0,2.0,380079.7999999523,0.633465326429079,6523.5,0.5759959737220339,8195.100000023842,0.7235908031368395,Other,{'Other': 0.0},2025-04-08T17:23:14.217341,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
4525,Huntsville,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,11,136543,0.0-3.0-0.4,subject_43,67d9934d34ab881ca1365b4a,67daf8d8bee40355fe02c632,0.2939224673298166,"[{'key': 'H', 'code': 'KeyH', 'timeStamp': 139633.39999997616, 'content': 'H', 'is_empty': False}, {'key': 'Shift', 'code': 'ShiftLeft', 'timeStamp': 139649.19999998808, 'content': 'H', 'is_empty': False}, {'key': 'u', 'code': 'KeyU', 'timeStamp': 139809.79999995232, 'content': 'Hu', 'is_empty': False}, {'key': 'n', 'code': 'KeyN', 'timeStamp': 140025.29999995232, 'content': 'Hunt', 'is_empty': False}, {'key': 't', 'code': 'KeyT', 'timeStamp': 140105.69999998808, 'content': 'Hunts', 'is_empty': False}, {'key': 's', 'code': 'KeyS', 'timeStamp': 140193.69999998808, 'content': 'Hunts', 'is_empty': False}, {'key': 'v', 'code': 'KeyV', 'timeStamp': 140377.69999998808, 'content': 'Huntsvi', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 140457.29999995232, 'content': 'Huntsvil', 'is_empty': False}, {'key': 'l', 'code': 'KeyL', 'timeStamp': 140489.29999995232, 'content': 'Huntsvil', 'is_empty': False}, {'key': 'l', 'code': 'KeyL', 'timeStamp': 140649.29999995232, 'content': 'Huntsville', 'is_empty': False}, {'key': 'e', 'code': 'KeyE', 'timeStamp': 140737.39999997616, 'content': 'Huntsville', 'is_empty': False}]",-0.6520099843688748,False,False,False,False,,,,0.0,11.0,1.0,1.1,139633.39999997616,0.0,,,,,Alternate city,"{'Alternate': -1.2664456789934775e-06, ' city': 0.0}",2025-04-08T17:23:14.832764,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
3404,Little Rock,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,53,204790,0.0-3.0-0.25,subject_2,67d9934d34ab881ca1365b4a,67db02c7e5e6050428cbdc3e,0.6538444728318935,"[{'key': 'Shift', 'code': 'ShiftLeft', 'timeStamp': 233217.3999999985, 'content': 'L', 'is_empty': False}, {'key': 'l', 'code': 'KeyL', 'timeStamp': 233249.30000000447, 'content': 'L', 'is_empty': False}, {'key': 'i', 'code': 'KeyI', 'timeStamp': 233417.80000000447, 'content': 'Li', 'is_empty': False}, {'key': 't', 'code': 'KeyT', 'timeStamp': 233465.20000000298, 'content': 'Lit', 'is_empty': False}, {'key': 't', 'code': 'KeyT', 'timeStamp': 233625.5, 'content': 'Litt', 'is_empty': False}, {'key': 'l', 'code': 'KeyL', 'timeStamp': 233777.70000000298, 'content': 'Littl', 'is_empty': False}, {'key': 'e', 'code': 'KeyE', 'timeStamp': 233873.1000000015, 'content': 'Little', 'is_empty': False}, {'key': ' ', 'code': 'Space', 'timeStamp': 233969.3999999985, 'content': 'Little ', 'is_empty': False}, {'key': 'Shift', 'code': 'ShiftRight', 'timeStamp': 234185.20000000298, 'content': 'Little R', 'is_empty': False}, {'key': 'r', 'code': 'KeyR', 'timeStamp': 234200.8999999985, 'content': 'Little R', 'is_empty': False}, {'key': 'o', 'code': 'KeyO', 'timeStamp': 234465.5, 'content': 'Little Ro', 'is_empty': False}, {'key': 'c', 'code': 'KeyC', 'timeStamp': 234609.20000000298, 'content': 'Little Roc', 'is_empty': False}, {'key': 'k', 'code': 'KeyK', 'timeStamp': 234753.30000000447, 'content': 'Little Rock', 'is_empty': False}]",-0.8706807127324344,False,False,False,False,,,,0.0,13.0,2.0,1.181818181818182,233217.3999999985,0.0,,,,,Other,{'Other': -2.7729658540920354e-05},2025-04-08T17:23:15.467363,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
56004,MONTGOMERY,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,critical,survey-text,9,378384,0.0-3.0-0.3,subject_32,67e03b666014ad9eaa888659,67f57fb394aaba407d96611a,0.606776330588872,"[{'key': 'M', 'code': 'KeyM', 'timeStamp': 381732.3000000715, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 27100.700000047684, 'content': 'M', 'is_empty': False}, {'key': 'O', 'code': 'KeyO', 'timeStamp': 382231.2000000477, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 27599.600000023842, 'content': 'MO', 'is_empty': False}, {'key': 'N', 'code': 'KeyN', 'timeStamp': 389401.5, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 34769.89999997616, 'content': 'MON', 'is_empty': False}, {'key': 'T', 'code': 'KeyT', 'timeStamp': 391164.7000000477, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 36533.200000047684, 'content': 'MONT', 'is_empty': False}, {'key': 'G', 'code': 'KeyG', 'timeStamp': 396620.5, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 41989, 'content': 'MONTG', 'is_empty': False}, {'key': 'O', 'code': 'KeyO', 'timeStamp': 397074.2000000477, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 42442.60000002384, 'content': 'MONTGO', 'is_empty': False}, {'key': 'N', 'code': 'KeyN', 'timeStamp': 397989.60000002384, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 43358.10000002384, 'content': 'MONTGON', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 399820.3000000715, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 45188.700000047684, 'content': 'MONTGO', 'is_empty': False}, {'key': 'M', 'code': 'KeyM', 'timeStamp': 401184, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 46552.5, 'content': 'MONTGOM', 'is_empty': False}, {'key': 'M', 'code': 'KeyM', 'timeStamp': 401389.60000002384, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 46758, 'content': 'MONTGOMM', 'is_empty': False}, {'key': 'Backspace', 'code': 'Backspace', 'timeStamp': 402772.2000000477, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 48140.60000002384, 'content': 'MONTGOM', 'is_empty': False}, {'key': 'E', 'code': 'KeyE', 'timeStamp': 405810.10000002384, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 51178.60000002384, 'content': 'MONTGOME', 'is_empty': False}, {'key': 'R', 'code': 'KeyR', 'timeStamp': 406107.89999997616, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 51476.39999997616, 'content': 'MONTGOMER', 'is_empty': False}, {'key': 'Y', 'code': 'KeyY', 'timeStamp': 406495.60000002384, 'stimLoadTimeStamp': 354632.10000002384, 'timeSinceStimLoad': 51864.10000002384, 'content': 'MONTGOMERY', 'is_empty': False}]",1.273486604869464,True,False,True,False,354632.10000002384,410636.89999997616,,2.0,14.0,4.0,1.4,381732.3000000715,0.0,27100.700000047684,0.4838995943217502,27100.700000047684,0.4838995943217502,Correct,{'Correct': 0.0},2025-04-08T17:23:16.079383,5.055,6.383,0.2,0.0003049710277523635,-2.877,-10.73,-0.75,1.9399999999999995,120.40700000000001,20.0,2.9869999999999997,2.9869999999999997,1.0,0.5214864402920509,21.0,245.50099999999998,21.0,33.066,16.438,21.0,44.25114287635442,74.64948386073296,21.0
