item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,0.0,524,[41.21875],[-7.6875],3667,[14.5390625],[-1.796875],-110.1,-136.9,correct,True,-110.1,-136.9,correct,True,-110.1,-136.9,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,0.0,553,[36.40625],[5.06640625],4179,[13.1796875],[3.998046875],-85.0,-108.2,correct,True,-85.0,-108.2,correct,True,-85.0,-108.2,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,0.0,560,[35.3125],[18.75],4204,[13.171875],[8.921875],-81.1,-103.25,correct,True,-81.1,-103.25,correct,True,-81.1,-103.25,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,0.0,550,[36.0],[17.5625],4094,[13.7265625],[11.5546875],-76.75,-99.0,correct,True,-76.75,-99.0,correct,True,-76.75,-99.0,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,0.0,553,[36.0625],[11.078125],3888,[14.421875],[1.771484375],-71.56,-93.2,correct,True,-71.56,-93.2,correct,True,-71.56,-93.2,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,1.013e-05,598,[33.875],[16.921875],4381,[12.984375],[12.1640625],-67.1,-88.0,correct,True,-67.1,-88.0,correct,True,-67.1,-88.0,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,0.000354,654,[33.34375],[31.015625],4007,[13.6796875],[18.625],-66.1,-85.75,correct,True,-66.1,-85.75,correct,True,-66.1,-85.75,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,0.08777,614,[35.0],[-10.15625],3792,[15.6171875],[-3.6875],-60.0,-79.4,correct,True,-60.0,-79.4,correct,True,-60.0,-79.4,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,0.297,665,[33.15625],[21.578125],3962,[14.8671875],[7.296875],-57.9,-76.2,correct,True,-57.9,-76.2,correct,True,-57.9,-76.2,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,0.5044,627,[34.25],[19.84375],3853,[15.1484375],[16.421875],-56.7,-75.8,correct,True,-56.7,-75.8,correct,True,-56.7,-75.8,correct,True,gender
