task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,0.0,800,"[9.2890625, 6.80078125, 13.25]","[-6.7578125, -10.8984375, 1.7216796875]",7700,[3.408203125],[-0.61669921875],-112.4,-70.3,incorrect,False,-337.2,-70.3,incorrect,False,-64.44,-70.3,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,0.0,1473,"[7.359375, 5.234375, 13.0859375]","[2.009765625, -8.765625, -0.68212890625]",8835,[3.103515625],[-4.7109375],-103.7,-61.34,incorrect,False,-311.0,-61.34,incorrect,False,-57.06,-61.34,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,0.0,1144,"[7.57421875, 4.2109375, 11.8828125]","[-3.705078125, 3.5625, 2.908203125]",10973,[2.25],[-2.474609375],-97.56,-58.44,incorrect,False,-292.8,-58.44,incorrect,False,-53.12,-58.44,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.0,1312,"[6.9375, 4.60546875, 12.15625]","[-7.59765625, 3.833984375, 0.1724853515625]",10740,[1.900390625],[-0.304443359375],-93.5,-57.34,incorrect,False,-280.5,-57.34,incorrect,False,-52.3,-57.34,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,0.0,1965,"[5.91796875, 5.23828125, 11.40625]","[-4.08984375, -6.140625, 1.81640625]",10922,[1.84765625],[-0.428955078125],-84.4,-54.88,incorrect,False,-253.1,-54.88,incorrect,False,-50.75,-54.88,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,0.0,2464,"[5.3515625, 4.48828125, 10.859375]","[3.291015625, -1.642578125, 7.98828125]",11169,[1.7626953125],[5.9140625],-77.9,-53.2,incorrect,False,-233.8,-53.2,incorrect,False,-49.56,-53.2,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,1.1e-06,2339,"[5.69140625, 4.19140625, 13.0625]","[0.84716796875, -5.22265625, -2.236328125]",9134,[2.6015625],[4.15234375],-71.25,-50.56,incorrect,False,-213.8,-50.56,incorrect,False,-47.47,-50.56,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,3.9e-06,3140,"[5.68359375, 3.4453125, 11.4453125]","[4.6953125, -1.7138671875, 7.68359375]",8797,[3.33984375],[5.703125],-67.25,-47.38,incorrect,False,-201.8,-47.38,incorrect,False,-45.03,-47.38,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,4.58e-05,2683,"[6.37109375, 3.087890625, 12.8515625]","[3.46484375, 4.76953125, -3.048828125]",6573,[4.5078125],[5.125],-62.62,-40.56,incorrect,False,-187.9,-40.56,incorrect,False,-38.72,-40.56,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,0.0002141,1606,"[6.69921875, 3.904296875, 11.71875]","[-0.7392578125, 4.69921875, 5.1484375]",3097,[5.421875],[-5.2734375],-58.53,-36.28,incorrect,False,-175.6,-36.28,incorrect,False,-35.0,-36.28,correct,True
