rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
3519,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,11,287997,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.802189861519109,2.257,1.2254999999999998,0.02020408163265306,0.00010138035534530373,-6.966,-43.55,1.6390000000000002,10.319999999999997,28.81926629,46.0,0.9050000000000011,0.9050000000000011,0.375,0.6193756585647141,45.0,1903.3125,0.0,386.0135,0.9050000000000011,16.0,72.40006946647985,167.0486254170853,33.0
2289,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,13,291289,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0465433403721245,1.5865,1.186,0.01770050125313283,0.00011467336777355497,-8.715,-42.08,2.657,11.0,28.625858270000002,46.0,0.0,0.0,0.020833333333333332,0.222833628906848,45.0,1861.424,0.0,336.9709999999999,0.0,27.0,72.36084929512954,74.55211857152659,33.0
3544,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,15,295837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.7972233273960803,2.5709999999999997,1.052,0.050505050505050504,0.0001919383887717037,-5.4625,-36.92,-2.126,-11.704999999999998,34.898288165,26.0,24.097,24.097,1.0,1.139896504891202,45.0,1778.38,0.0,17.485000000000014,381.0855000000001,0.0,207.28388169740657,179.028181292788,0.0
2088,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,17,298928,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.086474274721276,1.745,1.0554999999999999,1.0,0.03785714285714285,-0.7463,-11.036999999999999,2.4372,5.353000000000001,18.331975175,31.0,2.109999999999996,1.4650000000000016,0.625,13.513831625116058,33.5,1020.27870117,33.0,173.95214883,6.906300000000002,34.0,239.12483445350995,55.96415264118012,34.0
2077,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,19,302009,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0886595497354086,1.319,1.07,0.007922109337203677,3.5730880978763165e-05,-10.852,-54.325,-2.5884999999999994,-23.165,26.359026965000005,46.0,22.706500000000005,22.706500000000005,1.0,0.0561721320618275,45.0,2228.174,0.0,0.0,592.1200000000001,0.0,130.38437922520023,86.96144552432003,0.0
4616,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,21,307627,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5842583442006065,4.2555000000000005,0.9592,0.5,0.0003295036003832447,-2.059,-33.175,-0.5915,12.764999999999997,31.142966279999996,32.0,0.0,0.0,1.0,0.6510517700461242,46.0,1639.5404999999998,0.0,320.4905,0.5915,33.0,146.57204908972204,79.29925905837001,33.0
3127,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,311757,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.8800651165682002,2.2635,0.9944999999999999,0.1,0.00017430209150967634,-4.603,-39.455,-0.3430000000000004,-16.525,27.38845816,31.5,25.865000000000002,25.865000000000002,1.0,0.8456030926625232,45.0,1716.6925,0.0,3.861499999999994,432.4257999999999,0.0,86.47047587449228,190.4449519861986,0.0
3226,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,315986,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8603976414410062,1.9455,1.2530000000000001,0.024127906976744187,0.0002858583322210494,-7.345000000000001,-35.35,2.653,4.649999999999999,32.079870075,34.0,5.3299999999999965,5.3299999999999965,0.8958333333333334,1.1926192067448909,45.0,1743.2942,0.0,139.7508,22.44999999999999,33.0,164.2355626730827,130.52589552985785,33.0
2929,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,27,319918,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.919400066822588,1.6975,1.343,0.00640685574372577,3.314012919105435e-05,-10.475000000000001,-56.275,-2.3930000000000007,-14.73,30.782633479999998,46.0,15.857,15.857,1.0,0.11953200695038012,45.0,2171.1949999999997,0.0,27.111999999999995,321.96799999999996,0.0,202.12378031970715,80.5547577044947,0.0
1827,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,322747,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.1383248909656962,3.219,1.2422499999999999,0.015359477124183007,4.186953930132848e-05,-6.968,-54.06,-2.3485000000000005,-5.150000000000002,31.805196710000004,40.0,10.756499999999999,10.756499999999999,1.0,0.09831837529105629,45.0,2194.347,0.0,31.494499999999995,143.0565,33.0,148.31089993286207,71.19085817526371,0.0
