response_correct,syllogism_condition,rt,syllogism_name,subject,is_valid,answer_with_valid,is_realistic,is_consistent,is_nonsense,unique_id,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
True,nonsense,35.699013,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,1.541,0.02627,1.0,0.0012300420756090069,-0.4729,-91.75,2.1481,19.4,4.417266335000001,21.0,0.0,0.0,0.041666666666666664,3.0666982672510343,20.0,2051.67265,19.0,506.23235,0.0,13.0,90.63154723687752,28.36989745924621,17.0
False,violate,197.794977,flowers_animals_reptiles,Human,True,False,True,False,False,flowers_animals_reptiles^violate^valid,1.8635000000000002,0.050409999999999996,1.0,0.0015492322240302598,-0.7645,-84.55000000000001,1.3719999999999999,20.43,5.674240825,6.0,0.0,0.0,0.041666666666666664,2.812347115671448,20.5,2040.33895,19.0,500.53504999999996,0.0,7.5,90.45917269561416,37.21425649580607,17.0
False,nonsense,53.098138,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,1.803,0.02151,0.3333333333333333,0.00039085415037152913,-2.871,-110.97,-2.2596499999999997,-19.519999999999996,5.394019015,21.0,25.97535,25.97535,1.0,0.7048490050711779,21.0,2582.337,20.0,0.0,513.5598249999999,20.0,28.47762075794261,88.14545232577706,21.0
False,consistent,30.560626,gems_diamonds_transparent,Human,True,False,True,True,False,gems_diamonds_transparent^consistent^valid,1.70125,0.031965,1.0,0.0013377980291863682,-0.5515,-89.44,2.428,20.14,4.7596862,13.5,0.0,0.0,0.041666666666666664,3.0720992579150135,20.0,2033.66193,19.0,522.20757,0.0,13.0,111.92839159910599,28.814601333351806,17.0
True,nonsense,47.365121,nonsense_sland_spluff_gusp,Human,True,True,False,False,True,nonsense_sland_spluff_gusp^nonsense^valid,1.541,0.02627,1.0,0.0012300420756090069,-0.4729,-91.75,2.1481,19.4,4.417266335000001,21.0,0.0,0.0,0.041666666666666664,3.0666982672510343,20.0,2051.67265,19.0,506.23235,0.0,13.0,90.63154723687752,28.36989745924621,17.0
True,consistent,14.132236,gems_diamonds_transparent,Human,False,False,True,True,False,gems_diamonds_transparent^consistent^invalid,1.6840000000000002,0.03204,0.3333333333333333,0.0003979489713185365,-2.9425,-109.15,-2.38065,-20.130000000000003,4.78274475,13.5,25.90935,25.90935,1.0,0.6438082926666139,21.0,2553.2074999999995,19.0,0.0,520.40555,20.0,29.16124938428507,107.5023278272673,21.0
False,nonsense,19.298922,nonsense_nept_bript_jeft,Human,False,True,False,False,True,nonsense_nept_bript_jeft^nonsense^invalid,1.803,0.02151,0.3333333333333333,0.00039085415037152913,-2.871,-110.97,-2.2596499999999997,-19.519999999999996,5.394019015,21.0,25.97535,25.97535,1.0,0.7048490050711779,21.0,2582.337,20.0,0.0,513.5598249999999,20.0,28.47762075794261,88.14545232577706,21.0
True,nonsense,13.966516,nonsense_gick_criff_riff,Human,False,False,False,False,True,nonsense_gick_criff_riff^nonsense^invalid,1.4035,0.020909999999999998,0.3333333333333333,0.00038476542115084686,-2.9895,-110.48,-2.6069500000000003,-19.380000000000003,4.80079775,21.0,25.748050000000003,25.748050000000003,1.0,0.7026205517525068,21.0,2573.017,20.0,0.0,513.2757349999999,20.0,30.187382857764767,93.53964471795123,21.0
True,violate,35.59383,flowers_animals_reptiles,Human,True,True,True,False,False,flowers_animals_reptiles^violate^valid,1.8635000000000002,0.050409999999999996,1.0,0.0015492322240302598,-0.7645,-84.55000000000001,1.3719999999999999,20.43,5.674240825,6.0,0.0,0.0,0.041666666666666664,2.812347115671448,20.5,2040.33895,19.0,500.53504999999996,0.0,7.5,90.45917269561416,37.21425649580607,17.0
True,nonsense,71.632158,nonsense_paft_usp_cesk,Human,True,True,False,False,True,nonsense_paft_usp_cesk^nonsense^valid,1.254,0.02342,1.0,0.001199760479731461,-0.28225,-92.55000000000001,2.61025,19.46999999999999,3.7033204499999997,6.0,0.0,0.0,0.041666666666666664,3.0644884271507173,20.0,2067.7463,19.0,514.1982,0.0,13.0,95.11997485752082,26.755429046732388,16.0
