task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,7.367924,6535,[1.538381814956665],[-2.0795538425445557],21348,"[0.10977808386087418, 11.00094223022461]","[-4.052018642425537, 3.5738744735717773]",-10.812462,-6.9929376,incorrect,False,-10.812462,-13.985875,correct,True,-10.812462,-12.241065,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,7.677587,10569,[0.9371917247772217],[2.4212026596069336],32410,"[-0.9027904868125916, 10.536222457885742]","[-1.3404560089111328, 3.403740406036377]",-11.279791,-7.6718426,incorrect,False,-11.279791,-15.343685,correct,True,-11.279791,-13.119774,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,7.9253216,6190,[1.5404096841812134],[-0.11520998179912567],34509,"[-1.1619774103164673, 10.756022453308105]","[-0.6961484551429749, 1.1807574033737183]",-10.666057,-7.6568823,incorrect,False,-10.666057,-15.313765,correct,True,-10.666057,-13.368444,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,8.480818,7878,[1.3793944120407104],[2.2228007316589355],35713,"[-1.2270985841751099, 11.102093696594238]","[-2.266481637954712, 3.7002429962158203]",-10.797916,-7.544185,incorrect,False,-10.797916,-15.08837,correct,True,-10.797916,-13.404409,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.540569,4695,[1.9012969732284546],[1.7094004154205322],40619,"[-1.7403392791748047, 11.252728462219238]","[1.82146155834198, -0.16649813950061798]",-10.260008,-7.641322,incorrect,False,-10.260008,-15.282644,correct,True,-10.260008,-13.901644,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.658338,3572,[2.2030928134918213],[1.2715253829956055],34534,"[-0.9165325164794922, 10.463605880737305]","[-2.244161367416382, 1.2246718406677246]",-9.97035,-7.4988184,incorrect,False,-9.97035,-14.997637,correct,True,-9.97035,-13.089975,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,9.101518,2792,[2.3674538135528564],[3.5278875827789307],40795,"[-1.454199194908142, 9.90848445892334]","[-0.2956330478191376, 1.238310694694519]",-9.686592,-7.850632,incorrect,False,-9.686592,-15.701264,correct,True,-9.686592,-13.5082445,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,9.266225,932,[3.1535098552703857],[-0.8945658206939697],39952,"[-1.3497004508972168, 9.25648021697998]","[-0.6001231670379639, -0.5381126403808594]",-8.851223,-8.036081,incorrect,False,-8.851223,-16.072163,correct,True,-8.851223,-13.354433,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,9.465637,1601,[2.7056047916412354],[2.167597532272339],40772,"[-1.3698183298110962, 8.454669952392578]","[-0.7736321091651917, 2.4493794441223145]",-9.20163,-8.324149,incorrect,False,-9.20163,-16.648298,correct,True,-9.20163,-13.277052,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,9.586357,1089,[3.108611822128296],[2.876096248626709],42664,"[-1.4576376676559448, 8.542454719543457]","[-1.7586169242858887, 2.429039239883423]",-8.899042,-8.392893,incorrect,False,-8.899042,-16.785786,correct,True,-8.899042,-13.465291,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,9.541492,565,[3.519094467163086],[1.7526298761367798],43845,"[-1.7062230110168457, 8.226594924926758]","[0.43788641691207886, 3.830402135848999]",-8.443726,-8.588868,correct,True,-8.443726,-17.177736,correct,True,-8.443726,-13.6690445,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,9.468947,407,[3.7157559394836426],[3.9105331897735596],41049,"[-1.505470633506775, 8.493646621704102]","[0.3897756040096283, 5.045888900756836]",-8.203005,-8.320581,correct,True,-8.203005,-16.641163,correct,True,-8.203005,-13.4242325,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,9.257975,223,[4.256363868713379],[1.4896245002746582],37040,"[-1.2362794876098633, 8.87252140045166]","[1.2334799766540527, 3.1729001998901367]",-7.692097,-8.028367,correct,True,-7.692097,-16.056734,correct,True,-7.692097,-13.18474,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,9.16363,255,[4.139939785003662],[2.521937131881714],30104,"[-0.7912803888320923, 8.634825706481934]","[-0.3619121313095093, 0.0833057165145874]",-7.751191,-7.8644924,correct,True,-7.751191,-15.728985,correct,True,-7.751191,-12.682411,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,9.192478,180,[4.20250129699707],[-0.5319841504096985],28340,"[-0.7517016530036926, 7.7050275802612305]","[-3.322463035583496, 1.6409276723861694]",-7.527701,-8.167879,correct,True,-7.527701,-16.335758,correct,True,-7.527701,-12.481904,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,8.963818,365,[3.644981622695923],[3.05242657661438],32595,"[-1.2876789569854736, 7.202179908752441]","[2.2049877643585205, 3.041367530822754]",-8.008276,-8.608892,correct,True,-8.008276,-17.217785,correct,True,-8.008276,-12.940936,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,9.126526,222,[3.8118350505828857],[3.0291671752929688],23550,"[-0.6752033829689026, 6.793248653411865]","[0.930383563041687, 3.998863935470581]",-7.662365,-8.361652,correct,True,-7.662365,-16.723305,correct,True,-7.662365,-12.149403,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,9.026904,169,[3.955775260925293],[7.516231060028076],18811,"[-0.4564078152179718, 6.752695083618164]","[3.7420527935028076, 1.9395201206207275]",-7.4419503,-8.257644,correct,True,-7.4419503,-16.515287,correct,True,-7.4419503,-11.854134,correct,True
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,18,8.938228,63,[4.743406772613525],[0.848738431930542],10676,"[0.1544770896434784, 6.324892520904541]","[2.364132881164551, 1.8513126373291016]",-6.6016426,-8.202869,correct,True,-6.6016426,-16.405739,correct,True,-6.6016426,-11.190573,correct,True
