task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,0.07214,37430,"[-1.572265625, 5.9921875, 0.96728515625]","[4.80859375, -0.279296875, 0.97998046875]",40673,[-2.306640625],[4.14453125],-18.23,-24.48,correct,True,-54.7,-24.48,incorrect,False,-23.75,-24.48,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,1.543,31907,"[-0.0875244140625, 4.7734375, 0.93505859375]","[-0.92333984375, 4.0234375, -6.29296875]",36497,[-0.80810546875],[3.603515625],-15.66,-18.31,correct,True,-46.97,-18.31,incorrect,False,-17.58,-18.31,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,2.41,31524,"[-0.1611328125, 4.73046875, 0.10302734375]","[9.1015625, -0.4189453125, 29.609375]",33489,[-0.45556640625],[3.322265625],-15.37,-17.1,correct,True,-46.12,-17.1,incorrect,False,-16.8,-17.1,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,3.732,28087,"[0.459228515625, 4.35546875, 7.1796875]","[11.40625, 0.359130859375, 16.65625]",32785,[-0.2066650390625],[5.80078125],-13.19,-16.38,correct,True,-39.56,-16.38,incorrect,False,-15.71,-16.38,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,5.535,20615,"[1.544921875, 3.90625, 11.1875]","[3.947265625, 0.2354736328125, 2.90234375]",29453,[0.3779296875],[5.21484375],-11.83,-15.336,correct,True,-35.47,-15.336,incorrect,False,-14.17,-15.336,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,6.72,19426,"[1.837890625, 3.484375, 9.8125]","[4.8046875, 6.94921875, -3.92578125]",26152,[0.96826171875],[4.92578125],-12.21,-14.664,correct,True,-36.62,-14.664,incorrect,False,-13.79,-14.664,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,6.812,17635,"[2.20703125, 3.080078125, 8.8515625]","[6.0078125, 5.46875, 6.08984375]",26679,[1.0498046875],[5.5859375],-12.61,-14.62,correct,True,-37.84,-14.62,incorrect,False,-13.46,-14.62,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,6.645,13059,"[3.076171875, 3.57421875, 8.2421875]","[4.40234375, 4.09375, 4.0859375]",20244,[2.0859375],[2.208984375],-12.414,-13.86,correct,True,-37.25,-13.86,incorrect,False,-12.87,-13.86,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,6.145,9781,"[3.3046875, 3.626953125, 7.88671875]","[1.3193359375, -1.421875, 0.3828125]",17645,[2.1015625],[6.62109375],-12.38,-13.836,correct,True,-37.16,-13.836,incorrect,False,-12.63,-13.836,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,5.883,13352,"[2.953125, 2.978515625, 7.1328125]","[3.67578125, 2.671875, 1.318359375]",13664,[2.90625],[5.6171875],-13.125,-13.4,correct,True,-39.38,-13.4,incorrect,False,-13.35,-13.4,correct,True
