correct,incorrect,model,unique_id,syllogism_name,order_first,is_valid,is_realistic,is_consistent,output_entropy,midpoint_entropy,output_rank_correct,midpoint_rank_correct,output_logprob_correct,midpoint_logprob_correct,output_logprobdiff,midpoint_logprobdiff,auc_entropy,layer_biggest_change_entropy,twostage_magnitude,twostage_magnitude_latter34,twostage_layer,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,auc_boosting_pos,auc_boosting_neg,layer_argmax_boosting
valid,invalid,Llama-2-13b-hf,librarians_happy_healthy^consistent^valid,librarians_happy_healthy,1,True,True,True,2.848,4.254,1.0,1.0,-1.087,-1.3,0.391,5.180000000000001,158.26839999999999,19,0.9220000000000002,0.9220000000000002,0.95,13.573466748895283,18,186.6916,24,73.75339999999998,2.22,14,61.52208790004263,27.135309044779508,30
valid,invalid,Llama-2-13b-hf,librarians_happy_healthy^consistent^valid,librarians_happy_healthy,2,True,True,True,2.807,4.15,1.0,1.0,-1.115,-1.189,0.274,5.123,158.0598,19,1.117,1.117,0.95,13.503987690790254,18,186.8612,24,70.4458,2.97,14,61.54970925868275,27.816607118986713,30
invalid,valid,Llama-2-13b-hf,librarians_happy_healthy^consistent^invalid,librarians_happy_healthy,1,False,True,True,2.84,4.137,0.5,0.02857142857142857,-1.428,-6.473,-0.32799999999999985,-5.234999999999999,156.51,19,4.907,4.907,1.0,8.386090899446401,27,257.875,20,2.3110000000000004,73.6534,27,27.379342669405464,61.80624262705267,25
invalid,valid,Llama-2-13b-hf,librarians_happy_healthy^consistent^invalid,librarians_happy_healthy,2,False,True,True,2.844,4.16,0.5,0.02857142857142857,-1.41,-6.484,-0.30499999999999994,-5.228,156.8946,19,4.923,4.923,1.0,8.397431813168131,27,257.953,20,2.508,72.47909999999999,27,27.345729040431483,60.75326464564461,25
valid,invalid,Llama-2-13b-hf,librarians_happy_healthy^violate^valid,librarians_happy_healthy,1,True,True,False,2.916,4.242,0.5,0.5,-1.392,-1.835,-0.24299999999999988,3.5650000000000004,153.5887,19,1.639,1.639,1.0,10.303670581061475,30,199.9148,24,52.44070000000001,6.42,1,54.403373244522996,28.31515645805068,30
valid,invalid,Llama-2-13b-hf,librarians_happy_healthy^violate^valid,librarians_happy_healthy,2,True,True,False,2.848,4.504,0.5,1.0,-1.296,-1.802,-0.11699999999999999,3.772,155.17499999999998,19,1.539,1.539,1.0,12.275438731883739,18,195.7853,24,55.4757,5.14,1,56.254176906901165,28.31005837525481,30
invalid,valid,Llama-2-13b-hf,librarians_happy_healthy^violate^invalid,librarians_happy_healthy,1,False,True,False,2.844,4.53,1.0,0.07142857142857142,-1.089,-5.33,0.31200000000000006,-3.271,155.46300000000002,19,3.67,3.67,0.875,11.299883154030105,33,243.0139,20,7.572100000000001,48.92370000000001,27,28.768141344951704,53.26192059872089,25
invalid,valid,Llama-2-13b-hf,librarians_happy_healthy^violate^invalid,librarians_happy_healthy,2,False,True,False,2.87,4.508,1.0,0.058823529411764705,-1.138,-5.566,0.2260000000000002,-3.721,155.4933,19,4.075000000000001,4.075000000000001,0.9,10.246446761883593,37,244.555,20,6.046,53.1184,27,29.097720259412828,55.712798277555216,25
valid,invalid,Llama-2-13b-hf,computers_electronics_expensive^consistent^valid,computers_electronics_expensive,1,True,True,True,2.87,4.05,1.0,1.0,-1.067,-1.123,0.399,5.209,156.82229999999998,19,0.681,0.681,0.95,13.566514386483673,18,186.5074,24,73.22359999999998,1.5779999999999996,8,60.93064555816151,27.489121385610034,30
valid,invalid,Llama-2-13b-hf,computers_electronics_expensive^consistent^valid,computers_electronics_expensive,2,True,True,True,2.855,4.01,1.0,1.0,-1.091,-1.078,0.32800000000000007,5.1819999999999995,157.909,19,0.7809999999999999,0.7809999999999999,0.95,14.02019669700004,18,186.5305,24,71.09750000000003,1.9420000000000008,8,60.58365224024528,27.715443892967347,30
invalid,valid,Llama-2-13b-hf,computers_electronics_expensive^consistent^invalid,computers_electronics_expensive,1,False,True,True,2.857,4.3,0.5,0.04,-1.305,-5.973,-0.133,-4.513,158.8844,19,4.4510000000000005,4.4510000000000005,1.0,8.897012873397646,27,251.22400000000002,20,3.22,63.31190000000001,27,27.912763973752558,58.76852976264165,25
invalid,valid,Llama-2-13b-hf,computers_electronics_expensive^consistent^invalid,computers_electronics_expensive,2,False,True,True,2.873,4.254,0.5,0.038461538461538464,-1.303,-6.035,-0.10999999999999988,-4.654,158.89870000000002,19,4.645000000000001,4.645000000000001,1.0,8.895230181017194,27,251.399,20,3.495,63.61870000000002,27,27.91603322049785,57.80528882803425,25
valid,invalid,Llama-2-13b-hf,computers_electronics_expensive^violate^valid,computers_electronics_expensive,1,True,True,False,2.91,4.035,0.5,1.0,-1.272,-1.474,-0.015000000000000124,4.386,157.089,19,1.1569999999999998,1.1569999999999998,1.0,12.42964710377682,18,191.43189999999998,20,62.56710000000001,3.5300000000000002,8,59.11177909171096,28.199853470118097,30
valid,invalid,Llama-2-13b-hf,computers_electronics_expensive^violate^valid,computers_electronics_expensive,2,True,True,False,2.871,4.152,0.5,1.0,-1.309,-1.511,-0.10999999999999988,4.141,157.12,19,1.2810000000000004,1.2810000000000004,1.0,12.261117479615425,18,192.2219,20,59.0461,4.327999999999999,8,57.715584150013235,28.484698731094124,30
